area_type,availability,location,size,bath,balcony,price
Super built-up  Area,19-?.?.,Electronic City Phase II,2 BHK,2,1,39.07
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,5,3,120
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,2,3,62
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,3,1,95
Super built-up  Area,Ready To Move,Kothanur,2 BHK,2,1,51
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,1,38
Super built-up  Area,18-?.?.,Old Airport Road,4 BHK,4,,204
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,4,,600
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3,1,63.25
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,6,,370
Super built-up  Area,18-?.?.,Whitefield,3 BHK,2,2,70
Plot  Area,Ready To Move,Whitefield,4 Bedroom,5,3,295
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,1,38
Built-up  Area,Ready To Move,Gottigere,2 BHK,2,2,40
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,3,2,148
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,2,2,73.5
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,3,2,48
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,3,3,60
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,4,2,290
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,2,2,48
Built-up  Area,Ready To Move,Kengeri,1 BHK,1,1,15
Super built-up  Area,19-?.?.,Binny Pete,3 BHK,3,1,122
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,5,2,380
Super built-up  Area,Ready To Move,Bellandur,3 BHK,3,1,103
Super built-up  Area,18-?.?., Thanisandra,1 RK,1,0,25.25
Super built-up  Area,18-?.?.,Mangammanapalya,3 BHK,3,2,56
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1,1,23.1
Built-up  Area,20-?.?.,Whitefield,3 BHK,3,2,81
Super built-up  Area,17-?.?.,Ramagondanahalli,2 BHK,2,2,48.77
Super built-up  Area,Ready To Move,Electronic City,3 BHK,2,1,47
Super built-up  Area,19-?.?.,Yelahanka,4 BHK,4,0,186
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,2,1,35
Super built-up  Area,Ready To Move,Hebbal,3 BHK,2,2,123
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,3,3,57.39
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,3,,125
Super built-up  Area,21-?.?.,Kanakpura Road,2 BHK,2,1,36
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,2,1,45.5
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,3,2,125
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,2,2,56.12
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,2,2,45
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,2,,81
Super built-up  Area,19-?.?.,Sarjapur  Road,3 BHK,3,2,38
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,1,0,38
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,1,0,48
Super built-up  Area,19-?.?.,Kanakpura Road,2 BHK,2,2,91.79
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,9,,200
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,2,0,33
Super built-up  Area,20-?.?.,Whitefield,2 BHK,2,1,94.82
Plot  Area,Ready To Move,KR Puram,2 Bedroom,1,1,130
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,2,1,36
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,2,1,50
Super built-up  Area,18-??.?.,Bhoganhalli,3 BHK,3,1,99
Built-up  Area,Ready To Move,Whitefield,3 BHK,3,2,91
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,2,2,75
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,2,3,75
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2,2,44
Built-up  Area,20-?.?.,Devanahalli,4 Bedroom,,,192
