age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,native.country,income
90.0,,HS-grad,9.0,Widowed,,Not-in-family,White,Female,40.0,United-States,<=50K
82.0,Private,HS-grad,9.0,Widowed,Exec-managerial,Not-in-family,White,Female,18.0,United-States,<=50K
66.0,,Some-college,10.0,Widowed,,Unmarried,Black,Female,40.0,United-States,<=50K
54.0,Private,7th-8th,4.0,Divorced,Machine-op-inspct,Unmarried,White,Female,40.0,United-States,<=50K
41.0,Private,Some-college,10.0,Separated,Prof-specialty,Own-child,White,Female,40.0,United-States,<=50K
34.0,Private,HS-grad,9.0,Divorced,Other-service,Unmarried,White,Female,45.0,United-States,<=50K
38.0,Private,10th,6.0,Separated,Adm-clerical,Unmarried,White,Male,40.0,United-States,<=50K
74.0,State-gov,Doctorate,16.0,Never-married,Prof-specialty,Other-relative,White,Female,20.0,United-States,>50K
68.0,Federal-gov,HS-grad,9.0,Divorced,Prof-specialty,Not-in-family,White,Female,40.0,United-States,<=50K
41.0,Private,Some-college,10.0,Never-married,Craft-repair,Unmarried,White,Male,60.0,,>50K
45.0,Private,Doctorate,16.0,Divorced,Prof-specialty,Unmarried,Black,Female,35.0,United-States,>50K
38.0,Self-emp-not-inc,Prof-school,15.0,Never-married,Prof-specialty,Not-in-family,White,Male,45.0,United-States,>50K
52.0,Private,Bachelors,13.0,Widowed,Other-service,Not-in-family,White,Female,20.0,United-States,>50K
32.0,Private,Masters,14.0,Separated,Exec-managerial,Not-in-family,White,Male,55.0,United-States,>50K
51.0,,Doctorate,16.0,Never-married,,Not-in-family,White,Male,40.0,United-States,>50K
46.0,Private,Prof-school,15.0,Divorced,Prof-specialty,Not-in-family,White,Male,40.0,United-States,>50K
45.0,Private,11th,7.0,Divorced,Transport-moving,Not-in-family,White,Male,76.0,United-States,>50K
57.0,Private,Masters,14.0,Divorced,Exec-managerial,Not-in-family,White,Male,50.0,United-States,>50K
22.0,Private,Assoc-acdm,12.0,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40.0,,>50K
34.0,Private,Bachelors,13.0,Separated,Sales,Not-in-family,White,Male,50.0,United-States,>50K
37.0,Private,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Male,40.0,United-States,>50K
29.0,Private,11th,7.0,Separated,Sales,Not-in-family,White,Female,42.0,United-States,<=50K
61.0,Private,HS-grad,9.0,Divorced,Sales,Unmarried,White,Female,25.0,United-States,<=50K
51.0,Private,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,40.0,United-States,<=50K
61.0,,HS-grad,9.0,Married-civ-spouse,,Husband,White,Male,32.0,United-States,<=50K
21.0,Private,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40.0,United-States,<=50K
33.0,Private,1st-4th,2.0,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,32.0,Mexico,<=50K
