age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
59.0,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042.0,1,-1,0,unknown,yes
56.0,admin.,married,secondary,no,45,no,no,unknown,5,may,1467.0,1,-1,0,unknown,yes
41.0,technician,married,secondary,no,1270,yes,no,,5,may,1389.0,1,-1,0,unknown,yes
55.0,services,married,secondary,no,2476,yes,no,unknown,5,may,579.0,1,-1,0,unknown,yes
54.0,admin.,married,tertiary,no,184,no,no,unknown,5,may,673.0,2,-1,0,unknown,yes
42.0,management,single,tertiary,no,0,yes,yes,unknown,5,may,562.0,2,-1,0,unknown,yes
56.0,management,married,tertiary,no,830,yes,yes,,6,may,1201.0,1,-1,0,unknown,yes
60.0,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030.0,1,-1,0,unknown,yes
37.0,technician,married,secondary,no,1,yes,no,unknown,6,may,,1,-1,0,unknown,yes
28.0,services,single,secondary,no,5090,yes,no,unknown,6,may,1297.0,3,-1,0,unknown,yes
38.0,admin.,single,secondary,no,100,yes,no,unknown,7,may,786.0,1,-1,0,unknown,yes
30.0,blue-collar,married,secondary,no,309,yes,no,unknown,7,may,1574.0,2,-1,0,unknown,yes
29.0,management,married,tertiary,no,199,yes,yes,unknown,7,may,1689.0,4,-1,0,unknown,yes
46.0,blue-collar,single,tertiary,no,460,yes,no,unknown,7,may,1102.0,2,-1,0,unknown,yes
31.0,technician,single,tertiary,no,703,yes,no,,8,may,943.0,2,-1,0,unknown,yes
35.0,management,divorced,tertiary,no,3837,yes,no,unknown,8,may,1084.0,1,-1,0,unknown,yes
32.0,blue-collar,single,primary,no,611,yes,no,unknown,8,may,,3,-1,0,unknown,yes
49.0,services,married,secondary,no,-8,yes,no,unknown,8,may,1119.0,1,-1,0,unknown,yes
41.0,admin.,married,secondary,no,55,yes,no,unknown,8,may,1120.0,2,-1,0,unknown,yes
49.0,admin.,divorced,secondary,no,168,yes,yes,unknown,8,may,513.0,1,-1,0,unknown,yes
28.0,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,442.0,2,-1,0,unknown,yes
43.0,management,single,tertiary,no,2067,yes,no,unknown,8,may,756.0,1,-1,0,unknown,yes
43.0,management,divorced,tertiary,no,388,yes,no,unknown,8,may,2087.0,2,-1,0,unknown,yes
43.0,blue-collar,married,primary,no,-192,yes,no,unknown,8,may,1120.0,2,-1,0,unknown,yes
37.0,unemployed,single,secondary,no,381,yes,no,unknown,8,may,985.0,2,-1,0,unknown,yes
35.0,blue-collar,single,secondary,no,40,yes,no,unknown,9,may,617.0,4,-1,0,unknown,yes
31.0,technician,single,tertiary,no,22,yes,no,unknown,9,may,483.0,3,-1,0,unknown,yes
43.0,blue-collar,single,secondary,no,3,yes,no,unknown,9,may,929.0,3,-1,0,unknown,yes
31.0,admin.,married,secondary,no,307,yes,no,unknown,9,may,538.0,1,-1,0,unknown,yes
28.0,blue-collar,single,secondary,no,759,yes,no,unknown,9,may,710.0,1,-1,0,unknown,yes
32.0,blue-collar,married,secondary,yes,-1,yes,no,,9,may,653.0,1,-1,0,unknown,yes
60.0,technician,married,primary,no,65,yes,no,unknown,9,may,,2,-1,0,unknown,yes
26.0,blue-collar,single,secondary,no,82,yes,no,unknown,9,may,,1,-1,0,unknown,yes
40.0,blue-collar,married,secondary,no,10,yes,no,unknown,9,may,1692.0,2,-1,0,unknown,yes
33.0,blue-collar,divorced,primary,no,390,yes,no,unknown,9,may,665.0,2,-1,0,unknown,yes
32.0,management,single,tertiary,no,311,no,no,unknown,12,may,757.0,2,-1,0,unknown,yes
,blue-collar,married,primary,no,414,no,no,unknown,13,may,504.0,4,-1,0,unknown,yes
33.0,management,divorced,secondary,no,5,yes,no,unknown,13,may,1346.0,1,-1,0,unknown,yes
38.0,management,married,tertiary,no,119,yes,no,,13,may,568.0,4,-1,0,unknown,yes
23.0,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,395.0,2,-1,0,unknown,yes
60.0,blue-collar,married,primary,no,1262,yes,yes,unknown,13,may,1015.0,1,-1,0,unknown,yes
48.0,management,married,tertiary,no,1949,yes,no,,13,may,683.0,2,-1,0,unknown,yes
45.0,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,may,470.0,1,-1,0,unknown,yes
36.0,blue-collar,married,secondary,no,1165,yes,no,unknown,13,may,1001.0,4,-1,0,unknown,yes
52.0,management,married,unknown,no,2240,yes,no,unknown,13,may,845.0,1,-1,0,unknown,yes
35.0,blue-collar,divorced,primary,no,300,yes,no,unknown,13,may,945.0,2,-1,0,unknown,yes
43.0,technician,married,secondary,no,3285,yes,no,,13,may,1721.0,2,-1,0,unknown,yes
52.0,housemaid,married,secondary,no,3923,yes,no,unknown,14,may,942.0,3,-1,0,unknown,yes
53.0,technician,divorced,primary,no,1443,yes,no,unknown,14,may,476.0,1,-1,0,unknown,yes
48.0,blue-collar,divorced,primary,no,24,yes,no,unknown,14,may,832.0,1,-1,0,unknown,yes
41.0,blue-collar,single,primary,no,1618,yes,no,unknown,14,may,1553.0,1,-1,0,unknown,yes
39.0,management,divorced,tertiary,no,517,yes,yes,unknown,14,may,1328.0,1,-1,0,unknown,yes
59.0,retired,married,secondary,no,1521,yes,yes,unknown,14,may,1125.0,2,-1,0,unknown,yes
41.0,blue-collar,married,secondary,no,2823,yes,no,unknown,14,may,858.0,1,-1,0,unknown,yes
48.0,blue-collar,married,secondary,no,1405,yes,no,unknown,14,may,,2,-1,0,unknown,yes
40.0,admin.,married,secondary,no,1535,yes,no,unknown,14,may,704.0,1,-1,0,unknown,yes
48.0,blue-collar,married,secondary,no,1596,yes,no,unknown,14,may,760.0,1,-1,0,unknown,yes
60.0,retired,married,primary,no,1542,yes,no,unknown,14,may,930.0,1,-1,0,unknown,yes
40.0,technician,single,unknown,no,3652,yes,no,unknown,14,may,1028.0,2,-1,0,unknown,yes
57.0,technician,married,tertiary,no,-1,no,no,unknown,14,may,850.0,2,-1,0,unknown,yes
51.0,blue-collar,married,secondary,no,7180,yes,no,,14,may,927.0,1,-1,0,unknown,yes
41.0,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,may,1423.0,3,-1,0,unknown,yes
41.0,blue-collar,married,secondary,no,1384,yes,no,unknown,15,may,1162.0,4,-1,0,unknown,yes
52.0,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,may,755.0,1,-1,0,unknown,yes
