ID,age,balance,housing,loan,contact,duration,campaign,previous,poutcome,deposit
0,59,2343,yes,no,unknown,1042,1,0,unknown,yes
1,56,45,no,no,unknown,1467,1,0,unknown,yes
2,41,1270,yes,no,unknown,1389,1,0,unknown,yes
3,55,2476,yes,no,unknown,579,1,0,unknown,yes
4,54,184,no,no,unknown,673,2,0,unknown,yes
5,42,0,yes,yes,unknown,562,2,0,unknown,yes
6,56,830,yes,yes,unknown,1201,1,0,unknown,yes
7,,545,yes,no,unknown,1030,1,0,unknown,yes
8,37,1,yes,no,unknown,608,1,0,unknown,yes
9,28,5090,yes,no,unknown,1297,3,0,unknown,yes
10,38,100,yes,no,unknown,786,1,0,unknown,yes
11,30,309,yes,no,unknown,1574,2,0,unknown,yes
12,29,199,yes,yes,unknown,1689,4,0,unknown,yes
13,46,460,yes,no,unknown,1102,2,0,unknown,yes
14,31,703,yes,no,unknown,943,2,0,unknown,yes
15,35,3837,yes,no,unknown,1084,1,0,unknown,yes
16,,611,yes,no,unknown,541,3,0,unknown,yes
17,49,-8,yes,no,unknown,1119,1,0,unknown,yes
18,41,55,yes,no,unknown,1120,2,0,unknown,yes
19,49,168,yes,yes,unknown,513,1,0,unknown,yes
20,28,785,yes,no,unknown,442,2,0,unknown,yes
21,43,2067,yes,no,unknown,756,1,0,unknown,yes
22,43,388,yes,no,unknown,2087,2,0,unknown,yes
23,43,-192,yes,no,,1120,2,0,unknown,yes
24,37,381,yes,no,unknown,985,2,0,unknown,yes
25,35,40,yes,no,unknown,617,4,0,unknown,yes
26,,22,yes,no,unknown,483,3,0,unknown,yes
27,43,3,yes,no,,929,3,0,unknown,yes
28,,307,yes,no,unknown,538,1,0,unknown,yes
29,28,759,yes,no,unknown,710,1,0,unknown,yes
30,32,-1,yes,no,unknown,653,1,0,unknown,yes
31,60,65,yes,no,unknown,1028,2,0,unknown,yes
32,26,82,yes,no,,654,1,0,unknown,yes
33,,10,yes,no,unknown,1692,2,0,unknown,yes
34,33,390,yes,no,unknown,665,2,0,unknown,yes
35,32,311,no,no,unknown,757,2,0,unknown,yes
36,35,414,no,no,unknown,504,4,0,unknown,yes
37,33,5,yes,no,unknown,1346,1,0,unknown,yes
38,38,119,yes,no,unknown,568,4,0,unknown,yes
39,23,4,yes,no,,395,2,0,unknown,yes
40,60,1262,yes,yes,,1015,1,0,unknown,yes
41,48,1949,yes,no,unknown,683,2,0,unknown,yes
42,45,-395,yes,no,unknown,470,1,0,unknown,yes
43,36,1165,yes,no,unknown,1001,4,0,unknown,yes
44,52,2240,yes,no,unknown,845,1,0,unknown,yes
45,35,300,yes,no,unknown,945,2,0,unknown,yes
46,43,3285,yes,no,unknown,1721,2,0,unknown,yes
47,52,3923,yes,no,unknown,942,3,0,unknown,yes
48,53,1443,yes,no,,476,1,0,unknown,yes
49,,24,yes,no,unknown,832,1,0,unknown,yes
50,41,1618,yes,no,unknown,1553,1,0,unknown,yes
51,39,517,yes,yes,unknown,1328,1,0,unknown,yes
52,59,1521,yes,yes,unknown,1125,2,0,unknown,yes
53,41,2823,yes,no,unknown,858,1,0,unknown,yes
54,48,1405,yes,no,unknown,629,2,0,unknown,yes
55,40,1535,yes,no,unknown,704,1,0,unknown,yes
56,48,1596,yes,no,,760,1,0,unknown,yes
57,60,1542,yes,no,unknown,930,1,0,unknown,yes
58,,3652,yes,no,unknown,1028,2,0,unknown,yes
59,57,-1,no,no,unknown,850,2,0,unknown,yes
60,51,7180,yes,no,unknown,927,1,0,unknown,yes
61,41,5291,yes,no,unknown,1423,3,0,unknown,yes
62,,1384,yes,no,unknown,1162,4,0,unknown,yes
63,52,-191,yes,no,unknown,755,1,0,unknown,yes
64,,320,yes,no,unknown,695,1,0,unknown,yes
65,44,146,yes,no,unknown,483,1,0,unknown,yes
66,49,341,yes,yes,unknown,520,2,0,unknown,yes
67,40,-9,yes,no,unknown,920,2,0,unknown,yes
68,41,-306,yes,no,unknown,500,1,0,unknown,yes
69,44,4580,yes,no,unknown,911,2,0,unknown,yes
70,60,313,yes,no,unknown,920,2,0,unknown,yes
71,29,10576,no,no,unknown,1224,2,0,unknown,yes
72,41,-233,yes,no,unknown,1156,2,0,unknown,yes
73,,2453,yes,no,,1052,1,0,unknown,yes
74,42,1364,yes,no,unknown,1867,6,0,unknown,yes
75,36,281,yes,no,unknown,515,1,0,unknown,yes
76,39,94,yes,yes,,813,1,0,unknown,yes
77,31,144,yes,no,unknown,676,1,0,unknown,yes
78,26,246,yes,no,unknown,1143,3,0,unknown,yes
79,31,92,yes,no,unknown,688,1,0,unknown,yes
80,29,163,yes,yes,unknown,803,1,0,unknown,yes
81,37,49,yes,no,,619,2,0,unknown,yes
82,33,-416,yes,no,unknown,767,2,0,unknown,yes
83,24,409,yes,no,,912,1,0,unknown,yes
84,,363,yes,no,unknown,1340,1,0,unknown,yes
85,27,3706,yes,no,unknown,897,1,0,unknown,yes
86,54,4393,yes,no,unknown,1297,3,0,unknown,yes
87,30,863,yes,no,unknown,1193,5,0,unknown,yes
88,34,695,yes,yes,unknown,1064,4,0,unknown,yes
89,,792,yes,no,unknown,1187,4,0,unknown,yes
90,41,1020,yes,no,unknown,882,1,0,unknown,yes
91,47,863,yes,no,unknown,943,2,0,unknown,yes
92,31,97,yes,no,unknown,607,1,0,unknown,yes
93,31,754,yes,no,unknown,1022,4,0,unknown,yes
94,43,1040,yes,no,unknown,552,3,0,unknown,yes
95,37,122,yes,no,unknown,1622,2,0,unknown,yes
96,30,880,yes,yes,unknown,967,6,0,unknown,yes
97,41,501,yes,no,unknown,579,5,0,unknown,yes
98,36,4438,yes,no,unknown,446,1,0,unknown,yes
99,35,0,yes,no,unknown,1205,1,0,unknown,yes
100,29,271,yes,no,unknown,1882,2,0,unknown,yes
101,35,102,yes,no,unknown,1334,1,0,unknown,yes
102,31,2,yes,no,unknown,182,2,0,unknown,yes
103,35,4170,yes,no,unknown,1777,1,0,unknown,yes
104,34,85,yes,no,,1182,4,0,unknown,yes
105,31,431,yes,yes,unknown,1045,1,0,unknown,yes
106,44,982,yes,no,unknown,650,3,0,unknown,yes
107,,408,yes,yes,unknown,1063,2,0,unknown,yes
