Location Code,Hours Online,Monthly Income,Marital Status,Brand Loyalty,Sex,Years after high school graduation,Education Level,Renew,City,Months with Company
Urban,3.581006496143532,5642.9404150341425,Divorced,0.06332502363524038,F,23.0,College,Yes,Khon Kaen,52.0
Rural,6.523192891593571,5230.693365197978,Married,0.011907017070527853,F,34.0,Graduate School,No,Udon,57.0
Suburban,5.148000687258533,,Divorced,0.012651709178067683,F,33.0,High School,Yes,Udon,88.0
Suburban,4.707286050733651,5209.510607502952,Single,0.027088713717467253,M,22.0,Graduate School,Yes,Mahasarakam,66.0
Suburban,4.814017647873045,5136.831343525449,Single,-0.1677144452134875,F,19.0,High School,Yes,Udon,54.0
Rural,4.109898355534447,4913.8574142819025,Married,,F,29.0,College,No,Khon Kaen,49.0
Rural,5.868414002550227,5522.487851199549,Married,-0.1652803736815765,M,31.0,Graduate School,No,Khon Kaen,44.0
Suburban,5.08100340542546,3818.7007731501412,Single,0.03435989855540304,F,12.0,College,Yes,Mahasarakam,55.0
Suburban,4.755303160441959,4675.527799024798,Single,0.05949601619011258,F,25.0,College,Yes,Udon,43.0
Urban,6.996059717711214,3317.136868990254,Divorced,-1.2437289249791856,M,26.0,High School,Yes,Mahasarakam,
Suburban,6.016416668034433,5345.750803385429,Single,-0.05140562614353328,M,32.0,High School,Yes,Udon,45.0
Suburban,5.852079225237954,4098.1179100468225,Divorced,0.25518607161376794,M,19.0,College,Yes,Mahasarakam,67.0
Rural,2.5796259729797177,3088.9844944572733,Single,-0.27462461189942394,M,14.0,College,Yes,Udon,40.0
Urban,3.5073811549382112,5015.1453941347045,Single,-0.03160544872761242,F,23.0,High School,Yes,Mahasarakam,49.0
Rural,4.981474218358537,4910.414307014912,Single,-0.1511164326246514,F,32.0,Graduate School,No,Khon Kaen,70.0
Suburban,6.962496645611844,4984.377408531207,Married,-0.43824986259266263,F,25.0,Graduate School,Yes,Khon Kaen,63.0
Urban,3.7934952990897077,6137.465009795138,Married,0.3157412428628069,M,23.0,College,Yes,Udon,114.0
Urban,5.905082350433117,3488.6784487702007,Single,0.09997121962776916,F,16.0,Graduate School,Yes,Udon,62.0
Urban,4.799192270647867,6131.049297067839,Married,0.16735366505894803,F,25.0,High School,Yes,Udon,83.0
Rural,3.974753450857003,4774.395345348623,Married,-0.9875517492016268,F,28.0,High School,No,Mahasarakam,37.0
Urban,4.947264707125678,4236.292887101798,Married,-0.059430667315413216,M,25.0,College,Yes,Mahasarakam,78.0
Suburban,4.888416136051247,5397.335971642234,Married,0.6473599095473145,F,26.0,High School,Yes,Udon,75.0
Urban,4.239545861027055,6008.495736106808,Single,0.398539691950744,M,31.0,Graduate School,Yes,Mahasarakam,62.0
