Annual Income,Active online hours,Years subscribed,City,Gender,Education Level,Renew,Brand Loyalty,Marital Status,Age,Location Code
54382.3405004253,5.106542766143691,3.0,Manchester,Female,College,No,-0.022968331213978788,Single,58.0,Rural
63548.82466529674,5.165926744749166,4.0,London,Male,,Yes,0.07328950814644036,Divorced,43.0,Suburban
43674.50821476843,5.681270049998295,5.0,New Castle,Female,College,Yes,0.5369227288281669,Single,65.0,Urban
51038.48950116866,8.515830312347553,5.0,Manchester,Male,High School,Yes,-0.31630603811004354,Single,54.0,Urban
47599.459570514715,5.010250210630201,4.0,London,Male,College,No,-0.14053384322445614,Married,41.0,Rural
,4.111373163301459,5.0,New Castle,Male,High School,No,-0.10679568537102539,Married,49.0,Urban
60827.886133578824,5.377049574195426,6.0,Manchester,Female,High School,Yes,0.22408671551879716,Divorced,36.0,Urban
73283.04321314834,6.3004602738636315,2.0,London,Male,High School,No,0.31235840456699815,Married,49.0,Rural
47370.66373007024,5.453327606623432,4.0,New Castle,Female,Graduate School,No,0.1076522746811367,Divorced,,Rural
74260.97330604831,3.443232190139956,6.0,Manchester,Female,College,Yes,0.47681442733559065,Divorced,34.0,Suburban
71976.12499449773,5.804823458850963,5.0,Manchester,Female,Graduate School,Yes,-0.1832823509892105,Divorced,50.0,Urban
56734.99928776978,3.79805052088917,5.0,Manchester,Female,Graduate School,No,-0.5749014019208298,Married,52.0,Suburban
50312.375194938126,2.8529244117799273,4.0,New Castle,Female,High School,No,-0.389212025301925,Single,47.0,Rural
62767.86913527002,4.507262634955943,3.0,London,Female,Graduate School,No,0.3522699390154652,Single,47.0,Urban
45028.242804923735,6.676182282635541,6.0,,Female,High School,Yes,0.5058949304747812,Divorced,38.0,Urban
49538.44637821209,5.167733459944892,5.0,New Castle,Male,High School,Yes,0.374794578667053,Divorced,50.0,Urban
40067.76359607755,5.132588074359359,2.0,London,Female,Graduate School,Yes,-0.06578394702672197,Divorced,57.0,Suburban
59106.82020538382,6.696284669587563,4.0,New Castle,Female,Graduate School,Yes,-0.16868033641769023,Divorced,61.0,Urban
57423.2163639359,5.264794508613659,4.0,Manchester,Female,College,No,-0.07460299956247747,Married,52.0,Suburban
58955.90536678588,5.915711315260115,6.0,New Castle,Male,High School,No,-0.0070523612736858865,Divorced,45.0,Suburban
50631.23679880815,6.550443897193151,4.0,London,Male,High School,Yes,-0.47482735768794737,Divorced,53.0,Urban
55812.68085482005,7.1396559385515195,5.0,New Castle,Female,Graduate School,Yes,-0.6940243201154366,Married,43.0,Urban
71853.98289649248,8.202362717693333,1.0,New Castle,Male,College,No,0.6559151998749427,Divorced,49.0,Rural
28289.98359422967,2.4419056103972245,4.0,London,Female,Graduate School,No,-0.03348209558244536,Divorced,57.0,
69572.93004058952,6.351864889983846,4.0,London,Female,Graduate School,No,0.1986921784988105,Divorced,42.0,Suburban
61275.386125104065,4.5921197748865445,3.0,New Castle,Male,College,No,-0.21624077702672978,Married,54.0,Rural
45927.28763727435,5.6936681346213005,3.0,New Castle,Female,High School,Yes,-0.1996762678336837,Single,47.0,Rural
52025.22846003048,5.26007558568624,4.0,Manchester,Male,High School,No,,Single,50.0,Rural
55837.66519557,6.993014037631115,4.0,New Castle,Female,College,Yes,-0.3709678945013457,Divorced,54.0,Urban
76429.15239109714,5.697999775114786,6.0,New Castle,Female,Graduate School,Yes,-0.7625126772958118,Divorced,32.0,Urban
56196.67681567469,5.092046060168097,4.0,London,Male,Graduate School,Yes,0.947048901854781,Single,47.0,Urban
62479.916491167634,5.732867108314412,3.0,New Castle,Male,High School,No,,Married,57.0,Suburban
65971.65482755691,5.976219455617998,7.0,London,Male,College,Yes,0.6453236941061851,Divorced,36.0,Rural
67599.51794840043,4.352724937165761,6.0,Manchester,Male,Graduate School,Yes,0.08210442898585929,Married,48.0,Suburban
66686.00766299195,6.3040878470442765,6.0,London,Female,Graduate School,Yes,0.04671452914033275,Single,44.0,Suburban
65728.51591476882,7.44965451384609,1.0,New Castle,Male,College,No,0.5282446353494066,Divorced,43.0,Rural
53518.413891461176,6.7886590177186985,6.0,Manchester,Male,Graduate School,Yes,-0.17743032692663113,Divorced,57.0,Urban
60624.74179478986,4.7628838370057,7.0,London,Male,High School,Yes,0.518745238187096,Married,56.0,
53525.08487149305,5.1303459768651365,4.0,Manchester,Female,High School,No,0.12039183634342898,Single,56.0,Rural
33184.25379558646,2.866108755878723,3.0,Manchester,Female,Graduate School,No,-0.4346749507995551,Divorced,33.0,
54153.112655114215,6.1765117023954925,6.0,London,Female,Graduate School,Yes,0.2873823637057957,Divorced,59.0,Suburban
49269.31792109419,6.167511708297272,7.0,New Castle,Female,High School,Yes,-0.0033693552352197786,Single,44.0,Urban
56066.3981053431,4.904258479941865,5.0,Manchester,Male,High School,Yes,-0.04180963877625152,Single,54.0,Urban
48053.34122420965,5.213023895260921,4.0,New Castle,Female,Graduate School,No,0.05155046662380991,Married,55.0,Rural
50180.38414208528,7.352932624332204,4.0,New Castle,Female,High School,Yes,-0.6569692684214224,Divorced,57.0,Urban
57907.66133722409,5.353874663743345,8.0,New Castle,Female,High School,Yes,0.47708223418557405,Married,62.0,Urban
45706.91536066565,6.396817119632104,3.0,London,Female,Graduate School,Yes,-0.05549236842795088,Divorced,41.0,Urban
38765.34634440962,3.530435656338401,4.0,Manchester,Female,College,No,0.07448359147787681,Married,46.0,Rural
