Sex,Education Level,Renew,Online Activity,Marital Status,Monthly Income,Months with Company,Brand Loyalty,Location Code,City,Years after high school graduation
Male,Graduate School,Yes,7.609173569600995,Divorced,4943.594380924102,,0.3961060318349927,Suburban,London,28.0
Female,,Yes,6.7907233842441785,Divorced,4338.270728075932,32.0,0.1106338508866977,Urban,London,31.0
Female,Graduate School,No,5.49737178053193,Single,4086.043191386697,58.0,0.28947536396792667,Rural,Manchester,34.0
Female,High School,Yes,4.924393686613582,Divorced,4291.476815846538,44.0,-0.07701422369497335,Suburban,London,20.0
Male,Graduate School,No,3.8710588488970616,Divorced,5107.691644312043,41.0,0.8286736870525939,Suburban,Manchester,31.0
Female,High School,Yes,4.4715189763899525,Divorced,3484.929273031942,54.0,-0.5840429905733978,Urban,Manchester,38.0
Male,High School,No,4.783307362373188,Married,4182.923919130698,60.0,0.1456759090872599,Rural,New Castle,18.0
Female,Graduate School,Yes,6.662523628703296,Divorced,5440.026666919269,67.0,-0.49974962330328865,Urban,London,26.0
Male,College,Yes,5.6870298706312346,Divorced,3259.0892816619744,33.0,-0.43281190503418676,Urban,Manchester,18.0
,High School,No,4.86250244464973,Divorced,4893.76151457171,60.0,-0.10357362025548109,Rural,New Castle,33.0
Female,High School,Yes,7.176649054360471,Married,3094.348700674259,52.0,-0.6473982776989916,Urban,New Castle,29.0
Male,College,Yes,6.531349867125812,Single,4238.466572298257,44.0,-0.17505375431919717,Suburban,,31.0
Female,Graduate School,Yes,6.6738514903989685,Divorced,3838.930015981077,69.0,-0.8436228852969979,Suburban,Manchester,35.0
Female,College,Yes,4.496446655730791,Divorced,2591.1429780713484,14.0,-0.2819755865903141,Suburban,London,
Female,College,,8.165857070534077,Divorced,3697.1387496910197,16.0,0.2664946070168352,Urban,New Castle,32.0
Male,High School,No,6.034896375809324,Single,3301.8862430341433,104.0,-0.9599907120546277,Rural,New Castle,52.0
Male,,No,3.3243658819225357,Single,4689.290123043589,68.0,-0.16201197461587694,Rural,Manchester,38.0
Female,High School,Yes,5.850162384697131,Divorced,4269.86548828888,16.0,0.21790451052793008,Suburban,New Castle,28.0
Male,Graduate School,No,4.557071980947788,Married,4962.267070766351,72.0,0.285096647467848,Urban,New Castle,22.0
Male,High School,No,4.674186139287535,Married,3984.8762642539778,37.0,-0.09597771809267115,Rural,New Castle,18.0
Female,College,No,5.651090217895991,Married,5042.61591400053,52.0,0.4622482146551161,Rural,,34.0
Female,Graduate School,Yes,7.126524653168383,Single,5448.39901539871,24.0,0.4622343400848694,Urban,London,34.0
Female,College,Yes,6.0104250822439225,Divorced,2189.252085378015,21.0,-0.35985146067838947,Urban,London,34.0
Male,Graduate School,No,2.2532111451119032,Married,6272.1966311318265,51.0,0.1086397462608491,Rural,London,33.0
Male,High School,No,4.905101557426715,Divorced,4288.551589037915,48.0,0.1349593650936151,Suburban,London,30.0
Male,College,No,4.911191784939959,Single,4739.92356998851,50.0,0.7116154833511845,Rural,London,21.0
Male,College,Yes,5.674950111603504,Single,5892.352072858183,42.0,0.41913618855389867,Suburban,London,38.0
Male,,Yes,7.954967440253864,Divorced,4153.186943809721,60.0,-0.5311551939252979,Rural,Manchester,25.0
Male,College,Yes,5.1739258343221985,Single,4820.691678850903,43.0,-0.40023495024821576,Urban,London,40.0
Female,High School,No,4.127202498447934,Married,4519.344863093465,40.0,0.8495551935881425,Rural,New Castle,27.0
Male,High School,Yes,7.184107849654928,Divorced,5008.211753404731,41.0,0.25501429034727074,Urban,New Castle,31.0
Male,College,Yes,8.390509581413824,Divorced,5270.800002465599,41.0,0.34516030612897086,Urban,New Castle,31.0
Female,Graduate School,No,4.573728951583055,Single,5518.828117351075,47.0,0.2816571562997143,Suburban,New Castle,29.0
Female,High School,Yes,6.22967739822954,Single,4686.358355246008,47.0,0.05568369952620117,Suburban,London,35.0
Female,Graduate School,No,7.395847589471841,Single,3718.072829526307,100.0,-0.977616019739095,Suburban,New Castle,45.0
Male,Graduate School,Yes,6.429882926942549,Single,4828.908132612814,54.0,-0.23567054560820663,Urban,Manchester,34.0
Male,High School,No,3.7748824129078065,Married,5529.505023093603,58.0,-0.4362810005991352,Rural,London,28.0
Male,College,Yes,5.737388188461899,Divorced,5005.513641061502,17.0,0.623165986651696,Suburban,London,20.0
