Education Level,Sex,Hours Online,Years with Company,Marital Status,Location Code,City,Monthly Income,Years after high school graduation,Brand Loyalty,Renew
High School,M,5.871446775877325,4.0,Single,Urban,London,4714.0346993589865,39.0,0.535172514644884,No
College,F,8.292877831273017,5.0,Married,Urban,Manchester,3459.2156996850363,36.0,0.41248311023221457,Yes
High School,M,4.584768849278481,7.0,Single,Urban,Manchester,5743.263760089344,,-0.37047329723398226,Yes
Graduate School,M,6.121002282082848,5.0,Married,Rural,New Castle,4121.499511400363,,0.5041564423298888,No
High School,F,4.080713693521266,5.0,Divorced,Rural,New Castle,6156.970462761747,42.0,0.22881798167913614,No
High School,F,3.7160089699257353,4.0,Divorced,Suburban,London,5392.60557823264,32.0,0.04270025454921103,Yes
Graduate School,M,4.026571446457965,4.0,Divorced,Rural,Manchester,6587.934872349239,43.0,0.06601851362961739,Yes
College,F,4.695417900635771,5.0,,Urban,London,5740.483186849171,21.0,-0.08528154736356772,Yes
College,M,3.6481086110570566,4.0,Single,Urban,London,5620.522410781642,26.0,-0.08155720534266908,Yes
College,M,5.389379167356623,4.0,Divorced,Rural,Manchester,5218.552975406077,26.0,0.044438830708589866,Yes
College,M,5.218195597725989,3.0,Single,Urban,New Castle,5761.839687725526,32.0,0.6073102216824235,Yes
Graduate School,M,6.718838967844941,2.0,Married,Rural,Manchester,,50.0,0.6364865826467874,No
High School,F,5.329455000034135,3.0,Divorced,Urban,London,5561.657879701324,32.0,0.1289782685500888,Yes
College,F,2.1792112666730694,6.0,Married,,Manchester,5148.003300696867,29.0,0.22147188709453783,No
College,F,6.955648410896037,1.0,Married,Suburban,New Castle,4052.845751452187,53.0,0.12163517471052984,No
High School,,6.252216404951367,4.0,Single,Suburban,Manchester,4904.029877876512,28.0,0.025491112949707677,Yes
College,F,6.201728873704639,6.0,Single,Suburban,Manchester,5221.916375267921,34.0,0.39227451050595114,No
High School,M,5.4107318229739825,0.0,Married,Suburban,New Castle,3644.3464881577343,43.0,-0.14734930420230036,No
Graduate School,M,3.5511847556341216,7.0,Married,Suburban,New Castle,4638.864041232154,31.0,-0.4927567830144576,No
High School,M,4.947624882972336,4.0,Single,Suburban,Manchester,4194.413265895037,38.0,0.10545051948663871,No
Graduate School,F,4.0841580271046585,4.0,Divorced,Urban,New Castle,6310.236680140855,24.0,-0.5919163565612853,Yes
College,F,5.270973919637747,7.0,Single,Rural,New Castle,5422.875660646405,30.0,-0.31259863812362415,Yes
College,F,5.273461224051357,4.0,Single,Urban,New Castle,5066.868124093484,7.0,0.7369962383480316,Yes
High School,F,5.583578553940858,3.0,Single,Urban,New Castle,5885.753325972054,27.0,-0.48768929048656273,Yes
High School,M,6.055532383551226,2.0,Single,Urban,London,6460.268785609959,36.0,-0.3138579137338193,Yes
Graduate School,F,7.579358879183288,4.0,Married,Rural,London,,36.0,0.4729019213720034,No
College,F,5.431849276912258,6.0,Single,Suburban,New Castle,4687.434983903528,41.0,-0.3540055627148471,Yes
College,M,5.59246950982998,5.0,Divorced,Urban,Manchester,4816.688716440365,33.0,0.4432218962491983,No
,M,6.877771309808026,2.0,Divorced,Rural,Manchester,3692.175516541717,38.0,-0.23335272575944832,No
College,M,4.203940694992648,4.0,Single,Suburban,London,6579.849241327511,31.0,-0.7010811691928288,Yes
High School,F,5.726913835239349,5.0,Divorced,Urban,Manchester,5501.667778138601,44.0,-0.44986549434039336,Yes
High School,F,4.367372707014052,5.0,Divorced,Suburban,London,5712.131655975594,11.0,-0.14749324390967314,Yes
Graduate School,M,6.60636385594672,8.0,Married,Urban,Manchester,5402.983929227612,42.0,0.3718680064364516,No
College,M,6.3296674971938565,5.0,Married,Rural,New Castle,5258.4596870810055,43.0,-0.14123582577582183,No
High School,F,4.2435334835988385,5.0,Single,Urban,,5861.344856162922,7.0,-0.1219590430663984,Yes
High School,M,5.897217391037857,6.0,Married,Rural,London,5674.875865485552,36.0,0.05356479286556491,No
Graduate School,M,7.179505320991436,5.0,Single,Urban,Manchester,4294.73798161282,36.0,0.24800505464297581,Yes
Graduate School,F,2.6219399922469275,6.0,Single,Rural,New Castle,4715.529352064154,37.0,-0.39937455730715843,No
College,M,3.7027702713819393,4.0,Divorced,Urban,New Castle,6650.449637626234,31.0,0.046648510844127904,Yes
High School,F,7.301389749622092,6.0,Married,Urban,New Castle,5755.207304005745,49.0,0.16737229271780027,Yes
Graduate School,F,6.494967916035512,5.0,Divorced,Urban,London,4276.72030218625,35.0,1.0320929293812193,Yes
College,F,3.2489948700875226,5.0,Single,Urban,New Castle,6864.5078482758045,24.0,0.2038401606568414,Yes
College,F,5.283219110952443,6.0,Married,Rural,London,4158.449329539903,29.0,0.6062400674480367,No
College,M,5.881690726380487,5.0,Divorced,Suburban,London,4956.933363278979,36.0,-0.08652995305740752,Yes
High School,F,7.2575351470561404,4.0,Single,Rural,Manchester,4794.300406515766,43.0,0.15586316642298603,No
College,F,3.9978214936284315,7.0,Divorced,Urban,New Castle,6212.796869231364,27.0,-0.22035345444226329,Yes
Graduate School,M,5.461262229665174,2.0,Divorced,Rural,Manchester,2725.460682052007,36.0,0.0671984594431647,
Graduate School,F,7.004233114253715,3.0,Divorced,Urban,New Castle,4188.543910880445,42.0,0.5945047834475428,Yes
Graduate School,F,5.307794042796095,2.0,Divorced,Suburban,New Castle,6053.771209987704,33.0,0.6391171641825709,Yes
College,F,3.8206907871919595,5.0,Divorced,Suburban,New Castle,5759.651818415116,18.0,-0.2623402866404068,Yes
High School,F,6.099783131647563,4.0,Single,Suburban,New Castle,5299.490611825633,39.0,0.52952263251993,Yes
College,F,4.930750901522746,4.0,Married,Rural,New Castle,5854.965278192593,23.0,0.5386186723963491,Yes
High School,F,4.53640934959665,5.0,Divorced,Suburban,New Castle,5405.764053367322,39.0,1.037547057550611,Yes
College,F,2.340614837586133,,Single,Urban,New Castle,6885.424968281464,31.0,-0.14003347166919847,Yes
Graduate School,F,4.790818448934759,4.0,Single,Rural,New Castle,5829.4338949829225,22.0,-0.43496065696687203,Yes
High School,,4.6228990290115535,4.0,Single,,London,6345.684828757637,21.0,-0.11531495340387043,Yes
