Age,Location Code,Years with Company,Hours Online,Sex,Brand Loyalty,Annual Income,Renew,Marital Status,Education Level,City
35.0,Rural,2.0,5.769971744858929,M,0.060346336743539175,51250.30059366003,No,Married,High School,Osaka
55.0,Rural,6.0,4.599940850471652,F,0.4681717382291991,48610.16196078104,No,Married,Graduate School,Kyoto
50.0,Rural,6.0,4.2373633202136975,F,-0.13639181878862586,31645.93433480697,Yes,Divorced,Graduate School,Tokyo
31.0,Urban,2.0,7.621119750820268,F,-0.20548920844641066,61361.25704610727,Yes,Married,College,Tokyo
50.0,Urban,4.0,6.548964939322197,M,0.10512639123137557,64261.21618042,No,Married,College,Tokyo
66.0,Urban,3.0,3.525983528994541,F,0.6003693735066549,58407.1843081157,Yes,Single,High School,Kyoto
47.0,Rural,3.0,5.641260607831351,F,-0.8747136885951354,51005.67170837379,No,Married,College,Kyoto
51.0,Suburban,4.0,5.594991071514636,,-0.11323443044666229,57114.78626399089,Yes,Divorced,High School,Osaka
38.0,Urban,3.0,6.506826505164305,M,-0.15900784138700408,59658.257130595666,Yes,Divorced,High School,Kyoto
54.0,Urban,3.0,6.794657374140658,M,-0.30647853150471827,50107.73120933866,Yes,Single,College,Tokyo
39.0,Urban,3.0,5.1414346943585105,M,-0.22479235354210014,50459.17345156179,Yes,Divorced,Graduate School,Kyoto
49.0,Urban,8.0,4.196432592533653,F,-0.4364712773015138,15024.447310037242,Yes,Married,Graduate School,Tokyo
48.0,Urban,5.0,3.6704526705537672,,0.09224266611103421,48323.08662042556,Yes,Divorced,Graduate School,Tokyo
37.0,Urban,5.0,6.547294005926891,M,-0.7706228980552133,53002.83792045286,Yes,Single,College,Kyoto
40.0,Suburban,4.0,5.458858041299514,M,-1.0728874269644746,45836.78465106213,Yes,Married,High School,Tokyo
45.0,Urban,5.0,6.1880403342855805,M,-0.4383623934968428,38733.38915145988,Yes,Single,Graduate School,Kyoto
71.0,Suburban,7.0,5.333606360276741,M,-0.592938348857643,,No,Divorced,High School,Kyoto
53.0,Rural,8.0,2.700770509936254,M,-0.16389825634187333,61656.61703845904,No,Married,College,Osaka
48.0,Urban,3.0,7.423370349300061,F,-0.05417741939221951,35633.64391236911,Yes,Single,High School,Osaka
