Marital Status,Gender,Age,Brand Loyalty,Renew,Location Code,Hours Online,Education Level,City,Months with Company,Monthly Income
Single,Female,57.0,0.499402632894615,Yes,Suburban,7.755709557390015,Graduate School,Udon,47.0,4728.460310614634
Married,Male,42.0,-0.5054946456442555,Yes,Rural,4.686819369594522,High School,Khon Kaen,84.0,4004.930923887652
Married,Male,48.0,0.1768087987080949,No,Rural,5.426718550954098,Graduate School,Mahasarakam,79.0,4289.57186146336
Married,Female,50.0,0.33138126022426495,No,Rural,6.042452534579364,College,Udon,80.0,5574.995861832061
Married,Female,35.0,-0.1724016144048225,Yes,Urban,3.8843503392186274,,Mahasarakam,16.0,4202.024957510104
Single,Female,46.0,-0.4185860305533422,Yes,Urban,6.790950204684614,High School,Udon,93.0,4635.0163347832295
Divorced,Female,44.0,-0.5451716050882446,Yes,Rural,4.668932877776896,Graduate School,Mahasarakam,61.0,5105.961374719533
Single,Female,50.0,-0.606032262334154,Yes,Urban,7.264220700287886,High School,Khon Kaen,42.0,3286.842338861323
Divorced,Male,34.0,-0.7348671320516386,Yes,,,Graduate School,Mahasarakam,108.0,4285.375022262662
Single,Male,51.0,-0.44355164365954003,Yes,Urban,6.216628564335579,High School,Mahasarakam,9.0,4197.5534959564775
Divorced,Male,47.0,-0.4165594172285654,Yes,Urban,5.682410832095686,Graduate School,Mahasarakam,75.0,2591.196451969501
Married,Male,60.0,-0.06904097773520296,No,Suburban,3.939026157803054,Graduate School,Udon,57.0,6221.545232750781
Married,Male,54.0,-0.12080396277902355,No,Rural,6.138640780867448,Graduate School,Mahasarakam,100.0,6188.195637800149
Divorced,Female,52.0,-0.20271325558861508,,Suburban,7.339174034814817,College,Khon Kaen,82.0,6457.980534927664
,Female,58.0,-0.060050458090755876,No,Suburban,4.274881007530034,Graduate School,Udon,78.0,5287.172362370135
Divorced,Male,45.0,-0.20718204067938545,Yes,Urban,5.682583880817992,High School,,75.0,4458.54166475395
,Female,59.0,0.2598398338371779,No,Rural,4.696889526132005,College,Mahasarakam,63.0,5102.892486858252
Single,Male,54.0,-0.630248289656111,Yes,Suburban,5.790450892548132,College,Mahasarakam,60.0,3537.561374377734
Divorced,Male,50.0,-0.8383990169612903,Yes,Urban,4.843845363431611,High School,Khon Kaen,49.0,3839.391760187921
Single,,49.0,0.5269877492955544,Yes,Urban,5.891180345787835,College,Khon Kaen,62.0,3892.605939196753
Divorced,Female,36.0,0.06470414925678042,Yes,Rural,4.8246391830767115,High School,Udon,60.0,4887.756803503097
Married,Male,51.0,0.11570095546762203,No,Rural,5.544881775962232,High School,Mahasarakam,38.0,4825.1737669405165
Married,Female,58.0,-0.23297218200332404,No,Suburban,5.543571205681631,Graduate School,Mahasarakam,39.0,6019.912953647248
Single,Female,47.0,-0.2166618670769761,Yes,Urban,6.317002994944834,High School,Mahasarakam,55.0,4282.361819441364
Married,Female,49.0,0.5840478161870131,Yes,Rural,6.188185342854882,Graduate School,Khon Kaen,73.0,5025.35693585863
Divorced,Male,51.0,-0.274786197645952,Yes,Urban,4.651609276345767,High School,Mahasarakam,69.0,3886.7886427660605
Single,Male,62.0,-0.022856557193708132,Yes,Urban,6.584903646912413,College,Udon,37.0,3412.4892450521465
Married,Female,,-0.29338564853068594,Yes,Urban,3.6189356898290534,High School,Khon Kaen,89.0,5288.173870249174
Single,Male,46.0,0.43996371566660497,No,Rural,6.77711562247462,College,Udon,99.0,4075.631360135886
Single,Male,54.0,0.44240040957089954,Yes,Urban,,High School,Mahasarakam,68.0,4525.074582378696
,Female,51.0,0.3157417870695707,No,Suburban,5.480628012224698,High School,Khon Kaen,77.0,4398.43175566473
Divorced,Male,56.0,-0.6472028106069786,Yes,Urban,4.641520427911741,Graduate School,Mahasarakam,36.0,4613.769687037297
Married,Female,60.0,0.17459719522837058,Yes,Urban,4.290190506264032,Graduate School,,68.0,4463.087804751786
Married,,61.0,-0.1332169394504631,No,Urban,2.064856581824003,High School,Udon,54.0,4151.908260331204
Single,Female,50.0,0.1796933587675427,No,Rural,5.792356211839984,College,Khon Kaen,84.0,3837.9111122740724
Single,Male,45.0,0.4046201360614959,Yes,Urban,4.86454756681931,,Udon,98.0,5702.587017391348
Divorced,Male,53.0,-1.0979010615901026,Yes,Rural,5.42179103765301,Graduate School,Mahasarakam,84.0,4003.0482361454133
Divorced,Female,55.0,-0.355339825592371,Yes,Rural,5.6335593645748805,High School,Udon,53.0,3420.7664525690825
Divorced,Female,53.0,-0.1321446633550844,No,Suburban,5.388270736874764,College,Udon,64.0,5604.618607909197
Divorced,Female,58.0,0.07272947324161902,Yes,Urban,6.221660451641052,High School,Khon Kaen,58.0,4755.828518124809
Divorced,Female,49.0,0.36110835601862035,Yes,Urban,6.307537364357094,College,Khon Kaen,52.0,4579.620182423108
