Months with Company,Location Code,Renew,Marital Status,Brand Loyalty,Education Level,Annual Income,Active online hours,Age,Gender,City
23.0,Urban,Yes,Divorced,-0.3025143496549377,College,44857.65363036482,6.653867157157395,44.0,M,Manchester
86.0,Rural,No,Divorced,-0.24391671112956384,College,42003.93298919298,7.697244438435246,49.0,F,New Castle
72.0,Suburban,Yes,Divorced,0.11916330704101866,Graduate School,53292.94490154788,8.319317158193268,47.0,M,London
80.0,Urban,Yes,Single,-0.8607085770962436,College,64448.269438952484,5.655017652313903,57.0,M,New Castle
52.0,Suburban,Yes,Single,-0.47165762905698083,College,56362.71519784855,4.94440299629542,55.0,F,London
68.0,Rural,No,Single,0.31249162140816805,High School,42746.80422663827,6.22678815068217,69.0,F,Manchester
50.0,Urban,Yes,Divorced,0.022676602849431793,College,62973.849038491695,7.44210686771332,52.0,F,Manchester
38.0,Rural,No,Married,0.5248569951332644,High School,40209.66248649661,4.713091347775056,56.0,M,Manchester
56.0,Rural,No,Single,-0.3108389179345227,High School,47377.3135903752,5.655940155636617,50.0,F,New Castle
65.0,Rural,No,Married,0.6347945932232701,High School,45485.81269465851,5.745168837525258,35.0,F,Manchester
37.0,Urban,Yes,Divorced,-0.21634464498337827,High School,69104.70862476964,3.506590399654406,64.0,M,
57.0,Suburban,Yes,Single,-0.37471889844726014,College,50939.48997440383,5.208501805688301,65.0,F,Manchester
66.0,Rural,No,Single,-0.31957724065065185,High School,73516.47327386128,9.239463693564067,35.0,F,Manchester
36.0,Suburban,Yes,Married,0.7465329870976066,Graduate School,39332.43195149851,6.090960278659629,54.0,F,Manchester
30.0,Rural,Yes,Divorced,,College,57908.95761708388,4.654213964489128,48.0,M,Manchester
73.0,Rural,No,Married,-0.5578250097278064,High School,41323.505519896564,6.865906978278404,58.0,M,New Castle
90.0,Suburban,Yes,Single,-0.07580468076207815,Graduate School,70356.05231621955,6.576129313777685,64.0,M,London
63.0,Rural,No,Married,-0.3822172030949175,College,51432.86138377385,7.523606728912395,41.0,F,Manchester
,Suburban,No,,-0.2677553524757207,College,43541.880405046126,7.50441859876887,46.0,M,London
42.0,Urban,Yes,Divorced,0.06992044522610474,High School,61712.590912716434,4.249143996997704,54.0,F,Manchester
32.0,Urban,Yes,Divorced,-0.4577510206510362,High School,34343.70583649729,5.976423554350769,50.0,,London
78.0,Rural,,Single,-0.09616049487138438,College,46490.05706752622,7.508987748847508,33.0,F,London
26.0,Urban,Yes,Married,-0.2805313590683921,High School,58590.29456803867,3.65663736790771,58.0,F,London
50.0,Urban,Yes,Divorced,0.2519629470934541,Graduate School,43153.49992157365,6.085397189567577,56.0,M,New Castle
71.0,Urban,Yes,Divorced,,Graduate School,56846.78018320205,7.6731003356752066,61.0,M,New Castle
24.0,Suburban,Yes,Single,-0.3088776782274314,High School,49830.31036953303,3.7045939636964476,59.0,F,London
52.0,Urban,,Single,-0.5019915214380966,Graduate School,78103.55975535228,4.929719887219251,56.0,F,London
37.0,Urban,Yes,Married,0.3504732070401039,Graduate School,77077.90672822592,4.247534020921435,48.0,M,Manchester
50.0,Rural,No,Married,-0.610708596737178,College,46137.841253052306,5.999160528322686,38.0,M,London
