Location Code,Months with Company,Annual Income,Age,Marital Status,City,Sex,Renew,Brand Loyalty,Online Activity,Education Level
Urban,42.0,47024.04758450483,24.0,Divorced,Mahasarakam,Male,Yes,-0.12118628093275496,8.326654959741184,High School
Rural,73.0,52361.6394974405,42.0,Married,Udon,Female,No,-0.14787180166074923,4.778847456295313,Graduate School
Suburban,76.0,39336.80927958504,37.0,Married,Udon,Male,No,-0.5175945872813941,4.370450763998683,College
Suburban,66.0,44748.38799176497,46.0,Divorced,Mahasarakam,Female,Yes,-0.07375911367853186,,Graduate School
Suburban,86.0,46765.170522035856,42.0,Married,Khon Kaen,,No,0.18199327023280992,,High School
Suburban,33.0,57246.3949893718,62.0,Single,Mahasarakam,Female,Yes,0.6011030292438335,7.255804880250121,High School
Urban,59.0,36848.35871862084,57.0,Divorced,Khon Kaen,Female,Yes,-0.1628277956862435,7.182628399960699,College
Rural,79.0,50921.56308431379,39.0,Single,Mahasarakam,Male,No,-0.04205010044563623,5.009539912828951,High School
Urban,39.0,58505.036514810374,39.0,Divorced,Mahasarakam,Male,Yes,0.04969110026896651,8.027059141584196,High School
Urban,36.0,44766.481594768375,,Divorced,Mahasarakam,Male,Yes,0.02182711216096189,7.3313539787983855,High School
Urban,39.0,44909.7734917124,54.0,Divorced,Khon Kaen,Male,Yes,,5.140935550349235,High School
Rural,57.0,80295.4163271688,47.0,Married,Mahasarakam,Female,No,0.10886019853535862,3.648876168705118,High School
Urban,41.0,53535.465706898154,33.0,Single,Khon Kaen,Female,Yes,0.580412990260122,6.533220107592504,College
Urban,31.0,59945.505003877646,37.0,Married,Khon Kaen,Female,Yes,,5.7762884031631625,Graduate School
Urban,45.0,43055.25037226039,49.0,Divorced,Udon,Female,Yes,-0.18808631691997757,7.069675902461125,College
Suburban,58.0,55257.40803974579,53.0,Divorced,Udon,Male,Yes,0.7483330227666515,5.679983990732895,College
Rural,95.0,50303.187890771995,49.0,Married,Khon Kaen,Female,No,-0.13090773248646406,6.239013582786238,High School
Urban,32.0,50017.45427673197,39.0,Divorced,Udon,Male,Yes,-0.16643782029873508,8.577188579235479,Graduate School
