City,Renew,Active online hours,Education Level,Years after high school graduation,Location Code,Marital Status,Gender,Brand Loyalty,Annual Income,Years subscribed
Khon Kaen,Yes,6.180955638740404,Graduate School,38.0,Suburban,Single,F,-0.4827675330508417,64108.12731485325,5.0
Udon,No,7.336080775167783,College,33.0,Rural,Married,F,-0.639006810710046,42463.31301885749,4.0
Mahasarakam,Yes,3.8132002384282235,Graduate School,31.0,Suburban,Divorced,M,0.46667693801960897,53757.3150922665,4.0
Mahasarakam,No,7.989390259162958,College,39.0,Rural,Married,M,0.9808903920751393,53157.631611852594,7.0
Mahasarakam,Yes,7.196643412025985,High School,31.0,Rural,Divorced,F,-0.49620302133531774,34405.58425890781,5.0
Mahasarakam,No,6.360573305964852,College,37.0,Urban,Single,F,-0.09194411119398133,31728.122617051442,3.0
Mahasarakam,No,3.5070031582628,College,22.0,Rural,Divorced,F,-0.1914110468442996,59085.27472029113,8.0
Mahasarakam,Yes,5.740055256300896,Graduate School,38.0,Suburban,Married,F,-0.3028894179266405,33717.23321925192,5.0
Mahasarakam,No,5.98135250481959,College,36.0,Urban,Single,M,0.6912326342566055,44823.04205310893,6.0
Mahasarakam,No,5.469671618578451,College,26.0,Suburban,Married,F,-0.10359874664066672,43052.96421362718,3.0
Khon Kaen,Yes,4.895108584822267,Graduate School,37.0,Suburban,Single,F,0.1457477639145192,61555.036158306255,5.0
Khon Kaen,No,6.051244277116764,College,34.0,Rural,Married,M,0.14305932924866438,45441.32160249327,2.0
Mahasarakam,Yes,4.530400177125579,High School,41.0,Urban,Married,F,0.34133744067572724,59471.95357581363,3.0
Khon Kaen,Yes,6.504486285417366,College,23.0,Urban,Married,F,-0.27478307859919504,63971.72156909677,6.0
Khon Kaen,Yes,5.0600070914540884,High School,36.0,Suburban,Divorced,F,0.1407167429155438,69340.38119032746,4.0
Udon,Yes,4.628446503223908,College,37.0,Urban,Married,M,0.24414005594008664,59999.05404552286,6.0
Mahasarakam,Yes,7.513548796620501,High School,38.0,Urban,Married,M,-0.818564019254656,67175.59482693768,9.0
Udon,Yes,4.903339675684704,College,26.0,Rural,Divorced,F,0.5145637537717846,51605.19956374514,7.0
Udon,Yes,5.75733592506535,Graduate School,40.0,Suburban,Single,M,-0.13993568250347715,57485.41349291503,4.0
Mahasarakam,Yes,4.244700405615246,College,36.0,Suburban,Divorced,F,-0.10263357421296398,35023.24637121233,5.0
Khon Kaen,Yes,4.853056768879923,Graduate School,31.0,Suburban,Divorced,F,-0.04930742538221344,60316.65844945342,5.0
Udon,Yes,6.11074190486785,College,39.0,Suburban,Married,M,2.013221002680754e-05,56048.75744786684,6.0
Khon Kaen,Yes,4.801522507182384,High School,30.0,Suburban,Divorced,F,-0.4465406144215447,59587.41263124546,6.0
Mahasarakam,No,6.471807062416733,Graduate School,40.0,Suburban,Single,F,0.5405614116537493,25202.61774510723,3.0
Udon,No,2.5983859276241392,High School,20.0,Rural,Single,F,-0.25554031461912347,67607.24325537178,6.0
Udon,No,6.910372066451067,High School,33.0,Urban,Single,M,0.5388768499652412,43281.80471216412,4.0
,Yes,3.200480510848087,College,35.0,Urban,Married,,0.3655901762681346,42126.34459768763,4.0
Mahasarakam,No,5.167953982168999,Graduate School,22.0,Suburban,Married,M,0.22861391933988195,46904.16686174984,3.0
Mahasarakam,Yes,5.477769362785316,,35.0,Suburban,Divorced,F,0.013592606764176146,41542.321646530756,7.0
Udon,Yes,3.7877157135041877,Graduate School,36.0,Suburban,Divorced,F,1.0163636247893635,65149.037066118806,6.0
Udon,No,7.252465802337755,College,34.0,Rural,Divorced,M,-0.14104612225602944,42465.68190910624,4.0
Udon,Yes,4.350721814077339,Graduate School,29.0,Urban,Single,F,0.21701278476524422,42202.33638723243,5.0
Mahasarakam,Yes,2.3664986812493902,Graduate School,29.0,Urban,Married,M,0.8290568226447954,71009.12324760552,4.0
Udon,No,6.285527358586076,Graduate School,41.0,Rural,Married,F,0.4881295871954947,67259.8451301589,4.0
Mahasarakam,No,6.83694878889521,College,25.0,Rural,Married,F,-0.07190433340024534,39954.394725888465,6.0
Khon Kaen,Yes,5.647383095807827,Graduate School,31.0,Rural,Married,F,0.39345213183673033,38623.82732813799,6.0
Udon,No,6.954615486543652,College,40.0,Rural,Divorced,M,0.2765589473908306,61714.867477791944,5.0
,Yes,6.571703111192418,College,33.0,Urban,Divorced,F,-0.26474516900097883,79755.36269714223,6.0
