Location Code,Months with Company,Education Level,Marital Status,City,Sex,Brand Loyalty,Annual Income,Active online hours,Age,Renew
Urban,29.0,Graduate School,Single,Osaka,Female,-0.16244955894009094,67975.57451250135,3.956425293036525,61.0,Yes
Rural,60.0,College,Married,Kyoto,Female,0.32034808443578916,80331.21113666556,7.7269181783381455,38.0,No
Suburban,63.0,High School,Divorced,Osaka,Female,-0.009995346359675028,64916.003629676474,7.086979197451077,49.0,Yes
Suburban,46.0,College,Divorced,Osaka,Male,-0.05409036450626442,78577.54654630115,4.479641382167138,45.0,Yes
Suburban,57.0,Graduate School,Married,Tokyo,Female,0.013485081990175202,66925.55744270375,6.758349453646977,45.0,No
Rural,40.0,College,Married,Tokyo,Male,-0.021633204916351872,59975.73150448322,7.207449234803001,44.0,No
Urban,59.0,Graduate School,Divorced,Kyoto,Female,-1.0863700994573873,52168.33910735748,4.015852674979672,34.0,Yes
Urban,49.0,College,Single,Kyoto,Male,0.31619604496067955,67654.42229027995,5.073214646337364,43.0,Yes
Suburban,75.0,High School,Married,Tokyo,Male,0.33975354264851587,89030.25091699572,5.5671823342068825,51.0,Yes
Urban,35.0,College,Divorced,Kyoto,Female,-0.18448078153180264,61213.35789955452,3.0240691966717166,50.0,Yes
Rural,64.0,College,Single,Osaka,Female,0.6349731081353032,59652.055198626986,4.8427406969174855,44.0,No
Rural,53.0,College,Married,Kyoto,Male,0.8077033672642491,55147.651281269245,4.500413030153004,46.0,No
Urban,25.0,College,Divorced,Tokyo,Male,-0.3918550581315201,51979.941560230756,6.854872729914941,55.0,Yes
Urban,42.0,High School,Divorced,Kyoto,Female,-0.029889315021213808,71046.21874123054,4.245076469483052,53.0,Yes
Rural,40.0,College,Married,Kyoto,Male,0.8273717744966613,78690.39562091726,4.951647088670483,46.0,No
Rural,62.0,High School,Divorced,Kyoto,Female,0.3973795497310282,76392.4903473262,5.469698576707153,45.0,No
Rural,60.0,High School,Married,Osaka,Male,0.5080443452792484,70998.01677317728,4.6660110229340415,42.0,Yes
Rural,42.0,Graduate School,Single,Tokyo,Male,-0.7813218505205388,39795.14067489335,5.279822574166295,66.0,Yes
Urban,70.0,High School,Divorced,Osaka,Male,0.22290523216971594,32130.13331406897,6.062178090929724,53.0,Yes
Urban,39.0,College,,Osaka,Female,0.43904578432192687,65044.35195396145,7.293958953534115,49.0,Yes
Suburban,50.0,Graduate School,Divorced,Osaka,Male,0.3452347451847093,50701.27124727346,5.297070212252328,49.0,No
Rural,78.0,Graduate School,,Osaka,Female,0.6488447048094748,47975.098702887786,4.696365600037449,43.0,No
Urban,86.0,High School,Married,Osaka,Male,0.08637687958592119,67495.94389851505,6.067963738269183,36.0,Yes
Rural,46.0,High School,Single,Tokyo,Female,,60646.399239518534,6.155897512998161,47.0,
