Renew,Brand Loyalty,Location Code,Years after high school graduation,Gender,Marital Status,Education Level,Monthly Income,City,Years subscribed,Active online hours
Yes,0.3981111572708145,Urban,37.0,F,Divorced,Graduate School,6245.188370583221,Manchester,5.0,3.9508562609018565
Yes,-0.06793000103903099,Urban,45.0,M,Divorced,Graduate School,4835.8159121966055,New Castle,3.0,5.439050613135486
Yes,-0.5683949918388536,Urban,18.0,F,Single,Graduate School,3939.891886564515,Manchester,7.0,5.271592806162711
Yes,0.8731552689334963,Suburban,47.0,M,Divorced,Graduate School,6363.764244151494,New Castle,1.0,
Yes,0.5592369767894259,Urban,50.0,M,Single,High School,3269.698574153399,New Castle,2.0,6.820020299984785
Yes,-0.5294313086672054,Urban,35.0,F,Single,Graduate School,5830.182770422187,,4.0,4.187434958166801
No,0.15261506745799552,Suburban,37.0,M,Divorced,College,5359.30945438251,London,1.0,5.315872494530683
Yes,0.012259019135635346,Urban,55.0,F,Single,Graduate School,4299.434471640134,London,3.0,4.394918563067802
No,-0.673787099241566,Rural,16.0,M,Divorced,College,3337.350812292995,London,,4.512760599139158
Yes,0.005896585847726427,Urban,35.0,F,Divorced,Graduate School,3687.5322126030946,London,4.0,6.685692098265371
No,0.15273756813291473,Rural,27.0,F,Married,Graduate School,4565.576000123143,New Castle,4.0,5.397125423350408
Yes,-0.24426483952368305,Urban,26.0,F,Divorced,High School,4702.020733536856,Manchester,6.0,7.094685046849666
Yes,-0.5320899805265009,Suburban,21.0,M,Divorced,College,4787.864904026803,Manchester,7.0,5.751512391489403
Yes,0.7800638956526654,Urban,40.0,F,Single,High School,3879.600414470608,Manchester,5.0,
Yes,0.0884149949282271,Urban,35.0,M,Single,High School,3645.9403775751707,Manchester,5.0,4.751176553174968
Yes,0.6314108547743257,Suburban,49.0,F,Single,College,5475.549571219231,London,4.0,5.57259004689541
No,-0.3358214994155101,Suburban,25.0,M,Married,High School,2760.4464709000704,New Castle,5.0,6.701667152287812
Yes,-0.5426971702620726,Urban,30.0,M,Divorced,High School,4724.5044865757145,New Castle,4.0,5.637909653545136
Yes,-0.5396868684852298,Urban,40.0,F,Divorced,College,4360.428250814397,London,4.0,6.317830586625969
Yes,0.08971343793755496,Suburban,41.0,M,Divorced,College,4158.8525734127015,Manchester,5.0,3.6729806406641505
Yes,0.7897230155406016,Suburban,49.0,M,Divorced,High School,4404.479046301496,Manchester,3.0,7.289951976673668
Yes,0.05152999239030387,Suburban,36.0,M,Divorced,High School,2959.535249778093,London,5.0,4.791872444757644
Yes,0.8784002516481904,Urban,50.0,F,Divorced,High School,1367.4139582566354,Manchester,1.0,4.768844060880676
Yes,0.544072046309805,Urban,36.0,F,Single,Graduate School,2410.4778623339053,New Castle,4.0,6.889111650267191
,-0.37489369824170005,Urban,33.0,M,Single,High School,4468.609170594343,London,7.0,4.918346984044871
No,0.21050243632606847,Rural,40.0,F,Divorced,High School,5998.610499426272,Manchester,3.0,5.519129992105326
,0.015305790430848093,Rural,24.0,F,Married,Graduate School,5400.516971511248,Manchester,5.0,5.915665170070259
Yes,-0.14501643322956959,Suburban,21.0,M,Divorced,College,6242.4726040984815,New Castle,6.0,4.726351997063304
No,-0.13354847154571783,Rural,25.0,F,Married,College,2901.948055413027,London,3.0,5.017247606379504
Yes,0.41859986132217397,Suburban,45.0,F,Single,High School,4327.388928373579,New Castle,0.0,3.6483695158904936
No,0.5198956357697144,,27.0,F,Divorced,College,3107.122550309078,Manchester,3.0,5.922506657906399
No,0.04213942557005812,Urban,22.0,M,Married,College,4770.118357541311,New Castle,6.0,6.305262415627562
Yes,0.6499141331481781,Suburban,46.0,F,Divorced,High School,4436.2937523221835,Manchester,3.0,7.670671483554351
No,0.1414750328677643,Rural,33.0,M,Single,College,5191.48118910347,London,5.0,6.814498817599276
Yes,0.6038713146455523,Urban,53.0,F,Married,Graduate School,4991.457719117867,New Castle,3.0,3.346455570832993
Yes,0.142031661423338,Urban,25.0,M,Married,College,6040.931334259149,Manchester,8.0,3.833184033788865
Yes,-0.041029494195606656,Urban,28.0,F,Divorced,High School,5084.626873265775,Manchester,4.0,5.250428084541155
No,0.2252727688295605,Rural,34.0,M,Married,High School,4770.204980978172,New Castle,4.0,4.324238856166561
No,-0.5700039884743827,Rural,26.0,F,Divorced,College,4829.717101437227,London,2.0,6.82820921161793
No,-0.10083304124798641,Rural,26.0,F,Married,College,4164.154098485453,Manchester,5.0,4.989160886502995
Yes,0.2873847349814757,Suburban,38.0,F,Divorced,Graduate School,3694.2174260797306,London,5.0,7.994645625690923
No,0.7845871581850492,Suburban,39.0,M,Divorced,Graduate School,4165.552886502113,Manchester,3.0,5.586397889861698
No,-0.6045577087259,Urban,7.0,M,Married,High School,3814.1997915481024,New Castle,3.0,5.021359824894624
Yes,0.2487718063612978,Urban,48.0,F,Single,Graduate School,4232.5993641119485,Manchester,3.0,6.774904046885653
Yes,-0.3620753420269496,Suburban,34.0,F,Divorced,High School,5797.494172918376,Manchester,5.0,3.7637354732744264
No,0.37862876872419626,Rural,35.0,,Single,High School,3895.5188030969753,New Castle,5.0,4.265405379828307
No,-0.06778638190692327,Suburban,38.0,M,Single,Graduate School,3477.7465073153035,New Castle,5.0,5.683615035305154
Yes,-0.030148295645450893,Urban,43.0,M,Married,Graduate School,5366.446737378899,Manchester,5.0,5.736793895022039
No,-0.07664298754593049,Rural,21.0,F,Divorced,College,3241.6554444316844,New Castle,3.0,5.384046671306217
Yes,0.8714281593976556,Rural,59.0,M,Divorced,Graduate School,4007.321931510153,London,4.0,5.884553018444431
Yes,0.45351606470913763,Urban,37.0,M,Single,Graduate School,5005.988731760286,Manchester,3.0,
Yes,0.01811554426749859,Urban,13.0,F,,High School,3636.200204084681,London,4.0,6.387974209046862
No,0.4597333567934416,Rural,31.0,F,Married,Graduate School,3065.232663556056,London,6.0,5.257004117274
No,0.12970464328507747,Suburban,26.0,M,Married,High School,4971.335282950252,London,6.0,4.571396320767789
Yes,0.6610661730574576,Urban,49.0,F,Single,Graduate School,2825.95571206404,London,3.0,4.559976352533147
Yes,0.44072462536591317,Urban,55.0,F,Divorced,College,3560.771930073219,New Castle,1.0,7.690369763302346
Yes,0.010249444450045136,Urban,35.0,M,Divorced,Graduate School,5924.470126608354,New Castle,6.0,5.25325486885865
No,-0.34805284737986836,Rural,25.0,F,Married,College,4957.265614142598,London,6.0,5.8724435690298575
No,0.1313836235752538,Suburban,32.0,F,Divorced,Graduate School,5053.6650489033,Manchester,4.0,5.667917427019079
Yes,-0.37925838254776684,Suburban,45.0,F,Married,Graduate School,5641.343905051608,Manchester,2.0,3.745000196683475
Yes,-0.31785400619388837,Urban,37.0,F,Single,Graduate School,3352.1841166434724,Manchester,3.0,3.7549419337226073
Yes,-0.5184212830006327,Rural,30.0,F,Single,Graduate School,4370.847853549005,New Castle,5.0,6.031169581851671
No,-0.03637722901555758,Rural,31.0,M,Divorced,College,4955.98132276581,New Castle,3.0,5.7549299502226505
Yes,-0.4825865792435347,Urban,12.0,M,,High School,5397.719784930715,London,7.0,5.444203223807804
Yes,0.5475262486200753,Urban,36.0,F,Married,College,2871.9319601856314,London,,6.439991901238026
Yes,-0.13089950138070156,Rural,42.0,F,Single,,4746.874961655314,New Castle,,4.185602730115597
Yes,-0.5062280411151624,Suburban,22.0,F,Divorced,College,6944.824922024438,New Castle,5.0,5.456211659036405
Yes,-0.1523708859180848,Urban,33.0,M,Single,College,4726.854498127139,New Castle,5.0,2.5233390723174343
No,0.282908091604604,Rural,30.0,F,Single,High School,5682.357427348405,New Castle,3.0,6.025631979868231
No,-0.0971118646484033,Rural,15.0,M,Married,College,7068.8715899797735,London,4.0,5.872716799685905
Yes,0.006320600407267785,Urban,40.0,M,Divorced,Graduate School,2259.9108974713126,Manchester,7.0,4.6204112833123645
No,0.5323146504216166,Rural,47.0,M,Divorced,College,2653.57606046838,Manchester,5.0,6.296168886337169
No,0.7385347584360241,Suburban,26.0,F,Married,College,4732.612213971546,London,3.0,3.9631104762086578
Yes,0.5323172752896483,Suburban,51.0,F,Married,High School,5837.991042124325,New Castle,4.0,4.781460347559822
No,0.5825237748280804,Rural,30.0,M,Single,High School,6582.49614291306,London,3.0,7.223831998275478
Yes,0.2993391535514621,Suburban,38.0,M,Divorced,Graduate School,4337.750775012709,New Castle,4.0,5.342114183190474
Yes,-0.10603861867746714,Urban,35.0,F,Divorced,Graduate School,6669.528106762384,London,2.0,6.644123381530106
Yes,-0.3159753897923838,Urban,37.0,M,Divorced,College,6831.268045944574,Manchester,4.0,3.434902046247259
No,0.243726063372597,Suburban,26.0,F,Single,College,3547.9407344166084,Manchester,3.0,4.421919402341729
Yes,-0.12290047445041899,Urban,36.0,M,Married,College,3524.0789487636716,New Castle,4.0,5.702497684362228
