City,Renew,Monthly Income,Education Level,Months after becoming member,Active online hours,Sex,Marital Status,Location Code,Years after high school graduation,Brand Loyalty
Tokyo,No,6009.081642238729,Graduate School,54.0,6.231186531492718,Male,Single,Rural,14.0,0.8207497106139885
Osaka,Yes,7693.957336589073,High School,85.0,3.5088245424217654,Female,Married,Urban,22.0,-0.6822482695875607
Kyoto,Yes,4365.268295214456,Graduate School,58.0,5.794266410613552,Female,Single,Urban,33.0,0.6072029798198539
Tokyo,No,4031.7269527212784,College,73.0,5.749503142836892,Female,Married,Rural,15.0,-0.6725211099117225
Tokyo,No,3903.3611837964295,Graduate School,28.0,6.176475476321021,Male,Divorced,Rural,40.0,0.4706347260922914
Kyoto,Yes,3138.5418645346126,High School,94.0,6.263176200848167,Female,Divorced,Urban,30.0,-0.42115713573248753
Tokyo,Yes,6142.124163547467,Graduate School,29.0,4.9070867003907095,Female,Single,Urban,39.0,0.9333866938850335
Tokyo,Yes,5054.000238844286,High School,44.0,5.910359942977186,Male,Single,Urban,38.0,0.18415925918222564
Tokyo,No,6635.347383983661,College,67.0,5.671537723215359,Female,Single,Suburban,18.0,0.13706499180446308
Osaka,Yes,4130.45389864097,Graduate School,55.0,5.7566802239547155,Male,Divorced,Urban,35.0,0.08697448933961965
Kyoto,Yes,4769.482805357238,Graduate School,32.0,5.117728529270183,Female,Divorced,Suburban,17.0,0.1877545593292821
Osaka,No,5468.619555746941,Graduate School,53.0,4.695006404799915,Female,Married,Suburban,32.0,0.16491216827929112
Kyoto,Yes,4188.927359221906,College,86.0,6.067554741953595,Male,Married,Urban,39.0,-0.6107419565266387
Kyoto,No,6422.927843973972,High School,16.0,,Male,Divorced,Suburban,21.0,
Kyoto,No,4856.583252829827,High School,58.0,4.953418427867833,Female,Single,Suburban,6.0,-0.4496343061607666
Kyoto,Yes,4564.164641377101,Graduate School,92.0,5.94149706677715,Male,Single,Urban,27.0,-0.3419326495372631
Osaka,No,4600.375884332033,Graduate School,90.0,4.050407166589615,Female,Married,Rural,7.0,-0.7935787465034285
Kyoto,Yes,4995.553484597611,High School,79.0,5.217695160783974,Male,Divorced,Urban,33.0,0.7771212489245929
Kyoto,No,4525.1261699935685,High School,73.0,6.3971118671730505,Female,,Rural,7.0,-0.5768635651899385
Tokyo,No,5110.502155406955,High School,69.0,6.381732626732744,Male,Married,Suburban,27.0,-0.5283378307797449
Tokyo,No,3290.16441774927,Graduate School,43.0,3.2001848498316843,Male,Married,Rural,25.0,-0.02473758161248446
Osaka,Yes,,Graduate School,46.0,5.435508298605871,Female,Single,Urban,31.0,0.571964687997172
Kyoto,No,3108.689928308553,College,74.0,5.24279556742963,Male,Married,Rural,20.0,-0.521726485600206
Kyoto,Yes,2211.3513903994135,Graduate School,74.0,5.225787535863436,Male,Divorced,Suburban,23.0,-0.22138470534889865
Osaka,Yes,5101.178138299504,High School,39.0,5.847864372909815,Male,Single,Urban,34.0,0.21333943817804524
Osaka,No,5284.781583509979,High School,30.0,4.435394713688051,Female,Married,Rural,24.0,-0.5344206839124298
Tokyo,No,4969.43050403028,Graduate School,83.0,6.789990456961492,Female,Married,Urban,34.0,-0.1170309094547316
Kyoto,Yes,6238.447361861559,Graduate School,49.0,5.914584075061681,Male,Divorced,Urban,39.0,-0.23328846305217432
Osaka,Yes,5107.696575065778,High School,59.0,6.727770525656165,Male,Single,Urban,45.0,-0.3396987521438729
Kyoto,Yes,5372.499462491915,High School,63.0,6.817491808947248,Male,Single,Suburban,49.0,0.40417141898048004
Kyoto,No,4017.8348207452063,College,72.0,4.12052310639105,Female,Married,Rural,17.0,0.391747230035948
Tokyo,No,3206.4529896725116,College,62.0,4.622785397932342,Female,Divorced,Rural,22.0,0.1511259917115707
Kyoto,Yes,5603.108443490553,College,38.0,5.00437501214208,Male,Divorced,Rural,27.0,0.12940526904522298
Kyoto,Yes,5836.139789533165,Graduate School,52.0,7.50582644634811,Female,Divorced,Rural,54.0,0.06774217534454013
Kyoto,No,3010.199481940034,High School,25.0,4.521734015418225,Male,Married,Rural,39.0,0.7560392146290649
Tokyo,Yes,4193.632377905413,High School,46.0,2.321197360983306,Male,Divorced,Urban,42.0,0.20085719101944166
Kyoto,Yes,4300.175538138604,College,50.0,3.9789633010325485,Male,Divorced,Urban,38.0,-0.09577551252744415
Kyoto,Yes,2625.9969398313283,High School,68.0,3.8185119735454642,Male,Divorced,Urban,46.0,0.03694015774697629
Kyoto,Yes,4707.808343452153,High School,62.0,6.24195777632192,Male,Single,Urban,31.0,-0.5431784925508707
Tokyo,No,5242.456568912145,Graduate School,106.0,4.970301053157607,Male,Married,Urban,19.0,-0.6994664483936992
Osaka,No,5209.855808391724,High School,89.0,4.659670176909141,Male,Married,Rural,23.0,-0.1033898427523181
Osaka,No,,High School,34.0,4.602912312846328,Female,Divorced,Rural,24.0,0.31734109340797534
Tokyo,No,3099.3355288113503,High School,67.0,6.603383555611279,Male,,Suburban,29.0,-0.5309980164502199
Kyoto,,5148.612381783596,Graduate School,52.0,6.541125989558001,Female,Married,Rural,31.0,-0.4323091852870834
Osaka,Yes,4300.297738690288,College,42.0,7.080782272983498,Female,Divorced,Suburban,44.0,0.06736150917645906
Osaka,No,,College,41.0,4.605088269140443,Female,Married,Rural,21.0,-0.2736378849286578
Tokyo,Yes,5601.893826464094,High School,72.0,6.433640303304194,Female,Divorced,Suburban,43.0,0.1435188384679884
Osaka,No,6740.869553495402,High School,91.0,6.4547133286914775,Female,Single,Suburban,20.0,-0.9443797514461162
Osaka,Yes,5407.322955179176,Graduate School,49.0,6.444007416444005,Male,Single,Suburban,37.0,0.6434708129926725
Osaka,Yes,2962.1930643414416,High School,63.0,5.80546340098241,Female,Married,Rural,28.0,-0.20329501323440863
Tokyo,Yes,5690.621914904101,High School,62.0,4.774914573718224,Female,Divorced,Suburban,29.0,-0.37288340953692606
Tokyo,Yes,4445.35201266349,Graduate School,68.0,8.068355081187116,Female,Married,Urban,37.0,-0.46678583132335943
Osaka,Yes,3254.944869948268,College,66.0,5.431081659389654,Female,Single,Suburban,46.0,0.25250222291396374
Kyoto,No,4917.981041914644,Graduate School,79.0,6.303629736132875,Male,Married,,16.0,-0.7579737081603657
Osaka,No,3925.7095126630247,College,39.0,6.640018604116357,Male,Married,Rural,31.0,0.4384001371319889
Osaka,Yes,4455.993480802629,High School,64.0,5.946960517478764,Female,Single,Rural,20.0,-0.13946007147900116
Tokyo,No,6461.111745410445,College,72.0,4.921109519590748,Female,Married,,34.0,0.24232192171204814
Kyoto,No,2719.3329618843454,High School,46.0,5.512489598948271,Female,Single,Rural,22.0,-0.16522899682063935
Tokyo,Yes,4702.07111581556,Graduate School,87.0,3.453099108830959,Male,Married,Urban,30.0,-0.7109119985575536
Tokyo,Yes,,Graduate School,57.0,4.380763418882355,Male,Divorced,Urban,42.0,0.29458896676890334
Kyoto,No,,High School,49.0,5.045117920836271,Female,Single,Rural,36.0,0.3338575462459863
,Yes,4407.1910690698705,College,60.0,4.507098243896722,Male,Married,Urban,39.0,-0.3056511909856997
Kyoto,Yes,6383.304814667344,High School,53.0,4.055073476792738,Female,Single,Urban,31.0,0.8047649920203956
Tokyo,Yes,4019.3824308158364,High School,50.0,5.636206218087616,Male,Divorced,Urban,21.0,-0.0485202637293336
Tokyo,No,4905.224997005407,High School,77.0,4.267542762524096,Female,,Rural,26.0,0.12240161156114904
Kyoto,Yes,5412.162093355115,High School,65.0,6.600687451156862,Male,Married,Urban,36.0,-0.2096607820457987
Kyoto,Yes,4773.1801361854705,Graduate School,51.0,6.626240364316634,Female,Married,Suburban,20.0,0.13068738802272117
Kyoto,No,4785.496351743698,High School,79.0,2.203687479248089,Female,Married,Rural,38.0,-0.11108057743333061
Tokyo,Yes,3468.4346365531155,College,80.0,,Female,Married,Suburban,43.0,-0.7747963393621133
Osaka,No,5680.057759869176,High School,45.0,5.0284479305587215,Male,Married,Suburban,14.0,0.3566935317010258
Tokyo,Yes,5002.860137196448,High School,55.0,7.6284346133557435,Female,Divorced,Suburban,24.0,-0.3659270873802192
Tokyo,Yes,5936.430931425992,High School,80.0,5.467873007467641,Female,Divorced,Urban,30.0,-0.2001327527375593
Osaka,Yes,4097.261277294078,College,72.0,9.984878131578302,Female,Divorced,Suburban,29.0,-0.5233994311729808
Osaka,Yes,5731.89686114722,High School,79.0,5.918495409619062,Male,Married,,27.0,-0.030242004372650233
Tokyo,Yes,4705.608763585146,College,99.0,7.202920066618925,Female,Divorced,Suburban,33.0,-0.4938923173393789
Kyoto,Yes,4285.393304278763,College,69.0,6.145952554829239,Male,Divorced,Suburban,23.0,-0.18781273462649054
Osaka,No,6020.317682431956,High School,89.0,5.054742793031281,Male,Married,Rural,20.0,-0.7194460612744458
Osaka,No,3420.2264554794765,College,31.0,4.734144898093488,Female,Married,Rural,36.0,1.0388648116223296
Osaka,Yes,4167.593394577223,High School,63.0,4.933036775057023,Male,Divorced,Rural,27.0,0.11613281818951071
Osaka,No,3440.516910501011,College,64.0,5.557867457110021,Male,Married,Rural,26.0,-0.07599996829082373
Osaka,Yes,4654.660972954152,High School,77.0,5.76302152775129,Female,Single,Suburban,48.0,0.016279657737385045
Osaka,Yes,5862.256314228611,College,69.0,6.485848519906948,Male,Divorced,Urban,22.0,-0.29876420202085185
Kyoto,No,5761.925808177639,College,119.0,7.1407947395764495,Male,Married,Urban,33.0,-0.8232432208679885
Osaka,No,4578.479081236477,Graduate School,68.0,3.3456048665811724,Female,Married,Suburban,21.0,-0.14477315893719536
Tokyo,Yes,2992.978232396792,Graduate School,49.0,5.013908305362536,Male,Married,Suburban,22.0,0.5518632826286219
Osaka,No,4765.755357194549,College,84.0,9.251475901624008,Male,Single,Rural,26.0,-0.6084409801415755
Tokyo,Yes,3937.7396791836354,High School,68.0,4.092429894689315,Male,Married,Urban,38.0,-0.19533130856781844
