City,Online Activity,Years after high school graduation,Education Level,Brand Loyalty,Annual Income,Location Code,Gender,Years subscribed,Marital Status,Renew
,4.910903140648162,37.0,College,-0.3498369657659146,56425.49047741742,Urban,F,5.0,Married,No
Mahasarakam,5.519095315210842,24.0,Graduate School,0.4262114366597091,54299.4302953719,Suburban,F,2.0,Divorced,Yes
Khon Kaen,7.353842132946168,19.0,High School,0.7281780861640583,58983.10342832901,Suburban,M,2.0,Divorced,Yes
Udon,3.65686274479023,27.0,College,0.09121903649420848,60945.29976302359,Suburban,M,5.0,Divorced,Yes
Udon,3.6987334603051307,24.0,College,1.0369953555389229,84294.43630394663,Urban,F,0.0,Married,Yes
Khon Kaen,5.543625358372372,22.0,Graduate School,0.33778332548950174,74270.62483305405,Urban,F,2.0,Divorced,Yes
Udon,7.735636162334447,48.0,Graduate School,0.28523890389067547,46516.09372650135,Rural,M,6.0,Divorced,No
Mahasarakam,4.0242264037347955,26.0,Graduate School,0.8259385225788325,65667.02217779774,Rural,M,3.0,Divorced,Yes
Udon,5.113138891345869,30.0,Graduate School,-0.08529056110595024,53176.64188578326,Suburban,M,5.0,Single,Yes
Khon Kaen,2.9016212904178778,25.0,College,0.0709046779943297,56279.30215852655,Urban,M,6.0,Divorced,Yes
Khon Kaen,4.569342619134268,30.0,High School,-0.060455300985109706,61901.112038330066,Suburban,M,6.0,Divorced,Yes
Udon,4.69112345508938,44.0,College,0.21132255228258362,63640.129812498744,Urban,M,4.0,Single,Yes
Udon,6.3128422563480715,22.0,High School,0.4360007020840847,56787.65549185404,Suburban,M,3.0,Single,Yes
Udon,,32.0,Graduate School,0.10010489136632503,41349.55726379899,Rural,F,6.0,Divorced,No
Mahasarakam,5.023303510757235,50.0,Graduate School,0.17696821242236477,33877.322269340904,Suburban,M,7.0,Married,No
Mahasarakam,3.111098664502693,37.0,High School,0.23573201441020786,50039.77365181504,Urban,M,6.0,Divorced,Yes
Udon,3.535428935381722,29.0,Graduate School,0.2390232960819369,39190.8407230356,Suburban,F,7.0,Married,No
Udon,6.3496185863493615,29.0,High School,0.41212803486841865,49637.216908093294,Rural,M,5.0,Single,Yes
Khon Kaen,4.727152048599099,15.0,College,0.03307299244377809,69940.05631363262,Urban,F,3.0,Single,Yes
Udon,3.329517589478547,36.0,High School,-0.002224365723917626,62000.22243591198,Urban,M,6.0,Married,No
Mahasarakam,3.5818797458021883,29.0,High School,0.8719947648591707,42276.137369516444,Rural,M,7.0,Divorced,No
Mahasarakam,3.218170828561761,39.0,Graduate School,-0.006979252055555635,56781.755294629766,Rural,F,4.0,Divorced,No
Udon,5.6699863514173465,35.0,College,-0.6984407563198816,71215.78676576396,Suburban,F,2.0,Divorced,No
Khon Kaen,6.877147849389209,45.0,College,-0.8987882511765779,55414.46407986189,Rural,F,4.0,Married,No
Mahasarakam,6.605383264404079,33.0,College,-0.44602216360963054,58387.72998925924,Rural,F,4.0,Married,No
Mahasarakam,3.9225605027171584,33.0,College,0.11754221724107343,52306.06820581105,Rural,F,6.0,Married,No
Udon,4.972321676664463,,High School,0.029128472464339805,53023.963615181536,Suburban,F,7.0,Married,No
Udon,5.26285361817589,30.0,High School,0.44186701571797427,52625.24699659582,Urban,M,5.0,,Yes
Mahasarakam,5.009146403245838,34.0,High School,-0.23114522333799103,41328.65249510415,Rural,F,5.0,Single,No
Mahasarakam,5.564393903259884,31.0,High School,0.12216020906018048,41697.52599317583,Rural,F,4.0,,No
Khon Kaen,5.547490597850758,48.0,Graduate School,0.097853567129328,58759.33480841781,Suburban,F,3.0,Divorced,Yes
Mahasarakam,2.4354755545128857,38.0,High School,0.49850818197037,58111.028468156685,Suburban,F,3.0,Married,Yes
Khon Kaen,6.5973077646455085,31.0,College,0.5894478247450969,44824.08501670898,Urban,F,2.0,Single,Yes
Udon,4.087827367485125,46.0,High School,0.5487067699122687,66195.38652945672,Suburban,M,3.0,Divorced,
Udon,5.159844111316734,26.0,High School,0.3070379460696138,57539.572978704455,Rural,M,5.0,Married,No
Khon Kaen,4.13197614959302,29.0,College,0.592714454729103,75235.97052616223,Suburban,M,4.0,Divorced,Yes
Udon,5.647151364442243,25.0,High School,0.6219920459873713,57010.24245917177,Urban,F,5.0,Divorced,Yes
Udon,3.6966061605425944,31.0,,0.284153808569481,64860.8913374433,Urban,F,3.0,Divorced,Yes
Udon,3.270639295043555,41.0,College,0.103347481669118,53247.17849226058,Urban,F,6.0,Divorced,Yes
Udon,2.353302785229813,13.0,High School,0.099236875104773,46651.46755006022,Rural,M,6.0,Married,No
Khon Kaen,5.36029579595473,15.0,College,1.1052027074044926,43400.674561407424,Suburban,M,2.0,Divorced,Yes
Mahasarakam,5.951772878878159,42.0,Graduate School,0.33801857784549205,62609.218573115824,Suburban,F,5.0,Married,No
Udon,,42.0,College,0.9050213844740487,31203.44515993579,Rural,M,8.0,Single,No
Khon Kaen,4.511178815578792,,College,0.6781412619747242,59325.96844787497,Urban,F,4.0,Single,Yes
Udon,4.30221963644503,22.0,High School,-0.1659015492359508,39843.1543643284,Suburban,F,7.0,Divorced,Yes
Mahasarakam,5.5334040907699755,42.0,High School,0.5494896931900399,50897.117801663146,Urban,F,4.0,Single,Yes
Khon Kaen,4.477440322682064,26.0,High School,0.3844450555547636,73135.56929494934,Urban,F,2.0,Divorced,Yes
Mahasarakam,4.982207733003188,18.0,Graduate School,-0.2131322934030097,40280.889003461096,Suburban,M,6.0,Divorced,No
Khon Kaen,4.046708332103013,22.0,College,0.3735888294839116,64775.751766538444,Urban,F,4.0,Divorced,Yes
Udon,2.975153828558514,41.0,High School,0.315144192800884,61693.95133523632,Urban,M,5.0,Divorced,Yes
Mahasarakam,,17.0,College,0.061885954389943154,75290.05577278153,Rural,F,5.0,Married,No
Udon,4.0526168568710785,29.0,High School,0.32667303717388174,55674.268209261754,Urban,M,4.0,Divorced,Yes
Mahasarakam,5.8923347768663605,21.0,High School,,54670.964883270586,Urban,F,3.0,Single,Yes
Udon,4.670253680485652,35.0,College,0.49194623337430066,57870.02057749077,Suburban,F,4.0,Married,Yes
Mahasarakam,5.209930624561607,26.0,Graduate School,1.2523865676780515,57587.06810399656,Urban,M,3.0,Single,Yes
Udon,3.1082348141049563,34.0,Graduate School,1.0647242520841154,38996.34236539973,Rural,F,8.0,Married,No
