Location Code,Annual Income,Years after high school graduation,Marital Status,Sex,Renew,Brand Loyalty,Hours Online,Years subscribed,City,Education Level
Rural,59531.07138259304,27.0,Married,Female,No,-0.317954486745674,5.042199278327457,6.0,,High School
Urban,41304.32191096649,21.0,Divorced,Male,Yes,-0.03638690742402367,6.04794585034989,3.0,Mahasarakam,High School
Urban,50595.318898645295,22.0,Divorced,Male,Yes,0.029250564788457195,6.37824205670727,5.0,Udon,Graduate School
Suburban,50934.81075847073,31.0,Married,Female,No,0.8511048004399668,5.278717955013556,1.0,Udon,College
Urban,36975.2685254073,36.0,Married,Female,Yes,-0.2873415926288859,,2.0,Khon Kaen,High School
Urban,18614.750288315703,36.0,Divorced,Male,Yes,1.2924811867058938,2.8039859784066583,1.0,Mahasarakam,Graduate School
Urban,51260.51803215047,29.0,Divorced,Male,No,-0.6214081715303745,5.065370059025052,6.0,Mahasarakam,College
,65357.12862493549,38.0,Married,Female,No,-0.43111640174435556,5.039961312553603,4.0,Udon,College
,,28.0,Single,Female,Yes,0.4379811605810704,3.3876142204015762,3.0,Mahasarakam,College
Rural,,39.0,Married,Female,No,0.189426972209489,2.9206501041588755,5.0,Mahasarakam,High School
Rural,61092.09825138033,24.0,Single,Male,No,0.19324564329852267,2.90484010817018,5.0,Mahasarakam,High School
Urban,44939.0069585115,39.0,Married,Female,No,-0.6823120212388276,7.70993212469096,4.0,Mahasarakam,High School
Urban,38118.151660834046,17.0,Single,Female,Yes,0.23461771201417064,4.812620702861352,2.0,Khon Kaen,High School
Rural,54654.05401153878,44.0,Single,Male,,0.00984335057095545,3.8145938408311264,6.0,Udon,Graduate School
Urban,19337.675283948916,30.0,Divorced,Male,Yes,1.5,1.8938680155380836,1.0,Khon Kaen,Graduate School
Rural,23191.3278035908,31.0,Married,Male,,0.5875529256182273,5.357321557503786,3.0,Udon,Graduate School
Suburban,71007.62528716458,45.0,Divorced,Female,Yes,-0.9402979333884799,6.858546101352095,4.0,Mahasarakam,College
Rural,34724.39275275242,20.0,Divorced,Female,Yes,0.4094509322227895,4.649416443209471,2.0,Mahasarakam,College
Suburban,33978.7091533569,31.0,Divorced,Female,Yes,0.5005738294348578,4.196192194729044,4.0,Udon,Graduate School
Urban,48484.13735131291,42.0,Divorced,Male,Yes,-0.25262258412508165,6.691188878420799,5.0,Udon,Graduate School
Rural,38429.82549283258,25.0,Married,Female,No,-0.6369818458540553,6.344702945240451,5.0,,High School
Urban,55105.5142378803,19.0,,Male,Yes,-0.6056754201583442,7.047917452935301,4.0,Mahasarakam,High School
Suburban,55005.190543138815,39.0,Divorced,Male,Yes,-0.23293785962935556,5.880125529076028,3.0,Udon,College
Suburban,26975.58395153973,30.0,Divorced,Male,Yes,0.7841423461331586,3.93267737758811,3.0,Mahasarakam,Graduate School
Suburban,66950.93274755169,25.0,Married,Male,No,-0.25112949476429425,2.893778988107503,8.0,Udon,College
Urban,34734.8407014959,36.0,Married,Male,Yes,0.45824868173390965,5.153936727934443,4.0,Mahasarakam,Graduate School
Rural,54863.066847784125,23.0,Married,Female,No,0.39889808605973565,6.076511650506203,2.0,Udon,High School
Suburban,66339.78954527511,25.0,Married,Male,No,-0.3860152024679816,4.406023064748621,6.0,Khon Kaen,Graduate School
Suburban,66172.70928386177,20.0,Single,Male,No,0.6123103188481182,2.4850306178907764,4.0,Mahasarakam,College
Rural,57476.2313594765,32.0,Divorced,Male,No,-0.056016474910392605,2.29474942730206,4.0,Khon Kaen,High School
Suburban,45792.31622313806,52.0,Single,Female,No,-0.4490322966977238,6.6186327194723935,5.0,Khon Kaen,Graduate School
Urban,55897.57464475149,33.0,Married,Male,Yes,-0.830794236201905,9.215699289504219,4.0,Udon,Graduate School
Urban,38214.86962044829,50.0,Divorced,Female,Yes,0.4882692289780325,4.518603618385358,3.0,Mahasarakam,High School
Urban,36404.084634762345,39.0,Single,Male,Yes,0.6639794532932658,3.4744984260376093,3.0,Khon Kaen,High School
Urban,35048.38030563414,21.0,Single,Female,Yes,0.768341030530271,4.703268089976536,4.0,Khon Kaen,High School
Rural,65449.71161499927,17.0,Divorced,Male,Yes,-0.7055661753056002,7.001065046530586,3.0,Mahasarakam,Graduate School
Suburban,65962.29771831521,37.0,Single,Male,No,0.36259663260559305,4.55654599321315,6.0,Khon Kaen,College
Rural,61159.48432306707,18.0,Married,Male,Yes,-1.109674440199167,7.8087271769134725,,Udon,Graduate School
Rural,48993.595456422925,41.0,Married,,No,-0.42033923565121367,7.757586862096682,2.0,Khon Kaen,College
Rural,35015.14874467795,37.0,Divorced,Male,Yes,0.5327456343930164,5.199051483524188,3.0,Udon,High School
Urban,42474.25254704914,11.0,Divorced,Male,Yes,-0.2185914766679045,6.447058267922738,2.0,Udon,High School
Suburban,53229.881755229704,30.0,Married,Male,No,1.0357429511011422,5.556388607528115,,Udon,High School
Urban,46242.747738466256,38.0,Divorced,Female,Yes,-0.635845373319118,6.745866392025969,3.0,Mahasarakam,High School
Suburban,44781.0314605415,26.0,Single,Male,Yes,0.0876016721313978,5.849493351846771,4.0,Khon Kaen,High School
Urban,44174.64230622162,47.0,Divorced,Male,Yes,-0.35259169693968995,7.431853947145086,3.0,Mahasarakam,College
Suburban,47700.361358019756,28.0,Single,Female,Yes,-0.3337029114247362,6.47685608555407,3.0,Khon Kaen,College
Urban,21810.910572526893,37.0,Single,Female,Yes,0.43804406153934183,3.4068908230904364,1.0,Khon Kaen,High School
Rural,80400.649360152,29.0,Married,Male,No,-0.04299130778888943,4.414076795537097,7.0,Khon Kaen,Graduate School
Rural,32104.945712177116,32.0,Divorced,Male,Yes,0.6298663595893678,4.854958736825535,3.0,Khon Kaen,High School
