Renew,Years subscribed,City,Sex,Marital Status,Education Level,Active online hours,Location Code,Years after high school graduation,Brand Loyalty,Monthly Income
No,4.0,Khon Kaen,Female,Married,High School,4.936231737244107,Suburban,29.0,0.25290960819515734,5070.1372072061085
No,4.0,Udon,Male,Divorced,High School,4.864508542681305,Rural,42.0,0.12499861070409851,4837.242135393641
No,8.0,Udon,Female,Divorced,High School,4.165246182769915,Rural,13.0,0.23412898952375233,1250.0
Yes,6.0,Udon,Male,Single,Graduate School,4.927651161646724,Urban,15.0,0.0058399802934457345,5060.29697758399
Yes,3.0,Udon,Female,Single,High School,5.977035935011735,Rural,,0.3720138037562961,6347.349506108465
No,5.0,Udon,Female,Married,Graduate School,3.927544831144785,Rural,28.0,0.8718148700285784,5243.2052196068125
No,6.0,Udon,Female,Married,College,3.140104481304374,Rural,41.0,0.282231351471881,4564.536786442978
Yes,3.0,Khon Kaen,Female,Single,High School,6.6046919569013,Rural,14.0,-0.03223108571081584,5670.477983598381
No,4.0,Udon,Male,Married,Graduate School,2.63026618067496,Suburban,12.0,-0.035192422243616184,5952.381531387805
No,5.0,Udon,Male,Married,College,3.505381294619899,Rural,25.0,-0.05182469937897602,5847.062259352179
Yes,6.0,Udon,Male,,Graduate School,6.965248928066375,Suburban,41.0,0.3638590990433358,5467.790115040054
Yes,7.0,Udon,Female,Divorced,College,3.287178297804024,Urban,30.0,-0.3698285341911345,4168.130468250038
Yes,3.0,Khon Kaen,Female,Married,High School,6.315748727634054,Urban,39.0,-0.04878704755076099,3436.833677721114
Yes,3.0,Udon,Female,Divorced,College,2.8350504924096183,Urban,27.0,-0.45935234532165614,4335.268603031939
Yes,2.0,Udon,Female,Single,College,4.496385355221298,Suburban,45.0,-0.1484561193589728,5070.590469458312
No,4.0,Mahasarakam,Male,Married,Graduate School,4.679823128946704,Rural,41.0,0.284158326701559,4623.861931159531
No,6.0,Mahasarakam,Female,Divorced,College,2.25442463255275,Suburban,35.0,0.3065722598199633,4031.8656892076538
Yes,5.0,Khon Kaen,Male,Single,High School,4.828606776367627,Urban,17.0,0.23497624270550943,5368.674134255506
No,7.0,Mahasarakam,Male,Single,Graduate School,2.2252509543461203,Suburban,35.0,0.05857618065971815,4959.357563864282
No,8.0,Mahasarakam,Female,Divorced,High School,2.974111361898963,Urban,28.0,0.04796002572726968,6107.07812738893
Yes,3.0,Khon Kaen,Female,Divorced,High School,4.407868307500497,Suburban,34.0,0.20515911691836747,4682.74054807661
No,4.0,Udon,Female,Married,High School,3.859140864257897,Rural,37.0,-0.19298318328068922,4530.15877749531
Yes,9.0,Udon,Male,Married,College,1.6841979485123897,Suburban,25.0,0.06244467353673494,4244.662810346049
Yes,5.0,Udon,Male,Single,High School,4.089151959678043,Rural,34.0,-0.27581460850673994,3256.6158858920126
No,5.0,Udon,Female,Married,Graduate School,3.809826415691369,Rural,14.0,0.0687194288695751,4470.14469693069
Yes,4.0,Khon Kaen,Male,Single,Graduate School,5.848829492425405,Urban,27.0,0.16313220051936134,4552.356411481956
No,4.0,Mahasarakam,Female,Married,Graduate School,4.700972026115173,Rural,43.0,-0.38807457188135586,3724.680149143699
No,3.0,Udon,Male,Married,High School,4.3850626650685935,Rural,32.0,-0.5357097144918814,4046.1291268649857
Yes,4.0,Khon Kaen,Male,Divorced,College,4.2493806948387425,Suburban,37.0,-0.18870180268256495,5231.622716137247
Yes,2.0,Udon,Male,Single,College,4.168927638025612,Urban,40.0,0.010803142968953794,4888.467776381853
No,3.0,Mahasarakam,Male,Married,College,2.6915378222703215,Rural,26.0,0.48126307138897495,5340.120209681011
No,4.0,Udon,Male,Married,Graduate School,3.8349833803597555,Rural,,0.46357175272059614,4212.1494266719
Yes,4.0,Udon,Female,Divorced,College,2.8107818232183996,Urban,29.0,-0.2404347507321553,4539.402984289385
Yes,2.0,Mahasarakam,Male,Divorced,College,5.81342236334977,Suburban,15.0,0.2991693579747608,5201.847413907223
No,3.0,Udon,Female,Married,High School,4.175648584523876,,33.0,0.17315145765810924,5324.491778968172
No,5.0,Udon,Male,Married,Graduate School,3.431210772966274,Urban,28.0,0.45863648338504237,3110.300544684659
No,4.0,Udon,Female,Divorced,Graduate School,2.6968794689213347,Rural,13.0,0.05976259467045403,4429.607318100259
Yes,4.0,Mahasarakam,Female,Divorced,College,5.61115715019387,Suburban,13.0,-0.16495314518887405,3687.6349665058865
No,3.0,Udon,Female,Married,High School,2.52434328207133,Suburban,30.0,-0.15085377552460233,5749.968249382286
Yes,6.0,Khon Kaen,Male,Single,High School,6.770160560726404,,,0.5985263300361292,5248.611205032623
Yes,6.0,Udon,Male,Divorced,High School,2.948387857155997,Suburban,37.0,-0.3441973025642835,1762.3801127954744
Yes,4.0,Udon,Male,Divorced,High School,3.9504857649988776,Urban,51.0,-0.12484033616089373,3967.733833570256
Yes,6.0,Udon,Female,Single,College,6.6058851303859,Urban,40.0,0.1567096991031044,5384.383152682592
No,4.0,Mahasarakam,,Divorced,High School,4.226399295395106,Rural,32.0,1.2137133990458093,4882.5912266111845
Yes,5.0,Khon Kaen,Male,Divorced,Graduate School,3.2398330829283006,Suburban,19.0,0.08913322576625049,4143.156450110518
No,6.0,Khon Kaen,Female,Divorced,College,3.733373047713937,Rural,29.0,-0.24620367133525814,4841.476355486023
Yes,5.0,Mahasarakam,Male,Divorced,Graduate School,5.174664873673312,Urban,21.0,-0.1972711467052989,4764.094747332486
Yes,2.0,Udon,Male,Single,Graduate School,4.943132305527663,Urban,39.0,0.24487884276918376,4642.668569106656
Yes,3.0,Mahasarakam,Male,Single,High School,7.027098587484748,Urban,26.0,-0.131740775155824,6173.532527819561
Yes,,Udon,Male,Divorced,Graduate School,5.191314571035294,Urban,30.0,0.15450712591344012,5243.582908876047
Yes,4.0,Khon Kaen,Male,Single,Graduate School,4.447378340831807,Urban,29.0,0.4271164806182287,4630.523973362393
Yes,5.0,Mahasarakam,Male,Single,College,4.543137456172835,Rural,23.0,0.2079891758352158,5737.975616891465
No,2.0,Mahasarakam,Female,Single,High School,3.3488790294305826,Suburban,18.0,0.5131093713749403,2409.2154848025943
No,6.0,Udon,Female,Married,College,4.446555351756104,Rural,10.0,0.8375481267000833,1921.0414622984526
No,4.0,Mahasarakam,Male,Divorced,Graduate School,3.672893300512898,Rural,46.0,,4552.700192538942
Yes,5.0,Udon,Male,Single,College,6.416654908115084,Rural,34.0,0.26163083429631784,4350.821476049661
Yes,4.0,Mahasarakam,Male,Divorced,High School,6.547786698221138,Urban,31.0,0.37899664785058473,6524.664671025808
Yes,6.0,Mahasarakam,Female,Divorced,High School,5.671085916875051,Urban,19.0,-0.08615604904645144,5578.490848910708
Yes,5.0,Mahasarakam,Female,Single,College,2.9986481740990705,,25.0,0.20959126502506048,6396.378816722725
Yes,5.0,Mahasarakam,Female,Divorced,Graduate School,3.942592183414276,Suburban,,0.0074151859583729,6010.974691130865
No,5.0,Udon,Male,,Graduate School,3.931380755994547,Suburban,26.0,0.28296703756826735,5153.204911621346
Yes,6.0,Khon Kaen,Female,Single,High School,8.302134206740192,Urban,46.0,0.358343726567657,6110.182036246665
Yes,4.0,Mahasarakam,Male,Single,College,5.786852534714674,Suburban,25.0,0.036436221507805955,5053.008445342992
Yes,4.0,Khon Kaen,Female,Divorced,College,7.7507745319215795,Urban,28.0,,5359.320974052019
Yes,3.0,Mahasarakam,Male,Single,Graduate School,6.423601676404614,Urban,30.0,0.22830706790259186,5531.441738548181
No,3.0,Khon Kaen,Female,Married,High School,3.2346967660239523,Rural,36.0,0.7482691698191181,
Yes,5.0,Udon,Female,Divorced,College,6.346430698628234,Rural,32.0,0.15412780905502965,5025.944261192193
No,3.0,Mahasarakam,Female,Married,High School,4.566828062516528,Suburban,19.0,0.10189601521688113,6481.863340263997
No,6.0,Udon,Female,Divorced,High School,4.250923678713624,Rural,20.0,0.09339379881156556,4382.8730846605085
Yes,7.0,Mahasarakam,Female,Single,High School,5.366691634068196,Urban,35.0,0.17365515327351994,4780.343306124264
No,5.0,Udon,Male,Married,College,3.481603226619077,Rural,35.0,0.24549608611115525,3042.758055518313
Yes,7.0,Udon,Female,Single,High School,3.429591390574415,Suburban,40.0,-0.4464379418313756,3687.95599215076
Yes,4.0,Mahasarakam,Female,Divorced,College,7.650670466937992,Rural,35.0,0.7028363109518334,6018.362287846548
No,6.0,Mahasarakam,Female,Single,College,4.540672629394502,Rural,53.0,0.09288061888299581,4729.830938741773
No,4.0,Udon,Male,Divorced,College,2.584577086064506,Suburban,29.0,-0.20532076452048328,6141.976337487475
No,4.0,Khon Kaen,Male,Married,Graduate School,4.47239913635569,Rural,44.0,0.5673850263765663,
Yes,4.0,Khon Kaen,Female,Divorced,Graduate School,4.099632599991596,Suburban,21.0,-0.16216256971077928,3659.016409293986
Yes,5.0,Khon Kaen,Male,Divorced,College,5.363896743102122,Urban,38.0,0.002432430672490743,4443.917076840965
Yes,4.0,Khon Kaen,Female,Divorced,College,6.188102639690564,Suburban,39.0,-0.08466090049064201,4928.2469798998345
No,5.0,Udon,Female,Divorced,Graduate School,3.3135732994232483,Suburban,22.0,0.3088318932824614,4445.365141088542
No,6.0,Mahasarakam,Female,Single,Graduate School,3.4181771616961996,Rural,48.0,0.03067709036444119,
Yes,5.0,Udon,Female,Divorced,College,5.780676932556887,Rural,47.0,0.2743836683379815,5216.66669831758
Yes,6.0,Khon Kaen,Female,Single,Graduate School,5.927632287953663,Urban,39.0,0.21434357759928302,5538.596781504851
Yes,3.0,Mahasarakam,Female,Single,College,6.566142534026895,Urban,22.0,0.018443137668530812,7086.944069402101
Yes,5.0,Udon,Male,Married,High School,4.99075938832798,Urban,33.0,0.3083315500062279,4065.484875600754
Yes,5.0,Khon Kaen,Female,Single,High School,8.368240091840004,Urban,24.0,0.2425753288042572,6437.667349814354
