Active online hours,Months after becoming member,Gender,Marital Status,Years after high school graduation,Education Level,Brand Loyalty,Monthly Income,Location Code,Renew,City
4.219744564976164,50.0,M,Divorced,27.0,Graduate School,-0.27994079989280124,6663.260857025046,Urban,Yes,Osaka
5.038043777053702,61.0,M,Single,31.0,Graduate School,,6758.999794202598,Urban,Yes,Osaka
8.420859825981056,51.0,F,Married,20.0,High School,-0.63295274804403,3833.169219414551,Rural,,Tokyo
4.135921705100543,54.0,M,Single,23.0,College,0.22844647138084845,4697.978047561202,Urban,Yes,Tokyo
6.178147790353157,65.0,F,Married,31.0,High School,0.35327380415790705,5611.537820836651,Rural,No,Tokyo
6.333625232582209,65.0,M,Married,32.0,College,,6382.54976244484,Rural,No,Tokyo
6.360995532864893,,F,Single,32.0,High School,0.7445527504282633,5591.74443953068,Urban,Yes,Kyoto
7.848598888913855,66.0,M,Divorced,19.0,High School,-0.5951709765722426,3946.2534385065856,Rural,No,Osaka
3.354642677431719,56.0,M,Single,20.0,College,-0.53290139669478,5275.8864856908,Suburban,Yes,Kyoto
6.850419525612541,90.0,M,Married,17.0,High School,0.6007529931000843,2266.073561309647,Rural,No,Tokyo
5.656273385164244,48.0,F,Single,19.0,Graduate School,-0.18675414092471967,6033.669144484664,Urban,Yes,Kyoto
3.8600273680585095,47.0,F,Single,26.0,Graduate School,-0.6001824020067945,7394.512929647186,Urban,Yes,Tokyo
4.867683329472643,54.0,M,Single,20.0,College,-0.7019462153613912,6613.888766790005,Urban,Yes,Osaka
6.296371053524749,96.0,F,Married,51.0,Graduate School,0.5449953809305814,5353.654464075389,Suburban,No,Osaka
7.084366370326597,88.0,F,Married,43.0,High School,-0.005709881287544932,4681.5097058304655,Rural,No,Osaka
5.457921493203662,72.0,F,Single,,Graduate School,-0.009733648307251395,5969.972075251414,Urban,Yes,Osaka
7.890852931015242,44.0,,Single,19.0,High School,0.658339954610926,4004.5711512103653,Suburban,Yes,Tokyo
6.162568861395573,65.0,F,Married,35.0,Graduate School,0.16492260462791591,4867.0346828603215,Suburban,No,Tokyo
3.148661700044127,84.0,F,Divorced,44.0,High School,0.9310644492982242,5343.819902959401,Suburban,No,Kyoto
7.886412747727313,34.0,F,Married,26.0,College,,5902.496065418205,Urban,Yes,Osaka
6.948835479908899,59.0,F,Married,33.0,College,1.0081637355681483,5171.419078490759,Suburban,Yes,Osaka
5.2583183176147905,76.0,M,Single,37.0,High School,0.35997554193240394,4565.015836927953,Urban,No,Kyoto
5.3241796209884615,69.0,M,Single,31.0,College,0.025488858686600793,,Suburban,Yes,Osaka
3.1849933562996746,55.0,M,Married,23.0,Graduate School,-0.3025837576334128,5514.314734766482,Urban,Yes,Osaka
6.2808193475362595,59.0,M,Single,10.0,Graduate School,-0.48911890330305174,5409.280122365519,Urban,Yes,Tokyo
9.16783748265292,48.0,F,Married,16.0,College,-0.5083278882504209,5231.534935650612,Rural,No,Osaka
2.8291391762472036,59.0,,Single,34.0,Graduate School,-0.16407524571581003,6529.827535407736,Suburban,Yes,
6.049593200288799,79.0,M,Single,32.0,College,0.2844284757425139,4451.297586612326,Urban,No,Kyoto
7.594047535655181,54.0,M,Married,12.0,College,0.29368184462792,2768.253518289072,Rural,No,Tokyo
4.741330457955842,92.0,F,Married,50.0,College,0.4411846519360426,4967.486355742001,Urban,No,Osaka
6.6740535063704876,87.0,M,Divorced,34.0,High School,0.37956709388537185,4307.380652093977,Urban,No,Kyoto
4.271714226854309,74.0,F,Single,38.0,High School,0.7631164295477654,4481.824351845646,Rural,No,Osaka
6.712115189656548,61.0,F,Divorced,20.0,College,-0.2813565603229528,5088.680713142984,Urban,Yes,Kyoto
3.179462847706027,56.0,F,Single,29.0,Graduate School,-0.5942381401468432,6547.78782483022,Urban,Yes,Kyoto
3.6765367180472848,64.0,F,Married,13.0,High School,-0.9745987437755024,6173.696258583881,Suburban,Yes,Kyoto
8.178131647399905,58.0,F,Married,14.0,High School,-0.5296956760760673,4459.475400893841,Rural,No,Osaka
6.668069210862656,52.0,M,Married,13.0,High School,-0.19531404674506583,1691.915858886804,Rural,No,Tokyo
5.080687322222846,41.0,F,Divorced,16.0,High School,-0.1980602535821864,5567.627685138117,Suburban,Yes,Kyoto
5.079027812567806,77.0,F,Married,14.0,College,-0.8727242601846832,6305.368998744679,Urban,Yes,Kyoto
6.106795419690572,41.0,M,Married,8.0,Graduate School,-0.35552426809101734,5107.33671560065,Urban,Yes,Kyoto
4.355914582553999,35.0,M,Divorced,30.0,Graduate School,,5956.892826319519,,Yes,Tokyo
3.800446598859023,,M,Divorced,19.0,Graduate School,-0.6949161750107484,5354.806461790025,Urban,Yes,Kyoto
6.144369826368292,63.0,F,Married,22.0,College,0.2527638025519646,2458.5249663428463,Suburban,No,Osaka
7.395049944625905,61.0,F,Divorced,22.0,High School,0.7060567632081396,4343.763584674291,Urban,Yes,Osaka
6.473858269561727,71.0,M,Married,29.0,College,0.15756911252849715,3828.9579845096787,Rural,No,Osaka
6.597145037287274,71.0,F,Married,15.0,Graduate School,0.525576869317303,3295.2073788461257,Urban,No,Kyoto
7.614546547692478,41.0,M,Married,31.0,Graduate School,-0.4446066559640441,3780.7840380152415,Rural,,Kyoto
5.498281956082798,69.0,F,Single,16.0,Graduate School,0.5190047680936495,3173.818684925992,Urban,No,Kyoto
9.12788975764507,61.0,M,Divorced,23.0,,0.9393508402685259,3798.8313572104735,Suburban,Yes,Kyoto
6.78559110009283,57.0,F,Divorced,46.0,,-0.6157549274500804,5256.123219143891,Suburban,No,Tokyo
6.08191303938898,63.0,F,,30.0,College,0.5833628388970469,4597.2133909023,Suburban,No,Osaka
6.163291140568218,55.0,M,Single,21.0,Graduate School,-0.2803010672229353,5608.846836045602,Urban,Yes,Kyoto
