Marital Status,Location Code,Monthly Income,City,Brand Loyalty,Months with Company,Online Activity,Renew,Gender,Education Level,Years after high school graduation
Single,Suburban,4667.779720049122,Osaka,0.06093589915853209,46.0,3.7335881318201802,Yes,Male,Graduate School,32.0
Single,Suburban,5173.872559766587,Kyoto,0.1694014108680731,59.0,4.38949642781693,No,Female,College,32.0
Divorced,Urban,5699.367330414025,Kyoto,0.2868266941302251,,3.360221624986474,Yes,Male,Graduate School,41.0
Married,Rural,4469.3836694999245,Tokyo,-0.2839987477964354,57.0,4.573036950908242,Yes,Female,College,23.0
Divorced,Urban,4552.47626618255,Osaka,-0.2542635613309214,54.0,5.186046250459525,,Male,Graduate School,32.0
Single,Urban,5844.27917581894,Kyoto,-0.30086222712108923,78.0,3.872537809132085,Yes,Female,High School,32.0
Single,Rural,7277.72798246124,Kyoto,-0.39930440314525006,75.0,3.539777979509475,Yes,Female,College,38.0
Married,Suburban,2813.648716788628,Tokyo,0.5809713814330549,67.0,6.696673446672786,,Male,High School,18.0
Single,Suburban,3999.2770382700855,Osaka,0.28196092127348626,27.0,3.905831158048326,Yes,Female,Graduate School,12.0
Single,Rural,4781.45755590563,Tokyo,-0.5847694837635409,70.0,5.276384129040933,No,Female,Graduate School,23.0
Divorced,Rural,5600.753913343808,Osaka,-0.11218346490810166,67.0,5.691285251095892,Yes,Female,Graduate School,37.0
Divorced,Urban,5338.697387541428,Tokyo,0.16239717986224705,69.0,5.523068032042827,Yes,Female,High School,30.0
Divorced,Urban,3957.319208885425,Tokyo,-0.28915646072328804,78.0,4.646982460215088,Yes,Male,College,15.0
Single,Suburban,5400.411026247304,Kyoto,-0.2528456889034129,75.0,3.304052634114661,Yes,Female,Graduate School,19.0
Single,Urban,6736.5110819150395,Tokyo,0.5982059323172605,65.0,5.221863244161384,Yes,Male,Graduate School,32.0
Divorced,Suburban,4787.439889510918,Kyoto,-0.007243634652376318,87.0,3.87872107466614,Yes,Male,College,35.0
,Rural,7043.619164047887,Tokyo,0.019249830113214017,71.0,3.197220806303923,No,Male,Graduate School,31.0
Married,Suburban,4847.2443826175495,Osaka,0.07818953001936157,54.0,4.092530664102956,No,Female,High School,33.0
Married,Urban,5065.397704245452,Osaka,0.05003016281317341,79.0,3.7879481312136,Yes,Female,,28.0
Divorced,Urban,5284.204872056983,Tokyo,0.4424360426733729,38.0,6.4466397841317296,Yes,Male,High School,34.0
Divorced,Rural,4649.559632989543,Osaka,-0.1927574991301273,72.0,5.032377183031448,No,Male,Graduate School,23.0
Single,Rural,4902.736821267242,Osaka,-0.31496807084222633,48.0,5.289359366558133,No,Male,Graduate School,28.0
Single,Urban,4741.190625984806,Kyoto,-0.3630987858475988,55.0,6.069758389544145,Yes,Female,College,29.0
Divorced,Suburban,4876.284526685581,Osaka,0.13647157236840407,74.0,4.6439381799128,No,Female,College,29.0
Married,Rural,3964.1001328842176,Osaka,-0.2474266522032741,78.0,5.156767521976754,No,Female,High School,26.0
Married,Suburban,5758.101234507998,Osaka,-0.017780473515520367,77.0,5.895487364967538,Yes,Male,Graduate School,35.0
Divorced,Urban,5165.365173857355,Osaka,0.3284377898598555,66.0,5.78571510038074,Yes,Male,College,26.0
Single,Urban,4391.544934939702,Kyoto,-0.7770874194127814,56.0,5.562719089583384,Yes,Male,High School,
Married,Rural,5605.899030726082,Osaka,0.3666859174541026,34.0,3.276310261795702,No,Male,College,38.0
Divorced,Suburban,4447.921115579957,Osaka,0.8185425284702492,70.0,6.15880066625488,Yes,Female,High School,18.0
Married,Urban,3537.4033244269435,Tokyo,-0.22078868032254556,41.0,5.0696676834514545,No,Female,High School,32.0
Single,Urban,4912.167763964028,Kyoto,-0.2910191302978338,68.0,3.7988613348385654,Yes,Female,Graduate School,36.0
Single,Urban,4290.284870758236,Osaka,0.09116719953387775,37.0,4.218957025837688,Yes,Male,College,17.0
Divorced,Urban,3017.249883546591,Tokyo,-1.216142975437481,82.0,3.8241575625683315,Yes,Male,High School,19.0
Single,Urban,5234.74934382153,Tokyo,-1.0089528637130827,66.0,3.456197150389724,Yes,Male,Graduate School,28.0
Single,,5369.874937683243,Tokyo,-0.3406510329500204,56.0,2.788588714158142,Yes,Male,College,41.0
Divorced,Rural,5103.742648873446,Osaka,-0.22240665323488157,51.0,4.483325232190405,Yes,Female,Graduate School,32.0
Married,Urban,4910.400110469269,Tokyo,-0.0030675035319934763,47.0,5.671368834564927,No,Female,,23.0
Divorced,Suburban,4527.774167316323,Osaka,-0.750839208010923,58.0,4.043685373891775,Yes,Female,Graduate School,30.0
Single,Rural,4221.6462749902785,Tokyo,0.36321696971807715,73.0,4.770909748187186,No,Male,High School,36.0
Married,Rural,5802.056350196702,Tokyo,0.15702636580058948,55.0,3.8171390067468334,No,,High School,33.0
Divorced,Suburban,5546.069987537422,Osaka,-0.5930518679541814,33.0,6.570178390873654,Yes,Female,College,39.0
Divorced,Urban,5093.830082142546,Tokyo,-0.341653068752694,61.0,5.50657407397483,Yes,Female,College,39.0
