Sex,Renew,Marital Status,Years after high school graduation,Location Code,Monthly Income,Education Level,Online Activity,Brand Loyalty,City,Years with Company
M,No,Divorced,34.0,Urban,4398.234134088595,Graduate School,6.695078274263656,-0.4473059396688374,Manchester,4.0
M,No,Divorced,25.0,Rural,5124.66590857323,College,6.156196617073415,-0.3743984000857102,Manchester,2.0
F,No,Single,58.0,Suburban,4413.155047178305,High School,5.470077891954882,0.4308033539403586,Manchester,2.0
M,No,Single,40.0,Rural,2980.628870493699,College,4.335616796975981,0.43806094930547096,London,4.0
M,Yes,Married,33.0,Suburban,4424.697506368909,High School,6.01927760663042,0.5846138126086693,New Castle,2.0
F,Yes,Divorced,20.0,Suburban,4335.032417430957,High School,5.490056969314529,-1.0526595537849515,New Castle,4.0
M,Yes,Divorced,14.0,Urban,4286.429328151903,College,5.739647677889757,0.12722518379723374,New Castle,6.0
F,Yes,Divorced,25.0,Urban,4400.036917017772,Graduate School,3.9245556294655723,-0.14293116642685758,Manchester,5.0
F,Yes,Single,31.0,Urban,4757.09292880919,High School,7.140997248038311,0.21622877043883282,Manchester,3.0
F,Yes,Divorced,29.0,Urban,4133.295677427515,High School,7.195043360827433,0.20779241107199095,New Castle,4.0
F,Yes,Single,23.0,Urban,4065.302185788833,High School,5.028765770874608,0.4635554796997249,Manchester,2.0
F,No,Married,17.0,Urban,,Graduate School,5.7949912468858535,0.023767952973765584,Manchester,3.0
M,Yes,Divorced,32.0,Urban,2956.4748277703516,Graduate School,3.6446825440451436,0.07688987560286462,New Castle,7.0
F,Yes,Married,39.0,Urban,2374.4397223605765,High School,4.467293461092398,-0.20082395686026344,London,6.0
M,Yes,Divorced,30.0,Urban,3458.804831403425,College,6.359567207111054,-0.00926480321880003,Manchester,5.0
M,Yes,Single,50.0,Suburban,3848.98180698666,College,4.224008981929366,-0.47294634277549746,New Castle,4.0
F,Yes,Single,26.0,,4082.3633748192283,College,4.436076101355056,0.03026686462890616,Manchester,1.0
M,Yes,Married,33.0,Urban,4026.8173703183365,Graduate School,6.286800397226133,0.02715274949183226,London,3.0
F,Yes,Single,43.0,Rural,2927.5256289119225,High School,4.17870731740684,-0.2995912493484381,London,6.0
M,Yes,Divorced,33.0,Suburban,4373.67388426074,College,6.273635306520534,0.8605307905132271,Manchester,4.0
M,Yes,Single,20.0,Suburban,3719.6466942881602,Graduate School,4.820644076860451,0.05968033698969927,London,4.0
M,No,Single,29.0,Rural,4783.201013937709,Graduate School,6.9341386430273655,-0.06996771777955837,London,1.0
F,No,Married,34.0,Rural,4950.137443105676,College,6.807835379821927,-0.5185183874167217,London,5.0
M,Yes,Single,30.0,Suburban,4647.67023596046,Graduate School,8.045007398110103,-0.46854554158082184,London,4.0
F,No,Divorced,23.0,Rural,4551.522084035294,High School,6.542752632528817,-0.41792918974898247,Manchester,5.0
F,Yes,Single,30.0,Urban,3920.84713674515,High School,4.467229537598006,-0.5844907261109449,New Castle,4.0
F,No,Married,48.0,Rural,3537.3787542701853,Graduate School,4.70688830467623,0.7971478928842286,Manchester,3.0
M,No,Divorced,19.0,,5999.348730905836,High School,7.256256081914113,0.6719801043717814,London,5.0
M,Yes,Divorced,7.0,Rural,4749.940533886807,Graduate School,5.050662572613018,0.17994693519905577,London,7.0
M,Yes,Divorced,33.0,Suburban,3639.0929132788388,Graduate School,4.621067210236525,0.5237488249909946,New Castle,3.0
M,No,Single,21.0,Rural,4706.012618964196,High School,6.504657921611763,,New Castle,4.0
F,Yes,Divorced,15.0,Rural,4138.421892422364,College,4.229156954869297,-0.4039210094539534,Manchester,3.0
F,No,Married,20.0,Rural,6136.179619471462,Graduate School,8.182573641591329,-0.0004404046723718684,London,5.0
M,No,Married,,Rural,4227.7371872572385,High School,6.066610911327365,-0.005633737008641906,Manchester,4.0
,Yes,Divorced,10.0,Urban,4271.857861393698,Graduate School,3.561129223918937,-0.43343882652567467,London,3.0
F,No,Married,19.0,Suburban,4408.111892789946,Graduate School,6.662303655474817,0.18095967751517775,Manchester,5.0
M,Yes,Divorced,25.0,,2439.4976646275845,Graduate School,5.560618626742349,0.16426922446169673,Manchester,6.0
M,No,Divorced,32.0,Rural,3785.337764233632,College,4.7147551105532965,0.11426726148503313,Manchester,4.0
F,No,Married,8.0,Rural,5623.4049477779245,College,6.621243169159952,0.39677205319500297,Manchester,7.0
M,Yes,Single,22.0,Suburban,3443.063411743636,High School,4.975437352718154,-0.20495135240254386,Manchester,6.0
F,Yes,Single,29.0,Urban,2962.889584278193,Graduate School,3.038414944805269,-0.7207675327156864,New Castle,6.0
F,Yes,Divorced,26.0,Rural,3632.596206168274,College,5.330853166550612,0.2894614312718938,Manchester,4.0
F,Yes,Married,27.0,Urban,3533.1966211467316,High School,4.8715135287249405,-0.1160641301122507,London,5.0
F,Yes,Single,30.0,Urban,4302.318057096865,High School,4.3504265686665775,-0.5211509186204983,New Castle,2.0
F,No,Married,35.0,Rural,4519.978000949552,High School,5.245318333819461,0.3765435762204478,London,6.0
F,Yes,Married,28.0,Urban,4814.499715475706,Graduate School,6.779336054088228,-0.24117200197967112,London,1.0
F,No,Divorced,22.0,Rural,4563.985776988769,Graduate School,6.320848564963869,-0.30564889578221216,London,4.0
M,Yes,Divorced,25.0,Suburban,4414.7822149229005,High School,6.026799877771755,0.4250325430826,New Castle,4.0
M,Yes,Single,29.0,Urban,4304.765973128358,College,5.060027242482961,0.10558536548564613,London,1.0
F,Yes,Divorced,16.0,Urban,5426.861884706283,Graduate School,5.380517059702632,0.49280894882333737,London,2.0
M,Yes,Divorced,37.0,Urban,4039.5996554527023,College,6.606182051525859,-0.777100529454319,London,2.0
M,No,Married,19.0,Suburban,6906.722023343104,High School,8.63681337314716,0.21619195402720207,New Castle,6.0
M,Yes,Single,32.0,Suburban,4947.263872961205,High School,6.19162295046217,0.7103853215838368,Manchester,3.0
M,No,Married,29.0,Rural,5042.400061025051,College,7.635946855577644,0.3588337579882921,Manchester,3.0
M,No,Divorced,29.0,Suburban,4984.829692232612,Graduate School,6.0257724286815755,0.8753060015513809,London,6.0
F,Yes,Divorced,40.0,Urban,4110.5863406556255,High School,7.330188927986731,-0.10288920974482756,Manchester,2.0
,Yes,,21.0,Urban,3217.117166661099,Graduate School,3.6424828172807824,-0.1884628106959855,New Castle,3.0
F,No,Single,33.0,Rural,4896.410697089194,College,6.25175183494613,0.012925422620011284,London,4.0
F,Yes,Single,33.0,Suburban,3486.9133732006158,Graduate School,6.772197018588539,-0.18647894193782574,New Castle,3.0
M,Yes,Single,29.0,Suburban,4323.7373397640595,College,7.515999175727735,-0.5074356474119561,New Castle,4.0
M,Yes,Divorced,53.0,Urban,2176.113018559171,College,4.510076990278085,0.4866627233138929,London,5.0
M,Yes,Divorced,33.0,Urban,4811.899971646102,College,7.617717616349663,0.2289207776090576,London,3.0
M,No,Married,24.0,Suburban,6363.985901512962,Graduate School,8.659322766877885,-0.7116031271066138,New Castle,5.0
F,Yes,Single,32.0,Suburban,3518.292289470892,High School,7.31311031310147,-0.132532212363117,London,6.0
M,No,Single,31.0,Suburban,4874.812912776291,High School,7.526289812114155,0.03414967183191379,Manchester,
M,Yes,Divorced,28.0,Urban,3967.8905633922714,Graduate School,,0.23961074995283016,Manchester,2.0
M,Yes,Divorced,28.0,Urban,4057.9865391787666,High School,5.8756219429159255,-0.9359802059584149,New Castle,5.0
F,Yes,Divorced,39.0,Urban,3217.2175094429813,High School,3.441271950969629,-0.1134076989800509,Manchester,4.0
F,Yes,Single,43.0,Urban,3262.8362993343544,College,5.3276570462768635,0.4278228504798147,New Castle,0.0
M,No,Married,35.0,Rural,4609.90159164109,College,7.0388575863335525,-0.19722687181042795,Manchester,3.0
F,No,Married,21.0,Urban,6876.682582455791,Graduate School,7.921145434851304,-0.25498304611083217,Manchester,6.0
M,Yes,Divorced,35.0,Urban,3809.6099515392666,College,5.43962625509362,-0.3485514507458309,London,2.0
F,Yes,Divorced,20.0,Urban,4559.093679552713,College,4.292921310741358,0.18587429165589625,New Castle,3.0
M,No,Single,27.0,Suburban,4374.930734034414,College,7.205346663256111,-0.2660412526741493,London,3.0
F,Yes,Divorced,27.0,Suburban,3583.307232741128,Graduate School,4.592428021801734,-0.08026053677663489,Manchester,4.0
M,No,Divorced,39.0,Rural,5039.269346612045,Graduate School,7.591758865118524,-0.0642689606185457,New Castle,4.0
F,No,Married,39.0,Suburban,3687.118497707134,Graduate School,5.704266062645462,0.47887630323954417,London,1.0
F,Yes,Single,14.0,Urban,5136.9382152975595,High School,2.826013745031378,-0.35844598429745766,London,2.0
M,Yes,Divorced,43.0,Suburban,3236.344171198118,Graduate School,4.304113023851609,0.14605368512605157,London,4.0
M,No,Married,26.0,Rural,4811.123194639818,College,7.102804696146102,-0.6497627948636775,New Castle,3.0
,Yes,Divorced,32.0,Urban,3650.114098266981,College,5.896388427431323,0.12484957642919595,New Castle,5.0
,No,Single,29.0,Rural,5155.705187916579,Graduate School,5.64292476691834,-0.5584027862313552,New Castle,4.0
F,No,Single,47.0,Suburban,3619.1597086299503,Graduate School,6.399920536462941,0.32386927687169403,New Castle,4.0
M,No,Married,19.0,Suburban,6152.6506238055235,High School,8.180910063105333,-0.006943215620136443,London,2.0
M,Yes,Married,34.0,Urban,3125.0653670839147,College,5.062623751030353,0.11061271363588743,New Castle,4.0
F,No,,25.0,Urban,4313.2952374766755,Graduate School,6.952399250568111,0.005539472034036593,Manchester,5.0
F,Yes,Single,41.0,Urban,3705.2125991031785,High School,8.35083016501425,-0.02220389496859096,London,2.0
F,Yes,Married,27.0,Urban,3879.4587685282145,College,6.165124655838579,0.7450504463137283,,3.0
F,No,Married,24.0,Rural,5673.512595422625,Graduate School,7.299430136207558,0.5281988210012148,London,3.0
M,Yes,Single,29.0,Urban,4624.695798093687,High School,7.056015180467611,,London,4.0
M,Yes,Divorced,12.0,Suburban,3823.903939782822,Graduate School,3.7198135815442757,0.31978693708917105,New Castle,4.0
F,No,Single,38.0,Suburban,3952.432835820673,College,5.967688710953784,0.32781420223015406,London,4.0
F,No,Single,32.0,Rural,3703.1714698987635,College,7.964739638759332,0.47466307411603476,New Castle,2.0
F,Yes,Single,14.0,Urban,4622.012428392637,Graduate School,7.416621637027248,-0.711158963651122,London,5.0
M,No,Divorced,34.0,Rural,4930.42172784065,College,7.052426194651067,-0.32466583186998027,New Castle,2.0
F,No,Divorced,25.0,Suburban,6293.801079371455,Graduate School,6.990779174349088,0.06380325769865373,London,4.0
M,Yes,Divorced,36.0,Urban,4330.960148491339,College,6.8925039237715,-0.25485880939849326,New Castle,2.0
F,Yes,Divorced,17.0,Suburban,5202.67763134726,Graduate School,4.8124234634038645,-0.4312703556918881,New Castle,4.0
M,No,Single,33.0,Urban,,College,7.88000238183722,-0.9709228994599668,New Castle,5.0
M,Yes,Divorced,,Urban,4188.630406021049,College,7.105626942040343,0.7811611795330157,New Castle,5.0
M,Yes,Single,46.0,Urban,3302.715139948382,College,6.634185094803281,0.545574106939301,New Castle,2.0
F,Yes,Divorced,24.0,Urban,4277.47942147018,High School,5.754436144592532,-0.504797468422228,London,3.0
M,Yes,Divorced,27.0,Rural,3430.2102725731374,,6.371948129885102,-0.4498343957983382,London,4.0
F,Yes,Married,47.0,Urban,3246.610386129897,Graduate School,5.847995460776173,0.14357498207726652,New Castle,5.0
M,No,Married,30.0,Suburban,4943.987784069739,High School,5.43510236062485,-0.42531543133665667,New Castle,4.0
F,No,Married,32.0,Rural,4232.8649298096525,High School,4.8690974004976715,0.09475763055130076,New Castle,4.0
F,Yes,Divorced,26.0,Suburban,5227.010336773758,Graduate School,4.848456113112931,-0.12034110256918146,Manchester,2.0
M,No,Married,29.0,Suburban,4432.92641833582,High School,5.472382417897736,0.4794095519393447,New Castle,3.0
F,Yes,Single,47.0,Suburban,3344.6492861795728,College,4.652264939428157,-0.6321643094426301,London,3.0
M,No,Single,35.0,Rural,4990.9599748610735,College,4.847456269313503,0.05859441142020151,London,7.0
M,No,Married,34.0,Rural,3849.6446704190457,High School,4.8942732190779665,0.5395385739324922,Manchester,2.0
M,Yes,Single,38.0,Rural,2959.9153252907363,High School,5.730913483399977,,New Castle,4.0
M,No,Married,29.0,Rural,4644.7114054252115,College,6.087125323421468,-0.3172145674631891,New Castle,6.0
M,No,Married,24.0,Rural,4607.346731389124,High School,5.944600217656913,0.6644316513252378,London,5.0
M,No,Married,22.0,Rural,6674.0609877426605,High School,8.836276658210759,0.2694151967861156,Manchester,4.0
F,Yes,Divorced,23.0,,3797.5656133831244,College,7.134545046651028,-0.2858622336306842,New Castle,4.0
F,No,Married,33.0,Rural,5660.754019245722,Graduate School,7.218493799783836,-0.3335045071525571,Manchester,5.0
F,Yes,Divorced,15.0,Urban,4853.5431230793265,Graduate School,4.625042095677242,-0.9441080052242314,Manchester,5.0
M,Yes,Single,17.0,Urban,4072.6737876682437,College,4.360568104018346,-0.6548543510361199,Manchester,7.0
M,Yes,Divorced,38.0,Suburban,3377.9567355468903,Graduate School,7.482777764246971,0.16528887589231817,London,3.0
M,Yes,Divorced,17.0,Urban,3901.577053090728,,5.2170815644131014,1.051481592315776,London,6.0
F,No,Married,36.0,Rural,3665.2951995442777,Graduate School,5.454042772414663,0.032204682926794105,Manchester,4.0
M,No,Divorced,41.0,Rural,3694.0644433538205,Graduate School,5.268975030802692,0.19493649931383017,New Castle,2.0
M,No,Single,51.0,Urban,2809.5462420285235,High School,6.065906675503719,-0.4936152829149443,London,1.0
F,Yes,Divorced,30.0,Urban,4101.936489429797,Graduate School,7.366907607988833,0.22374229950019525,New Castle,6.0
M,Yes,Married,28.0,Urban,3716.0351951282078,High School,7.343553669911401,-0.007266619519040094,Manchester,4.0
M,Yes,Single,10.0,Suburban,4286.487466291313,Graduate School,6.480582059767691,0.5427734675317244,London,9.0
F,Yes,Single,21.0,Rural,4334.434623946785,Graduate School,5.129948757473435,-1.0684060307688616,Manchester,6.0
