Education Level,Marital Status,Gender,Age,Years with Company,Location Code,Online Activity,Annual Income,City,Brand Loyalty,Renew
High School,Single,M,57.0,5.0,Urban,4.175343380071363,50739.96586714264,Kyoto,0.011313107494840283,Yes
Graduate School,Divorced,F,48.0,6.0,Urban,4.422071272593438,42561.45147991153,Tokyo,-0.7960291515884711,Yes
College,Divorced,F,57.0,5.0,Suburban,7.277715148472969,53382.65005697984,Osaka,0.5672120786031973,Yes
College,Single,F,45.0,4.0,Suburban,3.685978755499862,52315.31143460598,Osaka,0.26260007328606516,Yes
College,Divorced,F,50.0,2.0,Suburban,5.3487821468256636,42584.38260071257,Osaka,0.43779349541936474,Yes
College,Married,F,53.0,6.0,Rural,6.936101392871102,71236.25786799019,Osaka,-0.6123740980614882,No
Graduate School,Divorced,F,55.0,6.0,Urban,7.732308955482006,46154.40329531166,Kyoto,0.382513232376682,Yes
High School,Married,F,51.0,5.0,Suburban,7.3006107020346125,38339.4362186024,Kyoto,0.8097277429233648,Yes
College,Single,F,45.0,4.0,Urban,5.022189856278485,86761.91083291761,Tokyo,-0.6664011162798413,No
College,Married,F,55.0,4.0,Suburban,6.725298104607514,47480.89200792529,Osaka,-0.41921511143468315,No
High School,Divorced,M,64.0,6.0,Urban,2.9642622724423386,23767.40232001005,Kyoto,0.39679396194636996,Yes
College,Divorced,F,46.0,3.0,Rural,6.9473475239904605,56944.17394136065,Kyoto,-0.14315162000692733,No
College,Divorced,F,50.0,5.0,Rural,6.420573550517611,55170.48855608856,Kyoto,-1.119539575986436,No
Graduate School,Single,F,45.0,4.0,Urban,7.303428022721843,75195.85329955205,Kyoto,0.4091122633689108,No
High School,Divorced,M,34.0,5.0,Rural,4.438529988701689,79779.78779456877,Tokyo,-0.23044388854753595,No
High School,Married,M,,6.0,Suburban,4.847825313170009,55901.71546151853,Osaka,-0.31032978887653495,No
High School,Married,F,65.0,3.0,Rural,3.658848567746409,52523.333781825415,Tokyo,-0.6647029471787007,No
College,Single,M,46.0,7.0,Urban,5.2312511144131255,39716.857788584966,Tokyo,0.003631588152084461,Yes
College,Divorced,F,65.0,4.0,Rural,6.66886224356354,61578.60486246862,Tokyo,,No
Graduate School,,F,51.0,1.0,Urban,5.088391010212803,48110.77077896825,Osaka,0.382683159047793,Yes
College,Single,F,50.0,3.0,Suburban,5.575221748445082,53149.67748171591,Osaka,0.500440936090306,Yes
Graduate School,Married,M,59.0,5.0,Urban,4.555906167556872,34001.6841422708,Osaka,0.5059354403460785,Yes
High School,Divorced,M,61.0,7.0,Urban,8.144178459648025,48236.94390818709,Kyoto,0.8826700247313186,Yes
Graduate School,Divorced,F,44.0,6.0,Rural,5.8277668028107215,48206.490590518246,Osaka,0.8172085484725535,
Graduate School,Divorced,M,44.0,3.0,Rural,6.694782355437848,64575.17459072725,Osaka,0.2709271239581129,No
College,Single,M,56.0,3.0,Suburban,4.43414639863071,73302.71072583337,Osaka,-0.003969374788565697,No
College,Married,F,60.0,7.0,Suburban,6.256400979827655,62172.18561952499,Kyoto,0.08653983919562883,No
High School,Divorced,M,35.0,2.0,Urban,5.758184878996149,38427.92331815253,Tokyo,0.1584037783338586,Yes
