City,Online Activity,Marital Status,Renew,Education Level,Months with Company,Location Code,Age,Monthly Income,Brand Loyalty,Gender
Khon Kaen,4.176899596183185,Divorced,No,High School,27.0,Urban,44.0,5815.625448941133,-0.052944885708067685,
Mahasarakam,4.963650111214097,,Yes,Graduate School,68.0,Urban,29.0,4988.386713507548,-0.34278698760457316,Male
Mahasarakam,3.531699745715601,Married,No,High School,23.0,Suburban,30.0,4783.102570531585,-0.2652013058275346,Male
Mahasarakam,7.287115174671991,Married,Yes,Graduate School,,Suburban,54.0,4116.667093078819,0.029295159662241083,Male
Khon Kaen,6.205305847024009,Divorced,No,College,77.0,Rural,56.0,4355.438476878044,0.09778736740546386,Male
Mahasarakam,6.866983430370476,Divorced,Yes,College,79.0,Suburban,64.0,7074.495637551833,-0.18979687566741826,Female
Mahasarakam,4.579703746043431,Single,Yes,High School,72.0,Urban,54.0,6774.977077184402,0.08571396425470346,Male
Khon Kaen,6.052480152739764,Divorced,Yes,Graduate School,56.0,Urban,60.0,4459.22956558477,0.3820782689229201,Female
Mahasarakam,4.673420257500232,Married,No,College,62.0,Rural,61.0,4665.1241996854405,-0.18044408380897153,Male
Mahasarakam,3.025391045679192,Married,No,High School,60.0,Rural,46.0,6221.595362860151,0.008759626950454666,Female
Mahasarakam,4.651091062566008,Single,Yes,High School,48.0,Urban,,4714.828010401036,-0.1501282515247565,Female
Udon,4.559111383328557,Single,Yes,College,60.0,Suburban,45.0,5009.523994120951,0.2561451576824594,Female
Mahasarakam,1.2633550187423208,Single,No,College,92.0,Rural,54.0,3978.427678781556,-0.13960788400505392,Female
Mahasarakam,6.105151682727567,Divorced,Yes,High School,45.0,Suburban,52.0,7540.04642625323,-0.3799224037461099,Female
Khon Kaen,5.693803840371517,Divorced,Yes,College,77.0,Urban,40.0,5359.7518008103725,0.16243491305887298,Male
Udon,4.519680916750206,Single,Yes,College,77.0,Suburban,47.0,7061.530505421944,-0.33300949340267405,
Mahasarakam,4.238070781232318,Married,No,College,69.0,Rural,54.0,5088.044433586289,0.8581640982831438,Female
Mahasarakam,5.65326186806416,Divorced,Yes,Graduate School,67.0,Urban,44.0,3802.7265147530293,-0.026288822902342412,Female
Udon,4.608332447615872,Married,No,College,63.0,Rural,54.0,5008.936825600324,-0.26961495625971044,Female
Mahasarakam,3.0655762278043026,Single,Yes,High School,61.0,Urban,48.0,5594.48856884533,-1.022357410211989,Male
Udon,4.687827932270562,Married,Yes,Graduate School,84.0,Urban,57.0,4025.795543855475,-0.4845442584873778,Female
Khon Kaen,6.121917268798463,,No,Graduate School,52.0,Rural,42.0,6025.303734734867,0.22250166045286096,Female
Khon Kaen,4.056484675309749,Divorced,No,High School,54.0,Rural,59.0,5406.005341930372,-0.008046487018536053,Male
Udon,6.422944378852062,Married,Yes,College,60.0,Urban,57.0,4599.418281515088,0.055788289436382234,Male
Udon,5.35745473396372,Single,Yes,Graduate School,70.0,Urban,41.0,3781.1528245397812,-0.1536535507664839,Female
Khon Kaen,4.9886595970881,Married,Yes,High School,53.0,Urban,37.0,5815.827678106633,0.10477847543132598,Male
Mahasarakam,4.360725866799623,Single,Yes,Graduate School,29.0,Urban,29.0,4234.976382434557,-0.27619239870320816,Female
Mahasarakam,5.988064272638772,Divorced,No,High School,84.0,Suburban,62.0,5252.034944490972,-0.46712499019613085,Female
Mahasarakam,4.553241037189802,Married,No,Graduate School,53.0,Rural,53.0,4397.575362591927,-0.5251992122922726,Male
Khon Kaen,5.5266770428641205,Married,No,College,63.0,Rural,47.0,7531.217828174967,0.09913735075178871,Female
Khon Kaen,5.26300044939371,Married,Yes,Graduate School,85.0,Urban,51.0,4933.386576230293,-0.5994954355469981,Male
Khon Kaen,,Divorced,Yes,Graduate School,78.0,Urban,47.0,5677.276616838471,,Male
Udon,6.395743116390436,Divorced,Yes,College,68.0,Urban,,4480.757519183835,0.41605485914388507,Female
Khon Kaen,2.847169484846498,Married,No,Graduate School,74.0,Rural,53.0,6420.084096124647,-0.1888786421336875,Female
,5.351371455021597,Single,Yes,Graduate School,,Urban,51.0,4688.36267217343,-0.17079066718954106,Male
Udon,2.9086394194171,Divorced,No,College,46.0,Rural,39.0,4790.490520370956,-0.8282687142957468,Male
Khon Kaen,3.22594586476336,Married,No,High School,81.0,Rural,49.0,4896.185392996293,-0.4818068253412954,Female
Udon,2.215092477251743,Married,No,Graduate School,72.0,Urban,43.0,5354.063168728303,-1.114258642230688,Female
Khon Kaen,3.813826657881551,Divorced,Yes,College,69.0,Urban,43.0,5468.142801045961,-1.0377351255676595,Female
Mahasarakam,2.031211607095832,Single,No,Graduate School,66.0,Rural,46.0,5189.0923496560345,-0.3557648567428784,Male
Udon,5.886580909681919,,Yes,High School,54.0,Urban,45.0,3423.656710083896,0.5320068188532138,Male
Udon,4.910003846947722,Single,Yes,High School,86.0,Urban,41.0,2836.4582180906195,-0.4046564281246392,Female
Mahasarakam,4.170229310820306,Divorced,Yes,Graduate School,70.0,Urban,63.0,5427.947597232949,-0.06661791191119698,Male
Udon,4.655517937058371,Divorced,No,High School,56.0,Rural,32.0,4584.7508207572255,-0.6818002991705152,Male
Udon,3.468089308602238,Married,No,Graduate School,53.0,Suburban,60.0,5732.9256324229755,-0.11631462786984717,Female
Mahasarakam,5.6755483537329985,Single,Yes,High School,42.0,Urban,29.0,5917.127041743246,0.1704808812466047,Female
Khon Kaen,3.574568464514376,Single,Yes,Graduate School,63.0,Urban,52.0,5226.945541182203,0.12363830188696665,Female
Khon Kaen,5.573749365231564,Divorced,Yes,College,100.0,Urban,49.0,3930.686879522913,-0.1342431465686899,Male
Mahasarakam,8.227321651694014,Divorced,Yes,Graduate School,63.0,Urban,30.0,6569.638673998847,0.09988669495205646,Female
Udon,5.624729083401038,Divorced,Yes,High School,80.0,Rural,59.0,4699.209064775665,-0.15411375766838714,Male
Mahasarakam,1.0506538023013556,Divorced,No,High School,51.0,Rural,41.0,5267.948899184723,-0.20872774343176698,Male
Khon Kaen,4.853393065341733,Divorced,No,Graduate School,68.0,Rural,32.0,4496.446755075648,-0.33038160035031067,Male
Mahasarakam,4.415449453982697,Divorced,No,College,49.0,Suburban,51.0,3624.8569734161124,0.004212872946146584,Male
Mahasarakam,4.938611676022679,,No,High School,,Rural,44.0,6463.110482742274,0.4057318859146556,Male
Mahasarakam,5.124004025820658,Divorced,No,College,53.0,Rural,39.0,5052.583132738214,0.1738546119612486,Female
Khon Kaen,,Single,Yes,High School,87.0,Suburban,35.0,,0.18535941758337518,Female
Udon,3.851692196066373,Single,Yes,College,75.0,Suburban,57.0,6858.005426014972,-0.2487006367282325,Male
Mahasarakam,8.794743112468995,Single,,High School,71.0,Suburban,53.0,4124.303681961787,-0.2046470901796082,Female
Mahasarakam,5.7404163793687975,Divorced,Yes,High School,71.0,Rural,55.0,3834.2798522913545,-0.2144982671695826,Female
Khon Kaen,5.179844692631757,Married,No,Graduate School,48.0,Suburban,48.0,5383.955754446185,0.007429573265058373,Male
Khon Kaen,5.6284874067961885,Divorced,Yes,Graduate School,70.0,Urban,61.0,4157.9499227337765,0.27460398423034305,Male
Udon,7.979570811458194,Single,Yes,High School,78.0,Urban,51.0,4539.232768007064,0.7238542778320428,Male
Udon,1.6851058564518993,Divorced,Yes,Graduate School,64.0,Suburban,41.0,7219.02856936671,-0.5122224711441258,Female
Udon,7.566261377074595,Divorced,Yes,College,37.0,Suburban,38.0,5918.834371833353,0.8268141077456652,Male
Udon,5.019962872866662,Divorced,Yes,College,104.0,Rural,47.0,5207.125166428771,-0.3059572908534868,Male
Mahasarakam,3.873454490017382,Divorced,Yes,Graduate School,81.0,Urban,44.0,6688.060720222197,-0.5203802889866525,Male
Khon Kaen,2.912190558535677,Married,No,College,63.0,Urban,51.0,7819.393115521281,0.02621533087473385,Male
Udon,3.682946567713821,Single,Yes,,69.0,Urban,44.0,5306.650463647234,-0.11984041619007602,Female
Udon,2.62364003444984,Single,No,College,35.0,Rural,43.0,4701.403747423124,-0.6198076680440616,Female
Mahasarakam,4.291049390183192,Married,Yes,Graduate School,58.0,Urban,46.0,4382.289335422452,-0.2722380303533455,Female
Mahasarakam,3.9014916506742,Married,No,Graduate School,32.0,Suburban,39.0,5403.303938092411,-0.7069191582467823,Male
Udon,6.736790980512183,Single,Yes,High School,51.0,Suburban,59.0,4152.721128974346,-0.21193291669298697,Female
Udon,4.467694754526964,Divorced,Yes,High School,44.0,Rural,45.0,4790.9602521105635,0.08981923108785524,Female
Udon,4.363294070855273,Divorced,No,High School,33.0,Rural,53.0,5619.851323667961,-0.3112346954108083,Female
Udon,3.7052714681031915,Single,No,Graduate School,73.0,Urban,44.0,3772.3457841308095,0.38233133000192887,Female
Udon,6.615100645305328,Divorced,Yes,Graduate School,92.0,Suburban,54.0,4168.45850858774,-0.133960631820155,Male
Mahasarakam,6.257900346511708,Single,Yes,High School,61.0,Suburban,50.0,5598.196614169619,0.2071014862307135,Female
,2.976279523231274,Married,Yes,,65.0,,47.0,3781.4563649241336,-0.2649130261092452,Female
Mahasarakam,3.4917295468323784,Married,No,High School,69.0,Rural,28.0,4465.040996505212,-0.5149237378959244,Female
Khon Kaen,6.269980888956682,Divorced,Yes,High School,53.0,Urban,36.0,4794.482528442163,-0.09296907191227183,Male
Udon,4.388137466970559,Single,No,Graduate School,88.0,Urban,46.0,6371.352802951031,-0.15889569215130372,Female
Mahasarakam,4.773222603946346,Divorced,Yes,Graduate School,30.0,Suburban,54.0,6122.211405480369,-0.015503053423789326,Female
Udon,4.1979087239932245,Married,No,College,67.0,Rural,46.0,5513.053847837129,-0.05537871555907231,Female
Udon,4.123020305708921,Divorced,Yes,College,76.0,Urban,50.0,4854.9768139015505,0.12007141987157426,Male
Mahasarakam,3.639792162521709,Married,No,Graduate School,97.0,Suburban,53.0,5960.7157646497535,0.24572286378849698,Male
Mahasarakam,4.962175453371399,Married,No,College,58.0,Rural,47.0,6639.315821104927,0.05283483277182985,Male
Khon Kaen,3.6380185953782416,Married,No,,69.0,Rural,52.0,5235.290304643744,0.06149307166802926,Female
Mahasarakam,1.8595900560255703,Single,Yes,Graduate School,53.0,Urban,40.0,6707.515988983645,-0.5332925199095324,Male
Mahasarakam,4.720376467792694,Divorced,Yes,College,74.0,Urban,48.0,6380.546084872186,-0.3013274536203535,Female
Mahasarakam,4.918302036016062,Married,No,High School,80.0,Suburban,46.0,5877.81009683306,0.24000844133937171,Male
Mahasarakam,5.267865258266838,Married,No,High School,73.0,Rural,59.0,4133.3334147010355,0.5142515288981078,Female
Khon Kaen,3.9471208175742705,Married,No,High School,36.0,Suburban,61.0,3445.4234662287345,-0.28156395409952034,Female
Udon,2.425910497752267,Married,No,College,68.0,Rural,61.0,7003.853247032732,-0.4347606820729544,Female
Mahasarakam,5.80023311676256,Single,Yes,High School,92.0,Suburban,43.0,4787.430066955799,-0.38243182122333724,Male
Udon,4.765394335947402,Single,Yes,College,64.0,Urban,39.0,4788.1193645244575,-0.2019513315446118,Female
Udon,8.276446714902452,Divorced,Yes,College,51.0,Rural,43.0,3520.9712757057973,0.21143490325601672,Male
Mahasarakam,,Divorced,No,High School,97.0,Rural,40.0,4391.962389245502,1.5,Female
Mahasarakam,2.3237774329812373,Single,No,College,78.0,Rural,42.0,5431.384684463402,-0.7570103612538319,Female
Khon Kaen,6.370348751063546,Single,Yes,Graduate School,78.0,Urban,41.0,5763.169464697352,0.011075457416596088,Female
Khon Kaen,6.231421952469094,Divorced,Yes,College,70.0,Urban,46.0,6345.152323393571,0.2951080267916574,Male
Khon Kaen,4.442476425615573,Married,No,High School,81.0,Suburban,38.0,3235.056789679127,-0.8647710616648394,Male
