Annual Income,Sex,Renew,Years after high school graduation,Education Level,Hours Online,Brand Loyalty,Years subscribed,Marital Status,Location Code,City
43345.535343255244,M,No,33.0,High School,6.4300386203916755,-0.05967412757918805,5.0,Married,Rural,New Castle
48835.112396567565,M,Yes,38.0,College,5.936795615613715,-0.1579831846639134,2.0,Divorced,Urban,Manchester
43181.00940488059,F,Yes,27.0,High School,3.4630942004525305,-0.10351945526810671,4.0,Divorced,Urban,London
61432.521742890676,F,Yes,49.0,College,5.523120295676087,-0.33351662446038205,5.0,Divorced,Urban,New Castle
,F,Yes,43.0,High School,4.624288996115281,0.11713679284838896,4.0,Single,Suburban,Manchester
34277.69394422452,M,No,34.0,College,7.588009598608684,-0.8588219435859122,3.0,Married,Rural,London
74212.80563209334,M,Yes,44.0,High School,5.401504540752038,-0.3899697030021271,3.0,Divorced,Urban,New Castle
52252.295114370914,M,Yes,,College,7.479849724848503,0.02497394849397662,2.0,Single,Rural,London
57999.53547738089,F,Yes,40.0,High School,4.984979532202723,0.43476671878460266,4.0,Single,Urban,New Castle
47741.66726881259,M,Yes,33.0,High School,7.033040239854577,-0.4694072613129312,2.0,Divorced,Urban,New Castle
46003.95977559146,F,No,44.0,Graduate School,5.40002240460979,0.1540171002979764,3.0,Married,Suburban,Manchester
48915.46221588786,F,No,29.0,High School,7.16067557938077,-0.5093188790174974,3.0,Married,Rural,Manchester
64478.43993138416,F,Yes,37.0,Graduate School,6.355525306805578,-0.16574874003982343,4.0,Married,Urban,Manchester
31106.675565575217,M,Yes,36.0,Graduate School,5.514732676261207,0.3833112551158187,5.0,Divorced,Suburban,New Castle
52258.772938855436,M,Yes,31.0,Graduate School,5.291082882168024,-0.04458779924833414,4.0,Single,Suburban,Manchester
34364.61762855755,M,Yes,32.0,Graduate School,3.268214758112181,0.6838202506668615,5.0,Married,Rural,New Castle
59133.100280168685,F,Yes,23.0,Graduate School,5.585934049999091,0.7678051001233248,6.0,Divorced,Urban,Manchester
44128.89247458114,,Yes,35.0,College,,-0.44856632276287256,3.0,Divorced,Suburban,Manchester
54015.247615901,F,No,32.0,High School,7.132702786427635,-0.5224328303265325,2.0,Divorced,Suburban,London
73100.350562194,M,No,41.0,High School,3.675713642328815,0.8418116250568601,4.0,Single,Rural,London
48662.25856906955,M,Yes,23.0,High School,3.3141748274931957,0.29961011560599804,5.0,Divorced,Suburban,London
96140.23285343542,M,Yes,42.0,High School,,-0.07083275451045667,3.0,Single,Urban,New Castle
46462.09768144351,F,Yes,41.0,Graduate School,2.950674448812564,0.1631743074484363,8.0,Divorced,Urban,New Castle
68530.24796868887,F,Yes,42.0,Graduate School,7.126342433268242,0.04016175838456236,1.0,Divorced,Urban,Manchester
41683.67624676218,M,Yes,34.0,College,4.93695337229583,0.39274949271914456,5.0,Single,Urban,New Castle
31668.475873079926,F,Yes,47.0,College,3.529779940376323,0.8151407463269317,4.0,Divorced,Urban,New Castle
52013.84401458602,F,Yes,52.0,College,5.378985470690475,0.2892441888525657,,Divorced,Urban,Manchester
58574.664947433535,F,Yes,27.0,College,4.498695255503222,0.27729049229481273,6.0,Divorced,Suburban,Manchester
53154.07248800136,M,Yes,42.0,High School,3.221144444374484,0.7569392718492844,4.0,Divorced,Suburban,Manchester
67750.68608533393,F,Yes,24.0,High School,4.48106046964226,-0.27701406831958475,7.0,Single,Rural,New Castle
67590.01418188852,F,No,44.0,College,8.231695511096431,-0.49506846981975694,5.0,Married,Rural,Manchester
57189.647448975484,F,Yes,34.0,College,5.330853852400014,0.6228249179218712,4.0,Divorced,Rural,Manchester
,F,No,,Graduate School,5.194686294657642,0.26307222240924294,6.0,Married,Urban,New Castle
23739.42305317029,F,Yes,35.0,College,3.4766184520522825,-0.3890520055773105,7.0,Divorced,Urban,Manchester
61154.3619279126,F,Yes,42.0,High School,8.14065109994548,-0.42951775887664795,1.0,Divorced,Suburban,New Castle
37777.92293064674,M,Yes,53.0,High School,3.5397552284771137,0.09175590442245038,3.0,Divorced,Urban,New Castle
66496.3302499655,F,Yes,40.0,High School,4.044631248641641,0.8569333192810937,6.0,Married,Urban,New Castle
51944.530651760135,F,Yes,41.0,,4.910523144998179,0.44202406319403614,3.0,Single,Urban,London
68286.40261430293,F,Yes,44.0,Graduate School,6.425554969225436,0.7372925609018048,5.0,Single,Suburban,New Castle
75424.84626749279,M,No,39.0,Graduate School,5.8641137129075815,0.13747810311083086,6.0,Divorced,Rural,London
69290.66059039549,F,Yes,51.0,High School,3.9153468280161556,0.6028195939529666,5.0,Single,Urban,Manchester
65225.283743431704,F,No,50.0,Graduate School,7.854457966376479,-0.33681790267219963,4.0,Married,Rural,Manchester
72813.97138748535,F,Yes,26.0,College,5.483454467964817,0.6622822632106065,4.0,Divorced,Suburban,London
49081.24527827874,F,Yes,31.0,College,4.480257227302436,0.03426519602438095,4.0,Divorced,Urban,New Castle
42732.29792257192,M,Yes,37.0,Graduate School,3.8331285167352807,0.3708912176557241,5.0,Single,Suburban,New Castle
53497.405521007226,M,No,23.0,Graduate School,5.291124067291626,-0.17925427125826696,5.0,Divorced,Suburban,Manchester
50341.79727632667,F,Yes,44.0,High School,2.806618421086288,0.6848982749891311,5.0,Single,Urban,London
,F,Yes,38.0,Graduate School,,-0.04969415919693247,5.0,Single,Suburban,Manchester
69087.80387729198,F,No,32.0,College,4.735084450535159,0.7188209037718962,3.0,Married,Suburban,London
54774.198304946185,M,No,39.0,Graduate School,5.536106189379267,-0.3996296069694345,2.0,Single,Urban,London
25979.837654346393,,Yes,33.0,College,4.99527269860261,-0.37766301390489215,5.0,Divorced,Urban,New Castle
37139.84924892502,M,Yes,28.0,Graduate School,4.248886071334351,0.19782039000312412,4.0,Divorced,Suburban,London
44206.234615871086,F,Yes,45.0,High School,,-0.04831205812382741,1.0,Divorced,Rural,New Castle
49060.646543462535,M,Yes,39.0,High School,5.941329587503366,0.7826473377560369,4.0,Divorced,,New Castle
68014.71113874512,F,Yes,34.0,High School,2.5772977251725346,0.16055822623328617,5.0,Divorced,,London
64683.3884038671,F,Yes,20.0,Graduate School,3.923864330938504,0.977842242954641,7.0,Divorced,,London
66509.7170626237,M,Yes,37.0,High School,4.469878357121111,0.2270845620235332,5.0,Single,Suburban,New Castle
50129.803484252516,M,Yes,26.0,College,4.77353163288172,0.026488645700641543,3.0,Single,Urban,Manchester
74819.33551163899,F,Yes,31.0,Graduate School,3.3564742097978955,0.26824704938829314,4.0,Single,Urban,New Castle
64315.74164168555,F,Yes,34.0,College,5.2039844837125475,0.41504108180634386,4.0,Divorced,Urban,London
48606.7755590813,M,Yes,45.0,High School,5.087491963801065,0.7932011166035211,4.0,Divorced,Urban,New Castle
49012.92980076139,M,No,34.0,Graduate School,6.511457162652144,-0.33625812081178724,5.0,Married,Rural,New Castle
54073.232243720304,M,Yes,47.0,Graduate School,5.1694952539536185,0.5610531040925664,3.0,Single,Rural,New Castle
37425.70442033197,M,No,32.0,High School,7.791140830489795,0.2105692020677195,6.0,Single,Rural,Manchester
57281.428235207466,F,No,44.0,Graduate School,6.567627281759462,-0.43438262465047994,3.0,Single,Rural,
,F,No,33.0,High School,5.304185610411602,0.16848361856611693,4.0,,Suburban,Manchester
41554.74472457792,M,No,41.0,High School,8.16863998954473,0.37016827347508874,4.0,Married,Urban,New Castle
55822.68552830547,M,Yes,39.0,College,4.3870161810252135,0.30530640614989035,3.0,Single,Urban,Manchester
31042.33086605201,F,Yes,47.0,High School,4.648077473632654,0.08101198436115187,6.0,Divorced,Urban,New Castle
53945.01054055946,M,Yes,36.0,Graduate School,4.482437473496108,-0.5279198355869081,5.0,Divorced,Urban,Manchester
51227.33825276168,M,No,37.0,Graduate School,3.3761658626293523,0.5361935359292792,2.0,Married,Rural,Manchester
41442.63223656954,F,No,36.0,High School,5.727108172683575,-0.1374544289343936,2.0,Married,Rural,New Castle
64855.31997546627,M,Yes,30.0,Graduate School,2.0385886913039326,0.9481087111765182,7.0,Married,Urban,New Castle
72328.5822416966,M,No,47.0,College,6.51375983876471,0.057815519290246864,3.0,Married,Rural,London
64445.317560619034,F,Yes,39.0,Graduate School,4.94745587669239,0.1552859582349571,5.0,Married,Suburban,London
44528.02025440589,,No,49.0,High School,5.486177508389749,-0.023304868800673992,6.0,Single,Rural,New Castle
64336.92397119041,M,No,29.0,High School,7.18732223157369,-0.4533906618230322,3.0,Divorced,Rural,London
59819.870162381085,F,No,35.0,College,7.38302669138358,-0.29462357182697035,6.0,Single,Rural,Manchester
53971.819209314286,,Yes,36.0,College,,0.18322355268925436,2.0,Married,Urban,London
42201.986137749074,M,No,29.0,College,5.9695140314687265,-0.2115306516713657,5.0,Married,Rural,Manchester
64079.789023826175,M,Yes,48.0,High School,4.662658003997682,0.02456783158683796,5.0,Divorced,Suburban,New Castle
53400.06257966702,F,No,32.0,Graduate School,6.5213993948783475,-0.30000503695958003,4.0,Single,Rural,New Castle
73906.62183315435,M,No,50.0,Graduate School,6.030943404402553,-0.35724524398146096,4.0,Divorced,Rural,London
60088.72644000281,F,Yes,28.0,Graduate School,3.7925654543930847,0.6991308226662961,7.0,Divorced,Urban,Manchester
60727.60304790971,M,No,43.0,College,5.6890744691936055,0.0416536977648171,4.0,Married,Urban,Manchester
28033.291539302558,F,No,36.0,High School,6.265258954123273,0.019629157128649738,5.0,Married,Rural,Manchester
40357.38753671568,M,Yes,39.0,Graduate School,3.5065052499552305,0.4749196581752421,6.0,Single,Rural,New Castle
45737.19183679232,F,No,25.0,Graduate School,5.728115700330505,-0.7031721138229435,2.0,Married,Suburban,London
56129.71803948923,F,No,33.0,High School,5.359084741816724,-0.015500534558828216,2.0,Married,Urban,Manchester
47882.24981396003,F,No,40.0,College,3.084890257162522,0.4914010857080648,3.0,Single,Suburban,Manchester
68068.48456960038,M,No,44.0,College,5.242184375746017,0.14177846999148602,1.0,Married,Rural,London
44108.87104126844,M,No,42.0,College,7.994403855793976,-0.22059658760795536,5.0,Married,Urban,London
66742.12555701045,F,Yes,24.0,High School,3.793974293889561,0.5226568334333836,5.0,Single,Urban,New Castle
55276.48538237665,M,Yes,29.0,College,4.680399257450452,-0.2485666193132564,5.0,Married,Urban,London
79869.97857037645,F,No,33.0,High School,6.558456003565464,-0.1451748235168769,3.0,Divorced,Suburban,New Castle
61811.470489126055,F,Yes,46.0,College,5.628744072164403,0.12121377210344714,5.0,Single,Suburban,New Castle
45082.67962696119,M,Yes,48.0,Graduate School,5.504250596729594,0.0747231211487809,3.0,Divorced,Urban,New Castle
71110.54465777286,M,Yes,39.0,College,6.6168781193895345,0.37832005697575094,1.0,Single,Suburban,Manchester
69660.17561579362,F,No,28.0,Graduate School,7.20661105784618,-0.44181631805548005,5.0,Married,Suburban,London
38937.77609477406,F,Yes,45.0,High School,6.821865857519487,-0.13746244663578178,6.0,Divorced,Urban,London
58674.553038888516,F,Yes,28.0,High School,4.921036720480819,-0.23449556148886347,4.0,Divorced,Suburban,New Castle
40688.53788154264,F,No,23.0,High School,8.70491201318281,-0.9810455332998023,6.0,Married,Suburban,New Castle
57773.12309417925,F,No,35.0,Graduate School,6.994751320250176,-0.25082250328186134,3.0,Married,Rural,London
