Annual Income,Hours Online,Sex,Months with Company,Renew,Age,City,Brand Loyalty,Location Code,Education Level,Marital Status
70501.5133185386,5.874040566110255,F,60.0,Yes,57.0,Udon,-0.5879465834008872,Urban,College,Divorced
47925.199262724906,5.257671182494897,F,66.0,No,56.0,Mahasarakam,-0.2862129828057588,Rural,College,Married
77433.04528618872,4.3752449736616885,F,40.0,Yes,46.0,Mahasarakam,0.05296000063413714,Suburban,High School,Single
79127.21568226564,8.29121087116021,F,80.0,No,41.0,Khon Kaen,0.30818017316455576,Suburban,High School,Married
44401.00149589241,5.7177115123183935,M,76.0,No,54.0,Mahasarakam,0.4925799795001524,Rural,College,Single
51750.87234945063,2.3349151145288096,M,51.0,Yes,58.0,Udon,-0.11701875594661124,Urban,Graduate School,Divorced
75109.1097637699,7.81774496740158,M,63.0,No,32.0,Khon Kaen,-0.629847452449628,Urban,College,Married
63680.00436292372,6.81197904624185,F,37.0,Yes,,Khon Kaen,-0.1011474200939412,Urban,Graduate School,Single
72698.92139484709,5.530767199484181,M,42.0,Yes,39.0,Udon,-0.173855571400497,Urban,College,Divorced
65589.02737873899,4.797657410445539,F,39.0,Yes,48.0,Mahasarakam,0.49252857565475194,Suburban,Graduate School,Divorced
,4.697424323060105,F,33.0,Yes,39.0,Mahasarakam,0.035773672605975804,Suburban,High School,Married
80851.51165019436,5.976778143239105,M,38.0,Yes,39.0,Udon,-0.10660082190096784,Urban,Graduate School,Divorced
76087.7614045006,5.0646286285479665,M,55.0,Yes,49.0,Udon,0.38648805435895295,Urban,College,Divorced
54347.060393883985,5.320311793872184,M,83.0,No,54.0,Khon Kaen,0.41975211909706955,Suburban,High School,Single
,4.245068102668682,F,52.0,Yes,63.0,Khon Kaen,-0.7798843185023329,Urban,High School,Divorced
63026.56286205908,6.454085909770913,F,55.0,No,50.0,Khon Kaen,0.6898276311673622,Rural,College,Married
55591.29541729594,4.751701639611828,F,71.0,No,58.0,Udon,0.04008417992339337,Suburban,Graduate School,Single
79339.25685873881,4.640339535373059,F,39.0,Yes,40.0,Udon,0.6797796202685654,Urban,High School,Single
65269.557202886564,3.1228834977799322,F,38.0,Yes,47.0,Udon,-0.12740419001391456,Suburban,High School,Single
57005.661614840836,3.6247725797767147,F,42.0,Yes,55.0,Udon,-0.3368350515294967,Urban,College,
49676.20592155631,4.501110837943326,M,106.0,No,54.0,Khon Kaen,-1.337343382010579,Rural,College,Divorced
64483.130256926044,4.297112267421986,F,108.0,No,52.0,Udon,-0.7085838226253733,Rural,Graduate School,Married
60935.68676684295,6.42120034455411,M,62.0,No,40.0,Mahasarakam,-0.2884027160951864,,High School,Divorced
63547.8262833012,4.094499430834979,F,46.0,Yes,49.0,Mahasarakam,-0.09692735565510315,Suburban,College,Divorced
72471.25989679802,4.550576304006422,F,45.0,Yes,38.0,Khon Kaen,-0.6333871050251724,Urban,College,Single
71378.77156360714,4.007487535750056,F,48.0,Yes,44.0,Mahasarakam,0.4717879342560548,Urban,College,Divorced
53939.604227502365,7.231716876320371,F,41.0,No,36.0,Mahasarakam,0.2840208744255756,Rural,College,Married
46159.84017194751,5.451500924330881,F,28.0,No,28.0,Mahasarakam,-0.9529995328121584,Suburban,High School,Married
61442.876970442296,5.702842490818065,M,65.0,No,46.0,Udon,-0.18361451427194753,Rural,High School,Married
69670.46965866916,5.877743317258877,M,62.0,Yes,58.0,Udon,0.46856729596687563,Urban,College,Divorced
68074.19153986847,3.575923118075655,F,55.0,Yes,56.0,Mahasarakam,0.1172842415394956,Rural,College,Single
58710.32486615434,3.2458941945489252,M,53.0,Yes,60.0,Mahasarakam,-0.18005089780046707,Urban,College,Divorced
43263.505592492125,,F,64.0,No,51.0,Udon,-0.12085331470628267,Suburban,College,Single
61467.51382793822,6.06281059087179,M,32.0,Yes,43.0,Udon,0.062447835278282626,Suburban,Graduate School,Divorced
62830.00339518874,5.797843551543106,F,64.0,No,51.0,Khon Kaen,0.27794494422537197,Rural,College,Single
