Years after high school graduation,Monthly Income,Sex,Location Code,Brand Loyalty,Active online hours,Years subscribed,Marital Status,City,Education Level,Renew
46.0,5764.817543457859,F,Suburban,-0.18255185373286686,5.398278669907256,4.0,Single,,Graduate School,Yes
30.0,4346.498575684571,M,Suburban,0.26601019985588725,4.299512501206389,4.0,Divorced,Tokyo,High School,Yes
38.0,7341.45632265554,M,Suburban,-0.6356683399913245,7.047835470415122,6.0,Single,Tokyo,College,No
42.0,4011.2432232403753,F,,-0.5535687114122096,,4.0,Married,Tokyo,College,No
25.0,4164.539927307826,F,Suburban,-0.30566060004672135,5.232414935773676,3.0,Single,Kyoto,High School,No
30.0,6210.413739447009,M,Urban,0.8822032321489659,5.234585606988459,5.0,Divorced,Tokyo,Graduate School,Yes
38.0,3828.51746760069,F,Rural,-0.4214130726764691,7.19274520860964,4.0,Divorced,Tokyo,High School,No
16.0,5810.349350532467,F,Urban,0.15271355183843424,4.017348082262106,3.0,Married,Kyoto,High School,Yes
26.0,4420.506377563835,M,Rural,-0.4601162139071855,5.373974140731726,3.0,Married,Kyoto,College,No
28.0,4395.54209189634,F,Urban,0.5205146292903108,4.364266749301091,3.0,Married,Osaka,High School,Yes
26.0,5663.898828856622,M,Urban,0.2014720794177256,4.171353714607342,4.0,Single,Osaka,College,Yes
34.0,4786.5070154309105,M,Urban,0.3465748542767779,2.4324125059276227,6.0,Divorced,Kyoto,High School,Yes
29.0,4754.82441007005,M,Rural,-0.3058087544075185,4.990491157290571,5.0,Married,Kyoto,High School,No
41.0,6436.57445427774,M,Urban,0.2475604473453895,1.8948590184275775,3.0,Divorced,Osaka,College,Yes
34.0,5848.309118871028,F,Urban,-0.07505160070780252,6.183941734677427,2.0,Divorced,Osaka,College,Yes
47.0,5206.979120434129,F,Urban,-0.48820376470856675,3.1848473497980483,6.0,Single,Tokyo,College,Yes
33.0,5662.386347056116,M,Suburban,-0.7997908676400934,5.889356242522588,4.0,Divorced,Osaka,Graduate School,No
33.0,4381.847388850988,M,Suburban,-0.3029847778012157,3.958995211823072,2.0,Married,Kyoto,High School,No
28.0,4713.987728173182,F,Urban,0.2757860487531027,5.417142333269255,5.0,Divorced,Osaka,High School,Yes
14.0,6138.057742152781,M,Rural,0.21161138427723514,5.762757121639099,4.0,Single,Osaka,College,Yes
37.0,5264.823067519292,F,Urban,0.18193454788069086,6.1219350961993815,2.0,Divorced,Kyoto,High School,Yes
38.0,4247.6456618573775,M,Urban,,7.854456958763466,,Married,Osaka,High School,No
32.0,5159.138582080941,F,Urban,0.13326378966175756,4.55235352225128,5.0,Divorced,Osaka,College,Yes
38.0,5599.750931937199,F,Urban,0.13464637157414397,3.737826363138162,5.0,Single,Osaka,,Yes
26.0,3794.793911080815,M,Rural,-0.688008995348848,8.183168373499079,,Married,Osaka,High School,No
29.0,5639.716910095203,M,Suburban,-0.13605668276771019,2.4054788131770524,4.0,Single,Kyoto,High School,
39.0,5069.4744209117525,M,Rural,0.2736698268159107,5.355924088516008,4.0,Single,Kyoto,,No
22.0,5277.935341929353,M,Urban,0.41868246856685987,4.465063052650594,4.0,Divorced,Osaka,Graduate School,Yes
36.0,4743.207994987731,F,Suburban,0.7174180171194628,3.7631900300587096,5.0,Single,Kyoto,Graduate School,Yes
25.0,5532.573214356212,F,Suburban,0.20079032280722064,3.865989521284467,5.0,Married,Osaka,High School,Yes
33.0,3949.2724985116647,M,,-0.19337149295687123,5.88165398097392,4.0,Married,Kyoto,College,No
30.0,6112.1879051852975,M,Suburban,0.45704360550311973,3.7035526234222274,5.0,Divorced,Tokyo,Graduate School,Yes
27.0,5379.293960906549,F,Suburban,1.1858943660961432,4.717740461437682,6.0,Divorced,Osaka,Graduate School,Yes
34.0,6686.048940536781,F,Suburban,-0.1204778524823765,6.9999472915524406,4.0,Single,Kyoto,Graduate School,Yes
35.0,,M,Urban,0.2583610441470444,2.311552638345567,5.0,Married,Osaka,High School,Yes
28.0,5018.271267881811,M,Suburban,-0.18560079560570014,6.479834977480603,7.0,Single,Kyoto,High School,Yes
25.0,5684.568220413869,M,Urban,-0.9808512548854503,6.284521221104368,6.0,Married,Kyoto,Graduate School,Yes
47.0,4762.817468753053,F,Suburban,0.2973595623489588,3.292800689438069,4.0,Single,Tokyo,College,Yes
,4972.124996375088,M,Rural,-0.3704437390953473,5.205200811297777,2.0,Married,Tokyo,High School,No
33.0,5321.634057855579,M,Urban,0.11873674581338176,5.206599504770116,6.0,Single,Tokyo,College,Yes
32.0,5305.32752125525,M,Rural,-0.35256217054542405,7.147531085292984,4.0,Married,Kyoto,High School,No
24.0,5090.2412082700985,F,Rural,0.1232113194403757,4.648131140338087,6.0,Divorced,Osaka,High School,Yes
38.0,6219.56390703414,M,Urban,0.4812563511357667,5.63947718596501,1.0,Divorced,Kyoto,Graduate School,Yes
31.0,5561.361180286249,F,Suburban,-0.7141595569940727,5.064463227339013,6.0,Married,Kyoto,Graduate School,No
28.0,6445.747411630744,F,Suburban,0.8487237592070118,5.3977422980992475,3.0,Married,Osaka,Graduate School,Yes
,5042.536378978103,F,Urban,0.06590829930569406,4.570499614062367,4.0,Divorced,Tokyo,Graduate School,Yes
41.0,6028.424716823657,M,Rural,0.771240116342754,3.3238026161723644,5.0,Single,Tokyo,Graduate School,Yes
40.0,4893.8123109973085,,Suburban,0.06469575212771445,4.75438804325291,4.0,Married,Osaka,High School,No
21.0,6304.971990995555,F,Urban,-0.06449724465296659,2.349372759268512,5.0,Divorced,Osaka,College,Yes
