Marital Status,Active online hours,Brand Loyalty,Sex,City,Age,Renew,Location Code,Annual Income,Years subscribed,Education Level
Divorced,5.675086519902277,-0.3772705621372655,Male,Tokyo,42.0,Yes,Urban,45387.89482214362,5.0,High School
Single,6.506561464695632,0.05425667079739893,Male,Kyoto,46.0,Yes,Urban,60089.262800959375,6.0,College
Divorced,6.837280866267344,-0.4190940003199892,Male,Osaka,43.0,Yes,Urban,87209.23102411637,,Graduate School
Married,4.349681668823783,-0.3312388386635823,Female,Osaka,30.0,Yes,Suburban,71201.7436460401,4.0,College
Divorced,4.91339595268278,0.07482779941238249,Female,Osaka,54.0,Yes,Urban,58548.613494558056,3.0,Graduate School
Single,7.187859043287107,-0.1394729142982708,Female,Osaka,52.0,Yes,Urban,68612.42159165745,6.0,Graduate School
Single,5.716419440913106,-0.5138411448732427,Male,Tokyo,33.0,Yes,Suburban,54468.742047537744,5.0,High School
Single,4.058798000897497,-0.2221391816298129,Female,Tokyo,36.0,Yes,Rural,62227.15354609075,3.0,Graduate School
Single,5.520341586311225,-0.3236490199732563,Female,Kyoto,65.0,No,Rural,55827.54762830546,6.0,Graduate School
Divorced,5.4729952263045725,-0.5443023599651106,Male,Tokyo,33.0,Yes,Urban,40303.583912275295,5.0,High School
Divorced,9.274207273949296,-0.006934836002948863,Female,Kyoto,54.0,Yes,Urban,34040.45213164265,8.0,College
Divorced,4.174148723002662,-0.16469420957957948,Male,Osaka,37.0,Yes,Urban,48458.2545249957,3.0,College
Single,6.043316416826771,0.3646155944706716,Female,Kyoto,52.0,Yes,Urban,39775.22602701634,4.0,High School
Single,3.438633149698827,0.212013903752999,Female,Kyoto,40.0,Yes,Suburban,66283.79474418344,3.0,High School
Divorced,5.610640008471304,-0.31171936667619726,Male,Tokyo,41.0,Yes,Urban,41425.264032760446,6.0,High School
Divorced,7.108887072897734,-0.2144535949897628,Female,Kyoto,37.0,Yes,Rural,54740.53422574998,6.0,Graduate School
Single,6.146428170918357,-0.48045371694285927,Female,Kyoto,44.0,Yes,Urban,43809.62507285076,5.0,High School
Married,6.100495285207076,-1.2563384360790621,Female,Tokyo,42.0,No,Suburban,45967.509368173494,,Graduate School
Divorced,5.645985294444069,0.5142977260163227,Male,Osaka,64.0,Yes,Urban,59767.58238868532,6.0,Graduate School
Married,5.895347979448012,0.30321622122467573,Female,Tokyo,52.0,Yes,Suburban,53066.88715549287,,College
Married,4.411994154571662,-0.541475530559378,Male,Osaka,52.0,No,Rural,62216.50487135872,5.0,College
Divorced,6.833456419678843,-1.2047476777860786,Female,Osaka,34.0,,Suburban,52292.57988356618,6.0,High School
Married,7.14990147452753,-0.23270576895655154,Female,Osaka,49.0,Yes,Suburban,65654.22807258804,,College
Married,6.957914771002595,-0.23134067517254348,Male,Osaka,43.0,No,Rural,77826.78379331276,4.0,Graduate School
Divorced,6.265569086693068,-0.2909762249683332,Female,Tokyo,47.0,Yes,Urban,42542.86394178719,5.0,Graduate School
Divorced,6.116379368826367,-0.15063112191336692,Male,Tokyo,45.0,Yes,Suburban,61518.910570666056,5.0,Graduate School
Single,4.234314607253596,-0.5861471369998332,Male,Osaka,28.0,Yes,Rural,55067.810899805074,4.0,College
Single,5.851459456038386,0.1049404956444615,Male,Kyoto,59.0,No,Rural,63282.23741408721,5.0,High School
Married,5.798362000515878,-0.5594593345414488,Male,Osaka,45.0,No,Rural,55751.682741904944,5.0,Graduate School
Divorced,6.571826972318613,-0.4548766643165216,Female,Tokyo,37.0,Yes,Suburban,51708.79994739934,6.0,Graduate School
Divorced,4.807624718534991,-0.12837015682505742,Male,Osaka,40.0,Yes,Suburban,69657.76859889374,4.0,Graduate School
Divorced,8.266478520907604,-0.6174150942752886,Male,Osaka,41.0,Yes,Suburban,46947.3120235277,9.0,Graduate School
Divorced,5.979180067121144,-0.7356478907845284,Male,,40.0,Yes,Suburban,77108.78948648588,5.0,College
Divorced,5.819470637101719,0.16937079380663722,Male,Kyoto,68.0,No,Rural,61695.98274744211,7.0,Graduate School
Divorced,6.254273087137547,-0.6676141581020014,Male,,41.0,No,Rural,42691.228697722145,4.0,High School
Divorced,5.697677768795438,0.29652132195216885,Male,Kyoto,32.0,No,Rural,71380.49673050066,4.0,High School
Single,4.571924653777808,0.8327087340970533,Female,Osaka,48.0,Yes,Suburban,47566.88114049644,3.0,High School
Divorced,5.1971322435507625,0.3238552667524631,Female,Osaka,59.0,Yes,Urban,67914.93166373612,4.0,Graduate School
Married,4.802373452701506,-0.4478010844720699,Male,Kyoto,49.0,No,Suburban,77502.91835700045,5.0,High School
Single,5.949053217987873,0.17459893840842855,Male,Osaka,48.0,Yes,Urban,41831.08303500361,5.0,Graduate School
Single,4.733957391194559,-0.0038565357722663007,Male,Osaka,48.0,Yes,Suburban,72046.8042862062,4.0,High School
Married,5.538493746342307,-0.27582907125442097,Male,Osaka,54.0,No,Urban,64006.884923516554,5.0,College
Single,7.065219887677156,-0.21329787875365058,Male,Kyoto,39.0,Yes,Urban,70160.48190224053,6.0,Graduate School
Divorced,6.034127780124943,-0.05859017326808158,Male,Osaka,42.0,Yes,Urban,71273.44715308021,5.0,College
Single,7.609340551150953,0.4617700652928034,Female,Kyoto,59.0,Yes,Rural,61860.91723450353,6.0,High School
Single,6.2412979434391085,-0.08925130349373667,Female,Osaka,51.0,Yes,Urban,46626.65838454207,5.0,Graduate School
Single,2.7893484513868794,-0.1667109740363269,Female,Tokyo,43.0,Yes,Urban,45179.76564189153,1.0,Graduate School
Single,4.647301131605389,-0.8400696069242399,Female,Kyoto,28.0,,Suburban,48482.320558563166,5.0,College
Divorced,6.942532308642208,-0.8625698863707718,Male,Osaka,34.0,Yes,Urban,54593.757417988265,7.0,College
Divorced,6.677844384700939,-0.42330998314241913,Male,Tokyo,45.0,,Urban,57181.11276409507,6.0,College
Single,4.195722886346591,-0.21368718597523934,Male,Osaka,33.0,Yes,Urban,62905.51454237731,3.0,College
Single,3.7943704692956968,-0.4735564479615613,Female,Osaka,36.0,Yes,Urban,60281.98216526153,,Graduate School
Married,6.096631457105676,-0.5793395551601253,Male,Kyoto,36.0,Yes,Urban,60303.536733739544,5.0,High School
Married,5.961838617373001,-0.6112117118857312,Male,Kyoto,49.0,No,Suburban,52905.71933282268,3.0,High School
Divorced,2.091902697525554,-0.6346321143909313,Female,Kyoto,28.0,Yes,Urban,45048.177422210494,2.0,College
