Renew,Brand Loyalty,Marital Status,City,Education Level,Age,Gender,Monthly Income,Months after becoming member,Location Code,Active online hours
No,0.5127658233099017,Single,New Castle,College,28.0,M,3451.685435501639,65.0,Rural,5.729474394205463
,-0.21593956933588898,Divorced,London,High School,41.0,F,5946.537822572903,106.0,Urban,6.860087432455171
No,0.10526402183822736,Married,New Castle,High School,39.0,F,6996.9106461583615,69.0,,7.235151522424433
Yes,-0.5635707700505169,Single,Manchester,Graduate School,55.0,F,5166.578587459696,76.0,Urban,6.516146499544781
No,0.6610173477687441,Married,New Castle,College,66.0,F,4993.762522539137,49.0,Rural,5.138450059869649
No,0.932205872961372,Married,Manchester,Graduate School,48.0,M,5477.253817856608,106.0,Rural,5.2841926204452045
Yes,0.2214797176276528,Divorced,London,Graduate School,53.0,F,6524.365421480446,56.0,Urban,6.173953226338215
No,0.14275986896992904,Married,New Castle,High School,44.0,M,5629.914488113503,45.0,Rural,5.545088529029281
No,0.4358852576549342,Divorced,Manchester,Graduate School,38.0,F,4802.444881544117,76.0,Suburban,7.999585329467744
Yes,0.394806011999717,Divorced,New Castle,Graduate School,34.0,F,5941.175535589383,61.0,Urban,2.9234519047269436
No,-0.07770038853952049,Married,Manchester,College,58.0,M,6273.04674329663,47.0,Rural,4.895669523033682
Yes,0.7511665522568276,Single,London,Graduate School,63.0,F,7462.595964371663,50.0,Urban,5.145794704256508
Yes,0.5494506546969928,Single,Manchester,College,40.0,F,6200.571782357648,67.0,Urban,6.920923751897671
Yes,-0.03200825919222866,Divorced,London,Graduate School,52.0,F,5850.698582336481,81.0,Rural,6.215996625536943
Yes,0.08424397094299635,Single,Manchester,College,54.0,F,6387.766719115909,36.0,Urban,7.531547083693063
Yes,0.5293224502352081,Divorced,Manchester,College,38.0,M,5135.052477350991,47.0,Urban,3.120132055820891
Yes,0.1643458168487006,Divorced,New Castle,Graduate School,42.0,F,6331.76766828988,62.0,Urban,5.913084210564383
Yes,0.4453436246246707,Divorced,Manchester,College,46.0,F,6103.6176948018765,11.0,Suburban,7.339703706855879
Yes,0.4621886901667477,Divorced,London,High School,53.0,M,6369.343173668996,42.0,Suburban,7.773987926866511
Yes,0.3439038452861835,Single,Manchester,Graduate School,44.0,M,,53.0,Suburban,5.87946921624525
Yes,0.5045207873488451,Divorced,London,High School,34.0,F,7219.378800081104,71.0,Urban,7.777984757215958
,0.8884961164349632,Single,London,High School,47.0,F,3972.0695427609535,48.0,Suburban,6.387150851803215
Yes,0.3705791604866279,Divorced,London,High School,44.0,M,5895.967868229956,62.0,Urban,3.5734910393832813
Yes,0.7796582294600267,Single,Manchester,Graduate School,50.0,M,5573.640203573139,69.0,Rural,3.3532078069580633
Yes,-0.10088906734759251,Married,London,College,47.0,F,5907.501303693717,34.0,Urban,7.165431026041507
Yes,-0.022074736518096494,Divorced,New Castle,College,44.0,F,5512.7432780541985,77.0,Urban,5.565934033811962
Yes,0.05857647373342756,,London,High School,33.0,F,5969.873225150406,71.0,Urban,5.538042391993129
No,-0.037959525136276595,Married,London,Graduate School,44.0,M,5295.238082923071,29.0,Suburban,6.29271939250131
No,0.23050366876809245,Married,New Castle,Graduate School,51.0,F,5257.529062666768,69.0,Rural,5.384079692222285
Yes,0.3487223182013237,Married,New Castle,Graduate School,58.0,M,5793.99755224844,92.0,Urban,3.99064299561947
Yes,-0.08861017540668836,Single,Manchester,Graduate School,48.0,M,4684.373802034642,51.0,Urban,6.076466860616917
No,0.34842203985284403,Single,London,College,46.0,M,5241.841290259221,60.0,Suburban,4.960298859159159
Yes,0.21330199574131709,Single,London,Graduate School,34.0,F,6326.328403445177,64.0,Urban,6.060210595044365
No,-0.23371390047373908,Divorced,New Castle,High School,34.0,F,6436.028872782401,23.0,Rural,5.205179170511114
No,0.7771992156243221,Divorced,Manchester,Graduate School,51.0,F,6148.585863863659,68.0,Rural,8.012457756195127
Yes,0.5096342568235648,Divorced,New Castle,College,38.0,M,4823.670809751401,60.0,Urban,4.907697625681454
Yes,0.800937538197194,Divorced,Manchester,College,46.0,F,5917.440498757631,53.0,Urban,5.873311522716152
No,0.00833460863845592,Married,,Graduate School,52.0,F,4556.920883415494,63.0,,7.096594176128341
No,0.7599700132602866,Married,New Castle,Graduate School,50.0,M,4983.263694604431,71.0,Suburban,9.273509234858567
Yes,0.689045571576788,Married,New Castle,Graduate School,52.0,F,6664.967291848239,68.0,Urban,6.071680634541458
Yes,0.7272106941008096,Divorced,Manchester,Graduate School,41.0,,,47.0,Urban,4.269119350180111
Yes,0.22489181056094723,Married,London,High School,32.0,F,5453.214260664432,45.0,Urban,3.8948894682867996
Yes,0.1412673113084802,Divorced,Manchester,College,35.0,F,5692.871888564749,62.0,Suburban,5.554354139893846
Yes,-0.4159282220285998,Single,Manchester,Graduate School,60.0,M,6372.9973235876605,54.0,Suburban,5.411183161236915
Yes,-0.44580451462011295,Single,London,Graduate School,54.0,F,5322.831892312287,96.0,Urban,5.436535873137183
No,0.8131453575640992,Single,London,Graduate School,58.0,F,4784.7557136141095,69.0,Suburban,6.854496217773923
Yes,0.0777729568658444,Divorced,London,High School,60.0,F,6779.980792213082,94.0,Urban,6.175643660174566
Yes,0.7020895644176279,Divorced,New Castle,College,51.0,M,6094.488480944394,56.0,Suburban,5.053165689721105
Yes,-0.2747179377355984,Single,Manchester,College,56.0,M,6396.705090898823,43.0,Urban,7.202544893260825
Yes,0.43761863730728706,Divorced,New Castle,College,37.0,M,6672.350998239504,59.0,Urban,7.4829877378822935
No,-0.339438419936691,Single,London,College,41.0,F,5542.6824205752855,73.0,Rural,6.359820954945589
Yes,0.2231317385541094,Divorced,New Castle,High School,47.0,M,6344.682108134609,63.0,Urban,7.0335243176219535
Yes,-0.284412875453253,Divorced,London,High School,44.0,F,4872.881730274052,57.0,Urban,5.910700605247102
Yes,-0.5960154679146561,Married,London,Graduate School,44.0,M,4641.4009998076035,65.0,Suburban,5.404115092903254
No,0.3235599406217479,Married,London,High School,46.0,F,5141.434650014945,36.0,Suburban,
No,-0.1871385994153022,Married,Manchester,High School,64.0,M,5522.154114952023,54.0,Urban,7.212823172322778
Yes,0.5312165528847428,Single,New Castle,High School,48.0,M,7340.672841307022,54.0,Urban,6.82210466840868
Yes,0.5224533411322076,Divorced,Manchester,College,45.0,F,5542.5062866328535,68.0,Rural,5.766947313229132
Yes,0.031106155446894157,Married,New Castle,Graduate School,62.0,M,6231.260361072244,35.0,Suburban,6.076563318552583
Yes,0.415848519187174,Divorced,New Castle,College,44.0,M,5479.459983593098,31.0,Urban,4.483878765455698
Yes,-0.5481067707598655,Divorced,London,College,43.0,M,5205.921972708311,,Suburban,7.117979560208812
Yes,0.22990824828054335,Married,New Castle,Graduate School,46.0,M,5382.885849486758,83.0,Urban,6.577715515388945
No,0.09658704532848394,Married,London,College,36.0,M,5186.066971809118,79.0,Suburban,3.8869744775389834
Yes,0.1921078246910467,Single,London,Graduate School,47.0,,6204.364791686146,,Rural,8.033963193269193
Yes,0.18843929624584735,Divorced,Manchester,Graduate School,41.0,M,5222.9285707216995,35.0,Suburban,6.833162400321058
Yes,-0.03047403020219408,Divorced,New Castle,Graduate School,51.0,M,6595.892936574512,87.0,Urban,6.8485344833795585
Yes,-0.19387994841425116,Married,New Castle,College,53.0,M,4783.978351707334,86.0,Urban,5.291627174141111
Yes,-0.2117780757352371,,Manchester,High School,30.0,M,5564.101880665277,54.0,Suburban,6.295470951978842
Yes,0.0866537245446532,Single,Manchester,High School,44.0,F,6151.615064339143,65.0,Suburban,6.2885503919446055
No,-0.42558876780081656,Married,Manchester,High School,48.0,M,5931.781154072311,41.0,Suburban,5.489167802606585
No,0.14819047822236725,Married,London,Graduate School,39.0,F,4151.885945830587,63.0,Suburban,5.0810983022037375
No,-0.00019534886119243478,Divorced,London,,40.0,M,4918.323229580197,71.0,Rural,4.314261629168106
Yes,0.30140610803036316,Married,London,College,60.0,F,7381.247921025628,78.0,Urban,6.164868226917448
No,0.42479531989027575,Married,Manchester,College,45.0,M,4502.8093245551345,62.0,Rural,4.675454576109235
Yes,0.06505640399058304,Divorced,London,Graduate School,32.0,F,5125.42071014302,77.0,Urban,7.329054846880307
No,0.17496921579848726,Married,Manchester,,61.0,M,4088.0294802578355,52.0,Rural,5.104956577097301
No,-0.2186896809896638,Divorced,New Castle,College,41.0,M,4642.120299640055,85.0,Rural,6.370925727248388
No,-0.2916836191107266,Divorced,London,College,41.0,F,5759.8681756247515,26.0,Urban,4.851341488361859
Yes,0.21187254640641756,Divorced,Manchester,College,41.0,M,6965.544892609271,72.0,Urban,6.018331177438059
No,0.2255629595235257,Married,London,Graduate School,80.0,F,4781.614451931056,77.0,Rural,7.185389065023369
Yes,-0.2858618512725254,Single,London,Graduate School,56.0,,5675.718709439428,72.0,Suburban,4.3889151631400285
Yes,-0.2534904416000756,Divorced,Manchester,High School,43.0,F,5738.973331714485,60.0,Urban,8.967780184143537
No,-0.13211041543811874,Married,New Castle,Graduate School,46.0,F,5219.918235284574,64.0,Rural,4.863060897256287
Yes,0.3433925247484285,Divorced,London,High School,43.0,M,5425.151413455728,48.0,Urban,3.5971758644686744
Yes,0.9011177616996571,Single,London,Graduate School,51.0,F,6648.74703478133,48.0,Urban,
Yes,0.5570470588097659,Divorced,New Castle,College,63.0,M,5536.558654584845,37.0,Rural,5.47341713940245
Yes,0.29812462217212893,Divorced,New Castle,College,55.0,F,6214.724740251044,64.0,Urban,5.599878053034273
Yes,-0.8010941884894163,Divorced,London,Graduate School,41.0,M,5222.731338942773,51.0,Urban,7.839131890409251
No,-0.7437752459674365,Married,London,College,54.0,F,5543.777615896853,73.0,Suburban,4.90396735140072
Yes,0.6372370220419603,Divorced,New Castle,College,51.0,F,6255.7287496493345,83.0,Urban,4.6420454777380975
,0.06872162583648483,Married,Manchester,College,58.0,F,5382.785536551975,72.0,Rural,4.5309085060999195
No,-0.13713708433166438,Married,Manchester,High School,59.0,F,5470.527626602669,,Rural,3.2011430382370896
No,0.5436667708676011,Married,London,,38.0,M,5184.961291785789,46.0,Suburban,6.119029645909125
Yes,-0.05917392470290833,Single,New Castle,Graduate School,42.0,M,6981.15618853992,63.0,Urban,7.67286110301277
No,0.48473192138625654,Married,London,Graduate School,60.0,F,5656.744685625636,76.0,Rural,4.777879286645749
No,0.16525031146620203,Single,Manchester,High School,41.0,F,6546.1896431908735,71.0,Rural,6.320699990404061
No,,Married,New Castle,College,52.0,F,4773.566874229216,41.0,Rural,6.252130137558557
No,-0.10846242265976214,Married,New Castle,Graduate School,49.0,M,5277.151873426321,87.0,Rural,5.1987868448653005
Yes,-0.6162155202135846,Divorced,New Castle,High School,48.0,F,5803.030144589076,77.0,Rural,6.212716458905057
No,0.31116134567224746,Divorced,New Castle,College,47.0,M,4205.554248165501,75.0,Rural,5.022866653226954
No,0.37172326238018594,Divorced,New Castle,Graduate School,53.0,F,5884.605247650098,56.0,Suburban,8.534387971798727
Yes,0.5199959919421542,Divorced,London,High School,51.0,M,5914.468290272538,58.0,Urban,4.039804629714038
Yes,-0.33640663835413154,Single,New Castle,Graduate School,55.0,M,5453.7635100064335,35.0,Urban,5.379975736184964
Yes,-0.26625463034279917,Married,London,College,71.0,F,4444.577017647377,36.0,Urban,5.663416753954115
No,-0.044987081132320916,Single,Manchester,High School,48.0,M,5987.760530615265,41.0,Rural,4.444349773400844
No,0.5541581661504698,Single,London,College,42.0,F,3962.135575228685,55.0,Suburban,4.588548527424614
Yes,0.08699304248278816,Single,London,Graduate School,57.0,F,5620.605805071255,49.0,Urban,5.142238808606366
No,0.10593589198057601,Single,New Castle,Graduate School,44.0,F,4869.2412505599395,82.0,Rural,7.068850344532566
No,-0.20959899680480998,Divorced,London,Graduate School,45.0,M,6018.032214561048,80.0,Rural,6.677897958567256
Yes,0.20044488968523663,Single,London,Graduate School,39.0,M,4859.639303785708,,Urban,2.911159485015559
No,0.6035582321675,Divorced,New Castle,College,43.0,F,5702.739672306479,54.0,Suburban,7.009303217081803
Yes,0.09738619043302771,Married,London,High School,55.0,M,5173.543666629965,33.0,Urban,6.477429023358348
Yes,-0.3566987065091852,Divorced,New Castle,High School,47.0,M,4893.263033309504,77.0,Urban,6.590950530834438
No,0.05363675543765428,Single,Manchester,Graduate School,48.0,F,6522.071545558446,55.0,Rural,6.8239340161930535
,0.1965342073950501,Divorced,London,High School,41.0,M,6152.4475301481925,92.0,Rural,7.0010344978068435
No,0.6582611709773915,Married,London,High School,50.0,F,3870.1752092789593,68.0,Suburban,5.739091354189441
No,0.4756832590708645,Married,,High School,49.0,F,5458.486648719789,74.0,Suburban,6.315197731835867
No,0.1961692043286918,Married,Manchester,College,32.0,F,4891.489026705251,78.0,Rural,6.886152634560986
Yes,0.8125483567364302,Divorced,New Castle,High School,47.0,F,6214.025653546595,77.0,Urban,5.386140757129795
Yes,0.532674384122299,Married,Manchester,Graduate School,34.0,F,6413.329415703475,84.0,Urban,4.990763512199535
Yes,0.42700032067118004,Single,New Castle,Graduate School,33.0,F,6645.081973642702,63.0,Urban,4.56645126786642
Yes,0.486893501794835,Divorced,London,Graduate School,33.0,M,5305.399908165123,91.0,Urban,5.768581690594186
Yes,0.0017754269572110015,Divorced,Manchester,Graduate School,49.0,,6412.194878412103,52.0,Urban,6.465809701450278
Yes,0.10709360906512289,Divorced,New Castle,Graduate School,27.0,M,6400.790483883763,57.0,Urban,6.71557470206775
Yes,0.06580279810639383,Divorced,Manchester,High School,54.0,M,5299.394729130641,70.0,Urban,5.606281559607362
No,-0.0025609419173655557,Divorced,New Castle,High School,53.0,F,5429.7114073098455,57.0,Rural,4.848666018255952
