Marital Status,Education Level,Brand Loyalty,Online Activity,Years after high school graduation,Sex,Renew,Annual Income,Location Code,Years with Company,City
Single,High School,0.46046106956721194,6.643432528857716,37.0,Male,Yes,48951.86492437984,Urban,4.0,Manchester
Married,Graduate School,0.6250484655079619,5.918707409905502,37.0,Male,No,42764.90008428454,Rural,7.0,London
Single,College,-0.9495812016917458,6.305753751683437,37.0,Male,Yes,50689.83065507017,Suburban,4.0,Manchester
Divorced,College,-0.2702772991271176,6.867181204796654,31.0,Female,No,74913.01450317359,Rural,6.0,London
Divorced,Graduate School,0.2362444985619446,3.251288971433163,27.0,Male,Yes,71421.36195959151,Urban,5.0,London
Married,High School,0.022995956490541432,2.111309015281501,29.0,Male,No,58071.449998491684,Urban,4.0,London
Divorced,Graduate School,0.44980720190967455,4.45449398522333,20.0,Female,No,47664.2352795545,Rural,7.0,London
Divorced,High School,-0.22662544244977062,3.478107411373665,30.0,Female,No,56354.081388990904,Rural,5.0,New Castle
Divorced,Graduate School,0.5682088875051667,5.438652305421157,22.0,Female,Yes,58511.297527658186,Urban,6.0,London
Married,High School,-0.046024476710410434,5.2696149676453095,50.0,Male,No,68403.05353588519,Rural,5.0,New Castle
Married,Graduate School,0.8935218612051831,5.99042934122602,32.0,Female,No,76845.20490080016,Rural,9.0,Manchester
Single,College,-0.7582547917575858,4.903414275263793,27.0,Female,Yes,75551.79648746154,Suburban,5.0,London
Divorced,College,-0.0428918983270621,4.4946037721456245,22.0,Male,Yes,67641.67539222675,Suburban,4.0,New Castle
Single,College,0.13455028126639768,5.64668731593523,15.0,Female,Yes,51374.358093192044,Urban,6.0,London
Divorced,College,-0.60622539552355,5.989350376887924,28.0,Female,Yes,73669.29166335046,Urban,7.0,Manchester
Married,Graduate School,0.47929490210797243,5.203553220058846,35.0,Female,No,63818.069993012745,Suburban,5.0,New Castle
Divorced,Graduate School,0.7538973364119104,7.561826054948771,35.0,Female,Yes,45337.625388236454,Urban,6.0,Manchester
Divorced,High School,-0.7481329079626994,5.7491439622423455,33.0,Male,No,57883.142648928864,Suburban,4.0,Manchester
Married,College,-0.9480937319043672,5.427705220141737,31.0,Male,No,60631.74241991854,Rural,2.0,London
Single,College,0.20365967475703475,5.68348606962452,46.0,Female,No,48233.635581295246,Suburban,5.0,London
Married,College,-0.20354526977081316,4.973949945551079,19.0,Male,Yes,90690.49559996667,Suburban,6.0,Manchester
Married,College,0.3107950321217803,4.785166971117576,34.0,Male,No,53850.60694748979,Rural,5.0,New Castle
Single,High School,0.3294898543820674,4.924618345965202,35.0,Female,No,59617.21796497669,Rural,3.0,London
Married,High School,-0.4001732337777425,4.619966581413423,22.0,,Yes,60625.84027929163,Rural,5.0,London
Divorced,High School,0.32375487712707257,5.1529486544414125,19.0,Female,Yes,54066.33033676119,Urban,6.0,New Castle
Single,College,-0.34362214553762516,6.1521238448159865,30.0,Male,Yes,62195.61229995976,Rural,4.0,New Castle
Divorced,High School,0.015356911740950982,2.971671427365588,9.0,Male,Yes,48998.85496183192,Urban,5.0,New Castle
Married,High School,0.13014588317748013,6.720186818314557,23.0,Male,Yes,76837.94531479065,Suburban,4.0,London
Single,Graduate School,,2.4674921371873766,20.0,Male,Yes,69030.41238977271,Urban,5.0,New Castle
Married,Graduate School,-0.45118679660657046,8.471003001269175,20.0,Female,No,35848.69910856109,Rural,7.0,London
Divorced,Graduate School,0.6816494889325863,3.6245603641097723,52.0,Male,No,53143.155860703395,Rural,2.0,Manchester
Married,High School,-0.2480184834091752,6.037792483617402,17.0,Male,No,49836.03632833625,Suburban,7.0,Manchester
Married,College,-0.27070455961026213,2.532306819688098,40.0,Male,No,49293.495439645194,Rural,4.0,New Castle
Single,Graduate School,0.879566677808635,6.680276808227907,48.0,Male,No,66740.56609408872,Rural,6.0,New Castle
Single,College,-0.6736422693624223,7.424226490238768,42.0,Male,Yes,71615.24826319834,Suburban,1.0,Manchester
Divorced,Graduate School,-0.08516515341827613,6.613825914182637,27.0,Female,Yes,40945.73048219673,Suburban,4.0,London
Married,High School,0.16989404127896074,,31.0,Male,No,70031.68466270049,Rural,8.0,London
Divorced,High School,0.4771064649811083,7.016635992794315,32.0,Female,Yes,45404.63504884479,Rural,6.0,London
Married,College,-0.044731847998310814,5.110803615222291,23.0,Male,No,48201.48468502145,Suburban,5.0,Manchester
Single,High School,0.33302843250022224,6.245889349253938,28.0,Female,No,66996.3896312746,Rural,5.0,New Castle
Married,College,-0.4160546428739434,5.53195862078351,28.0,Female,No,58624.3463285153,Suburban,6.0,New Castle
Married,High School,0.4629130345561384,6.100880863218144,23.0,Female,Yes,52741.52899098014,Urban,5.0,New Castle
Single,High School,0.15050698108150676,5.620808343296569,24.0,Male,Yes,60441.753153412516,Urban,4.0,London
Married,Graduate School,0.015346170640816136,4.115107821758468,27.0,Female,Yes,60037.14357507332,Suburban,2.0,New Castle
Divorced,,0.2775354596793903,5.351412509068931,23.0,Female,Yes,44630.79894691942,Suburban,4.0,London
Single,Graduate School,-1.0474835925289159,5.061172541928198,19.0,Male,Yes,56771.848083954195,Urban,4.0,New Castle
Single,High School,0.43886886972877065,5.290192599103429,26.0,Male,Yes,79351.19451036022,Suburban,3.0,Manchester
Divorced,Graduate School,0.066434318963604,6.445464859502854,38.0,Male,Yes,56408.1832795877,Suburban,7.0,New Castle
Single,Graduate School,-0.26593640296692694,6.692634299401014,32.0,Male,Yes,54352.0028060819,Suburban,3.0,Manchester
Single,High School,-0.9755992821861639,8.121216237231284,,Male,No,59238.47973225368,Suburban,3.0,London
Married,College,0.6508326019405581,4.282146516768093,35.0,Male,No,56622.900203895166,Rural,6.0,Manchester
Married,High School,-0.05115685177103563,6.495759687825727,29.0,Female,No,50511.37673861068,Urban,5.0,Manchester
Married,Graduate School,-0.49375522117742743,5.348479411560619,31.0,Male,No,,Rural,5.0,London
Married,High School,0.34172300268873956,,29.0,Male,Yes,53023.603196239135,Suburban,8.0,Manchester
Single,Graduate School,-0.46515720393355464,5.061928768505888,19.0,Male,No,49406.26342710748,Rural,5.0,London
Divorced,High School,0.07565733489644995,,33.0,Female,Yes,39762.657829091855,Urban,3.0,London
Single,Graduate School,0.7072504560389313,3.862807295367059,30.0,Female,Yes,58402.63949795078,Urban,4.0,Manchester
Divorced,,-0.2604771342491677,6.169399761585167,22.0,Male,Yes,59789.420237689046,Rural,3.0,Manchester
Married,College,-0.7515782166112178,6.586079291750233,22.0,Female,Yes,65692.47557082326,Urban,4.0,New Castle
Married,High School,-0.5210639981155931,6.843288538403959,24.0,Male,No,56702.6116565994,Rural,8.0,New Castle
Married,College,-0.08577053836206375,4.9799381953859365,18.0,Male,Yes,51869.542605540635,Urban,,Manchester
Married,High School,-0.8713267951558737,5.172344613113101,36.0,Female,No,41212.76621649429,Rural,8.0,New Castle
Divorced,High School,-0.618023410662782,4.875981463820263,26.0,Male,Yes,56113.67986788192,Rural,4.0,New Castle
Divorced,Graduate School,-0.5911681331569882,2.36803387659303,8.0,Male,Yes,48439.53241035121,Rural,4.0,Manchester
Married,High School,0.4054211352169972,5.536279935523732,27.0,Female,Yes,79853.85831491946,Urban,4.0,London
Single,College,-0.13727818057780447,5.7281130571757455,47.0,Male,No,57595.966114774346,Rural,6.0,Manchester
Single,High School,0.3165144047563601,7.621024949590441,26.0,Male,Yes,69325.8475343099,Urban,6.0,London
Divorced,Graduate School,0.33991763297565397,3.9805827780372445,22.0,Male,No,43890.272332355715,Rural,5.0,London
Married,College,-0.3135645145876927,4.344765331099916,31.0,Male,No,42871.1019272195,Rural,3.0,Manchester
Divorced,College,0.8195627646385818,5.801366248782921,14.0,Female,Yes,41103.38069616745,Suburban,6.0,London
Divorced,High School,0.4209579621151813,5.3908546180358625,32.0,Male,Yes,67413.22828917441,,5.0,London
Single,Graduate School,0.35284200172574703,6.403240543530984,27.0,Male,Yes,,Urban,6.0,London
Married,High School,-0.49530752295039404,6.912361421574966,36.0,Male,No,,Suburban,5.0,New Castle
Divorced,Graduate School,0.13458162037800292,4.332458532288622,,Female,Yes,44538.82885277221,Rural,7.0,London
