Location Code,Renew,Age,Online Activity,Education Level,City,Brand Loyalty,Monthly Income,Sex,Months with Company,Marital Status
Urban,Yes,43.0,4.256573128440138,College,London,-0.5315233209535739,3679.1906144390787,Male,69.0,Divorced
Suburban,Yes,50.0,6.2848878809135,Graduate School,London,-0.017494609385400206,4547.321600055526,Female,82.0,Divorced
Suburban,Yes,45.0,4.803520631900262,High School,Manchester,-0.03666899649520389,3580.9694962214253,Male,50.0,Divorced
Rural,No,48.0,5.234361068570665,Graduate School,London,-1.206462014080601,4437.702190018135,Female,84.0,Married
Urban,Yes,61.0,5.914427167954666,Graduate School,London,-0.14268239798840499,4436.941277102607,Male,60.0,Single
Urban,Yes,48.0,5.590424710148771,High School,London,0.3343562758330072,5819.751924276627,Female,76.0,Divorced
Urban,Yes,54.0,8.575882046176813,Graduate School,New Castle,-0.05802838809627148,5297.337522416911,Female,89.0,Single
Urban,Yes,55.0,6.115587798723616,,London,0.37331904390835535,2690.5733477118683,Female,71.0,Divorced
Suburban,Yes,56.0,6.844558753873573,Graduate School,Manchester,0.34658389981946414,5321.639443765648,Male,,Single
Urban,No,47.0,3.0905034367277513,College,London,0.24918328849667737,4668.014139559448,Male,70.0,Married
Urban,Yes,48.0,6.943047218184303,High School,Manchester,-0.1971325932941678,5617.51010608117,Male,68.0,Married
Urban,Yes,45.0,6.002579161838718,College,Manchester,-0.28871551074680396,4469.183934847769,Female,33.0,Single
Urban,Yes,48.0,6.402273634630454,Graduate School,London,0.05808471300581641,4068.0039536735826,Male,77.0,Single
Suburban,No,43.0,4.933136780828099,High School,Manchester,0.7681086136634403,3703.806507250169,,51.0,Married
Rural,No,58.0,5.57965558927974,Graduate School,London,-0.4752868267150478,3585.4006204766147,Female,77.0,Single
Urban,Yes,45.0,5.1123792754625015,College,Manchester,0.3535799538149411,3603.203753169915,Male,93.0,Single
Urban,Yes,53.0,5.651444234940762,College,Manchester,0.44171574653037393,4996.4193528046135,Female,64.0,Single
Urban,Yes,42.0,7.079225704465222,College,Manchester,-0.09198816859689044,2288.9646769334922,Female,33.0,Single
Rural,,48.0,5.354487906228235,College,Manchester,-0.5415837672801225,3513.628996750538,Female,69.0,Married
,Yes,59.0,5.6732142160454435,College,Manchester,0.22075132671647735,4858.5060403905045,,80.0,Single
Suburban,Yes,40.0,6.538937817810121,College,London,-0.8602547437423488,6506.378883540554,Male,44.0,Single
Suburban,Yes,35.0,6.833990048051033,High School,New Castle,-0.43570073276743443,4581.375853125734,Female,73.0,Divorced
Suburban,Yes,45.0,4.245741094856939,College,London,-0.11067652310703902,4368.4016218018905,Female,56.0,Single
Urban,Yes,54.0,4.065188037096182,Graduate School,Manchester,0.3179887410822193,3564.1410179605764,Female,61.0,Divorced
Urban,Yes,50.0,4.770309388580304,College,Manchester,0.08813989492388807,5636.490697297146,Female,90.0,Single
Urban,Yes,40.0,7.6002394805313545,High School,New Castle,-0.0955735919707437,4926.7311574977175,Female,46.0,Married
Rural,No,61.0,5.923424119906104,Graduate School,London,-0.22154197449577281,2019.9524456189529,Male,72.0,Married
Suburban,Yes,50.0,5.742702725981665,High School,London,-0.38905780162646325,5176.248363603197,Male,36.0,Divorced
Suburban,Yes,29.0,,Graduate School,Manchester,-0.3924493839312414,4275.348908539007,Male,60.0,Divorced
Suburban,No,68.0,6.336731516001424,Graduate School,London,-0.053127617168300556,5783.886985972823,Male,75.0,Married
Urban,Yes,52.0,5.770280753909452,Graduate School,New Castle,0.11062521374827439,3109.0338934457227,Female,32.0,Divorced
Suburban,Yes,60.0,6.273261203571152,High School,,0.308561418533307,4853.392501700757,Male,97.0,Divorced
Urban,Yes,55.0,6.894686623984615,Graduate School,Manchester,-0.05950759163809169,,Female,36.0,Divorced
Urban,Yes,53.0,5.573861420504948,,London,-0.06860178743926756,4084.180925258761,,67.0,Divorced
Urban,No,55.0,7.271484608634362,College,Manchester,0.44135565747432615,3540.904287717349,Male,66.0,Single
Suburban,Yes,56.0,5.6686643155129035,Graduate School,London,0.03066067193904609,5523.188465125775,Male,29.0,Divorced
Suburban,No,49.0,5.357688266899904,High School,London,-0.03106046512635685,3839.888187868847,Male,62.0,Single
Rural,No,58.0,6.801257147752006,Graduate School,New Castle,-0.6993951191270338,5192.192769396921,Female,65.0,Married
Suburban,No,53.0,4.0726390008350535,Graduate School,Manchester,0.6278976764081198,4452.379406249673,Male,63.0,Divorced
Rural,No,39.0,5.5600723643543715,Graduate School,New Castle,0.14432000537784867,3916.3254608351385,Male,51.0,Divorced
Urban,Yes,45.0,4.66098141551067,High School,London,0.3547306323123739,5238.021081816533,Male,79.0,Single
Rural,Yes,56.0,3.394886906104251,College,Manchester,0.3195813958127227,5515.4672150418655,Female,77.0,Divorced
Urban,Yes,46.0,6.317017887504148,High School,Manchester,0.008762726486234773,4521.225802547996,Female,70.0,Divorced
Suburban,Yes,51.0,4.827570274068951,College,New Castle,-0.27172093914373474,3482.616545817961,Female,54.0,Single
Urban,Yes,,5.380320117599716,High School,Manchester,0.17261415970067367,2985.765843151494,Female,80.0,Divorced
Urban,Yes,57.0,3.6093537135967115,High School,Manchester,-0.1534337072623443,5798.89482380498,Male,57.0,Divorced
Urban,Yes,63.0,6.402690295731639,Graduate School,Manchester,0.26858468631778876,4185.16320038612,Female,116.0,Single
Urban,Yes,45.0,3.8454535336109386,Graduate School,London,0.17054800401543513,3374.8022522732126,Female,95.0,Divorced
