Education Level,Years after high school graduation,Hours Online,Monthly Income,Gender,Marital Status,Location Code,City,Years subscribed,Brand Loyalty,Renew
College,28.0,4.868536656787876,3667.3152037138534,F,Married,Rural,Mahasarakam,5.0,-0.5903121748265739,No
College,35.0,4.3686937125765155,4068.439153150619,M,Married,Rural,Mahasarakam,6.0,-0.29550853023730683,No
Graduate School,28.0,6.1843551453284915,2763.043431556239,M,Single,Rural,Udon,5.0,-0.3449795081263788,No
Graduate School,46.0,6.755354262055794,4666.4861845355545,M,Single,Suburban,Khon Kaen,2.0,0.18786845465980817,Yes
Graduate School,34.0,5.650249557212409,4976.197694707813,M,Divorced,Rural,Mahasarakam,2.0,-0.30850445658075326,Yes
Graduate School,33.0,5.455806702290519,4241.544288914106,M,Single,Urban,Mahasarakam,3.0,-0.20218307521650078,Yes
College,,5.8783834674052535,5792.222291682219,F,Divorced,Urban,Udon,0.0,-0.504021950287743,Yes
Graduate School,30.0,4.550217674537561,4379.328015936957,F,Married,Urban,Khon Kaen,6.0,-0.40782319633047986,No
Graduate School,30.0,5.120314382338473,4584.517556076752,F,Divorced,Urban,Udon,3.0,-0.2872870308295192,Yes
College,36.0,4.582594645032118,4072.332907530082,M,Married,Suburban,Udon,6.0,-1.0579806074102087,No
Graduate School,42.0,5.823321376965247,3590.6364515874293,M,Divorced,Rural,Mahasarakam,3.0,0.4520139666945639,Yes
College,43.0,7.722808056189752,6393.076163465183,M,Divorced,Rural,Khon Kaen,,0.176300737856217,No
Graduate School,32.0,6.298627451329009,,F,Divorced,Suburban,Khon Kaen,4.0,-0.06374849120893131,No
,30.0,5.28648225487279,3674.348171816895,F,Divorced,Urban,Mahasarakam,4.0,0.25923595725714044,Yes
College,16.0,7.178773735463448,4773.498298455084,M,Married,Urban,Udon,,0.30452194056835763,Yes
Graduate School,42.0,3.600205289652794,2511.3707710069266,M,Single,Rural,,6.0,-0.4628813171005555,No
High School,25.0,6.027182261626912,3959.703124847295,F,Single,Urban,Udon,5.0,0.05493939659187373,Yes
College,25.0,4.818640630562832,4094.3330458706814,F,Single,Urban,Mahasarakam,5.0,0.502086021979111,Yes
College,21.0,6.992533936553966,5093.5202406304,F,Divorced,Urban,Khon Kaen,6.0,-0.027002360296412346,Yes
High School,34.0,5.818589252640315,4790.138827076498,F,Divorced,Urban,Khon Kaen,4.0,0.2999772174844466,Yes
Graduate School,35.0,5.017855811003241,3534.4441653256526,F,Single,Urban,Udon,4.0,0.6169782543064406,Yes
