Sex,Education Level,Marital Status,Location Code,Brand Loyalty,City,Age,Active online hours,Monthly Income,Months after becoming member,Renew
Male,High School,Single,Suburban,0.30579008133522617,Khon Kaen,51.0,4.104116082320546,4441.445958697168,61.0,No
Male,College,Married,Suburban,0.363880674719062,Khon Kaen,51.0,4.229507403886251,5018.884847173932,51.0,No
Male,High School,Single,Suburban,-0.7595676567456455,Mahasarakam,60.0,6.943282546280131,5355.841636648788,42.0,Yes
Male,Graduate School,Single,Urban,-0.6329057231653675,Udon,60.0,6.22369323156079,3661.4622189442834,36.0,Yes
Female,College,Single,Urban,0.031100754981815235,,63.0,5.250023694746556,7114.080861935865,57.0,Yes
Male,College,,Suburban,0.5497183289453004,Udon,36.0,3.958830837908335,5630.621640200147,23.0,No
Male,High School,Single,Urban,0.28193676255831757,Mahasarakam,50.0,5.407609834577316,3587.91044002282,14.0,Yes
Female,Graduate School,Single,Suburban,-0.9222135400342637,Khon Kaen,51.0,6.874540896906774,3761.298979711518,48.0,No
,College,Divorced,Rural,0.4361679135622424,Khon Kaen,33.0,2.6792584867335623,4580.712040275953,61.0,No
Female,Graduate School,Divorced,Suburban,0.058801478762649836,Udon,,3.648482191368843,4643.214851702505,44.0,Yes
Male,Graduate School,Divorced,Suburban,0.08782352632971308,Mahasarakam,43.0,5.682732825141907,5018.898383913559,53.0,No
Male,High School,Married,Rural,-0.1668795635459943,Khon Kaen,43.0,5.807783623013376,4197.587135760448,59.0,No
Male,Graduate School,Divorced,Urban,-1.0626507533992844,Mahasarakam,51.0,5.345268074823684,5322.369239860027,74.0,Yes
Female,High School,Single,Suburban,0.26646573061223305,Udon,33.0,4.774569286615779,5501.202438308849,48.0,Yes
Female,Graduate School,Single,Rural,0.3679679662556878,Khon Kaen,57.0,3.588885262351363,4494.553721687505,40.0,No
Female,High School,Married,Rural,0.16811809943510722,Udon,39.0,4.761232208131579,5494.596054710501,34.0,No
Female,Graduate School,Single,Rural,-0.23262363336940242,Mahasarakam,61.0,6.112714142308897,5415.870204840836,65.0,No
Female,College,Single,Suburban,-1.12023242217727,Mahasarakam,49.0,4.375720375929224,2323.470344278658,59.0,Yes
Male,High School,Divorced,Suburban,0.15342378255523795,Udon,58.0,6.503457998045606,2786.1275898594904,61.0,Yes
,College,Divorced,Suburban,-0.4891904156829632,Mahasarakam,,4.644012235752807,2814.0854740772998,35.0,No
Female,Graduate School,Married,Rural,0.1452194614961891,Mahasarakam,57.0,5.767226294816188,5394.27506696602,52.0,No
Male,Graduate School,Single,Suburban,-0.7136793936386002,Khon Kaen,57.0,4.394031321455213,6160.235382585763,69.0,Yes
Female,College,Married,Rural,0.46843887156588704,Udon,47.0,4.586957305632055,5175.820491869531,51.0,No
Female,College,Divorced,Urban,-0.7585731828982221,Khon Kaen,47.0,5.77286968277334,4437.225950025897,56.0,Yes
Female,Graduate School,Divorced,Suburban,-0.6809501655392753,Mahasarakam,63.0,5.4900055187488075,5819.613598182279,40.0,Yes
Female,College,Single,Urban,0.5365791751180483,Udon,71.0,5.488236018651739,4990.849005923014,52.0,Yes
Male,High School,Divorced,Urban,-0.1839912990282555,Mahasarakam,51.0,5.369967319940621,4577.626443987381,56.0,Yes
Female,Graduate School,Married,Urban,-0.05070910713308156,Khon Kaen,42.0,5.64940045525518,5733.319870906114,56.0,Yes
Female,College,Married,Rural,-0.1239489150083794,Khon Kaen,44.0,3.1733655890709236,4829.656491343188,45.0,No
Female,College,Divorced,Rural,-0.08323084365667843,Udon,66.0,5.0433421293809735,4334.556713849652,19.0,No
Male,College,Divorced,Urban,0.49239757795223926,Udon,37.0,1.0,4665.4372083594635,54.0,Yes
Female,College,Divorced,Urban,-0.41227758842087747,Udon,49.0,5.490594680004248,3680.245598114345,57.0,Yes
Male,Graduate School,Single,Suburban,-0.5302152468557122,Mahasarakam,47.0,6.440946715403853,4172.863348733224,59.0,Yes
Male,,Married,Suburban,0.26360965995747004,Khon Kaen,56.0,5.722177626477475,4147.781859418693,75.0,Yes
Female,High School,Single,Rural,-0.31061595116199664,Udon,43.0,6.352655640535323,4622.256485448303,62.0,No
Female,Graduate School,Divorced,Urban,-0.824977215273752,Khon Kaen,54.0,6.438624278096802,4273.13455326218,35.0,Yes
Female,College,Married,Rural,0.07533364650483282,Mahasarakam,61.0,6.3449776771895,3730.884316478865,34.0,No
Female,College,Married,Suburban,-1.2207914624292888,Khon Kaen,62.0,5.338056623291345,6094.931355592105,79.0,Yes
Male,Graduate School,Divorced,Suburban,,Udon,40.0,5.242771770841524,5290.824051717176,83.0,Yes
Female,Graduate School,Divorced,Rural,0.058305600849564695,Udon,53.0,6.879960455059608,5752.611293477338,90.0,No
Female,Graduate School,Married,Rural,0.5552339488607302,Mahasarakam,50.0,3.445385946320759,4937.500959223115,69.0,No
