Years after high school graduation,Renew,Active online hours,Monthly Income,Marital Status,Location Code,Brand Loyalty,Education Level,City,Years with Company,Gender
34.0,Yes,6.102460875720851,4005.2074953457463,Divorced,Urban,0.003979112815470004,Graduate School,Manchester,3.0,M
17.0,Yes,4.1410338329826955,4566.270531768311,Single,Suburban,0.3435621611055964,Graduate School,London,5.0,M
34.0,Yes,6.071842676039132,3994.348876179989,Single,Urban,-0.05320733797837171,Graduate School,New Castle,3.0,M
19.0,Yes,3.7847898787106953,4871.279301852651,Married,Urban,-0.6598110519178653,High School,Manchester,2.0,F
31.0,No,7.021913182746728,3420.55623801781,Married,Rural,-0.1690874673895853,Graduate School,New Castle,2.0,F
23.0,No,6.523319899465308,3133.0976405542797,Divorced,Rural,0.01957220480518254,College,New Castle,5.0,M
32.0,Yes,4.260009047855289,6933.218730284604,Single,Suburban,-0.5544658681107587,Graduate School,London,4.0,F
26.0,Yes,3.4226281783774026,5699.041398668411,Single,Urban,0.013783837223637019,College,London,6.0,
30.0,Yes,4.174474953191088,5016.8533343184135,Divorced,Urban,0.40713043651979675,College,London,4.0,M
20.0,No,4.853518497151141,6668.307286389669,Married,Urban,0.09172595171106145,High School,Manchester,1.0,M
32.0,Yes,6.132975045090246,4889.2622978511,Single,Urban,0.00029217027547054353,Graduate School,London,4.0,F
34.0,No,5.287623604149158,5640.364901428161,Married,Rural,0.15416282364288286,College,Manchester,4.0,
39.0,No,4.477294929654513,6031.646153819446,Married,Rural,-0.12359676067196729,College,New Castle,1.0,F
36.0,Yes,1.0,6804.120350616647,Divorced,Suburban,-0.660811104583032,Graduate School,New Castle,7.0,M
31.0,Yes,3.959757728552133,5819.404600518358,Divorced,Suburban,0.2876680975443403,High School,Manchester,5.0,M
27.0,Yes,4.837388809344468,3799.550173660392,Divorced,Urban,0.6122360328386354,High School,New Castle,4.0,M
28.0,No,6.170708020957429,4636.000677781937,Single,Suburban,0.7154010655776254,College,Manchester,5.0,M
13.0,No,5.540255515749017,6036.587407189094,Married,Urban,0.7772657780511353,Graduate School,New Castle,4.0,M
38.0,Yes,3.2003494510717245,5327.393503700939,Single,Rural,0.2541157947599979,College,Manchester,4.0,F
29.0,Yes,4.370745411927764,4961.792799557474,Divorced,Urban,-0.41149123486187944,College,New Castle,3.0,F
33.0,No,4.925749370302628,6253.366773363269,Married,Rural,0.40235747832843427,High School,London,4.0,F
24.0,Yes,2.4696276544574003,6473.620332987785,Divorced,Suburban,-0.41814279227585827,Graduate School,London,5.0,M
29.0,No,5.18072013171606,6105.575742396417,Married,Rural,0.34571855528608275,College,Manchester,,M
27.0,Yes,2.6591623055561913,6160.830896643363,Single,Suburban,0.3323107536717725,High School,Manchester,5.0,M
30.0,No,,5905.349701841236,Single,Rural,0.2523567298602219,College,Manchester,3.0,M
30.0,Yes,5.456846520355504,5561.079124423336,Divorced,Urban,-0.6976973816327726,Graduate School,Manchester,3.0,M
31.0,Yes,4.8671926311743,2661.4282809260603,Married,Suburban,0.2128754264657246,High School,London,3.0,F
24.0,Yes,6.0716013462518585,4640.182002620347,Single,Suburban,-0.14712092016176137,Graduate School,New Castle,4.0,F
28.0,Yes,4.665921589552715,3981.5439359079446,Divorced,Urban,0.56520017304944,Graduate School,New Castle,3.0,M
18.0,Yes,4.613883280777694,6072.701515285736,Single,Suburban,-0.6351309697057964,High School,New Castle,3.0,M
32.0,Yes,4.643002139124161,6154.084093946001,Divorced,Suburban,-0.660168564643908,Graduate School,Manchester,4.0,F
22.0,No,6.849433594159828,4477.974338585151,Married,Rural,0.5425721344731329,College,Manchester,3.0,F
46.0,No,7.617634874393393,2502.447713745436,Married,Suburban,-0.15253401699202485,College,New Castle,5.0,M
39.0,Yes,5.841850133417619,3587.665426063204,Single,Urban,-0.023760736362403195,College,Manchester,4.0,M
39.0,Yes,5.4449145624540805,4990.696239257948,Divorced,Urban,0.01820216872417263,High School,Manchester,4.0,F
13.0,No,8.577805071757652,2972.108356939253,Married,Rural,0.6152792737192112,College,New Castle,3.0,M
34.0,Yes,3.306092594111471,3279.327509011242,Single,Suburban,0.6717573344009703,College,Manchester,6.0,M
41.0,,3.9612820375945157,3797.651982595947,Divorced,Rural,-0.554182926197481,College,Manchester,4.0,F
34.0,No,6.662164924710798,3594.8501346577077,Married,Rural,0.7331139933004289,High School,Manchester,7.0,F
26.0,Yes,4.288562601798915,4073.2357121919827,Divorced,Suburban,0.536639439916095,Graduate School,New Castle,6.0,F
27.0,Yes,2.91242227140185,6034.168999441808,Single,Suburban,0.4821342575211586,Graduate School,New Castle,6.0,F
39.0,No,6.896991693188115,4314.635977445203,Married,Urban,1.1282424621871612,High School,London,5.0,F
,Yes,4.996262713622007,5178.174214281743,Married,Urban,-0.19825454310326368,College,Manchester,6.0,M
26.0,No,6.11706675089857,5034.653224438066,Divorced,Suburban,0.4690017808331913,Graduate School,London,3.0,F
22.0,Yes,4.21449318274426,5180.597555586161,Single,Suburban,-0.32454133521599093,Graduate School,New Castle,4.0,M
24.0,Yes,4.619824348411748,3825.796384793569,Single,Urban,-0.3036730872956054,Graduate School,Manchester,3.0,M
26.0,Yes,2.878693275921067,4660.3464680522675,Single,Urban,0.3709185958069231,College,London,5.0,F
37.0,Yes,5.397060656226066,4910.519988265863,Divorced,Urban,-0.4204804529543422,High School,London,3.0,F
33.0,No,3.8932144030476397,7220.1091750403475,Divorced,Rural,0.18420604142807384,College,London,2.0,F
29.0,No,6.205190553772845,4073.4193185718937,Married,Rural,0.05733847134218341,High School,Manchester,4.0,F
31.0,Yes,4.236198385184743,4390.948104176596,Single,Suburban,-0.07235470945077474,Graduate School,Manchester,6.0,F
28.0,Yes,,7673.660960283115,Divorced,Urban,-0.6903335145073338,College,London,4.0,M
34.0,No,6.949457418474693,4425.125222208669,Married,Suburban,0.2380618000009515,High School,New Castle,2.0,M
16.0,No,4.777388094635455,5824.142489483547,Married,Rural,-0.1299836023671237,College,London,1.0,M
