Annual Income,Renew,Brand Loyalty,Sex,Location Code,Years with Company,Education Level,Online Activity,City,Marital Status,Years after high school graduation
50769.19485562132,No,0.49677210019697915,F,Urban,4.0,High School,6.365003326643496,Kyoto,Single,26.0
50556.83789796916,Yes,0.6523321220567055,M,Urban,3.0,College,3.5101814207801034,Kyoto,Single,39.0
41114.83911540854,Yes,-0.12325713982865061,F,Suburban,6.0,High School,5.712470843682386,Osaka,Married,27.0
36307.80346029202,Yes,0.23063600004212648,M,Suburban,6.0,High School,6.235962153493764,Tokyo,Single,27.0
49734.284991576256,No,0.34716888843067284,M,Urban,,High School,6.292612804588536,Osaka,Married,39.0
63618.15926875781,Yes,0.6686565545281008,F,Urban,5.0,College,5.369933009347104,Kyoto,Single,39.0
38662.44324217577,No,0.11689474686481263,F,Rural,5.0,Graduate School,5.640262374756809,Tokyo,Divorced,41.0
52472.31689892896,Yes,0.7366364227967894,F,,6.0,High School,4.765473648957519,Osaka,Married,27.0
62969.10593581648,Yes,0.6474915449898,M,Suburban,6.0,High School,5.785544033439278,Tokyo,Single,25.0
47901.16475416825,Yes,-0.7048094736393264,M,Suburban,2.0,High School,4.417625619353167,Osaka,Divorced,34.0
51323.5777719758,Yes,-0.2947451218233847,F,Urban,4.0,High School,4.747234412835368,Osaka,Divorced,40.0
58100.872198531986,No,0.8156721863465969,F,Suburban,3.0,High School,6.83829556047519,Osaka,Married,43.0
38733.30135701086,Yes,0.1858678294514136,F,Urban,5.0,Graduate School,5.729909078908854,Tokyo,Single,39.0
40560.3411673434,Yes,0.09735917554473378,M,Urban,4.0,High School,4.640656256123499,Tokyo,Single,15.0
85623.38053072544,Yes,0.22465747729142535,M,Suburban,4.0,College,4.019165697894079,Osaka,Divorced,32.0
67954.79596504541,Yes,0.5116320786232746,F,Urban,7.0,Graduate School,6.87381436105258,Osaka,Single,
33714.84328672815,Yes,0.4194636291529234,F,Urban,6.0,Graduate School,5.865140601614657,Osaka,Divorced,16.0
45085.07632325225,Yes,1.184359969109932,F,Urban,4.0,College,5.108989163410324,Osaka,Single,23.0
,No,0.4877885253757813,F,Urban,2.0,College,6.695922984089542,Osaka,Married,45.0
