Marital Status,City,Active online hours,Gender,Years subscribed,Brand Loyalty,Location Code,Years after high school graduation,Education Level,Renew,Monthly Income
Married,Udon,6.450718992368419,Male,3.0,-0.14362973617043565,Rural,27.0,College,No,3685.7380775686597
Single,Khon Kaen,4.388655471028406,Male,4.0,-0.12552414204985865,Urban,50.0,Graduate School,Yes,5506.587698779887
Divorced,Khon Kaen,6.60816559570349,Female,5.0,-0.3749223543081659,Urban,29.0,Graduate School,Yes,6295.746710916082
Divorced,Mahasarakam,4.42309902197436,Male,5.0,-0.29732764677923873,Urban,36.0,High School,Yes,6145.968105320386
Single,Mahasarakam,3.0902199422279253,Female,7.0,-0.24581704062948068,Suburban,21.0,Graduate School,Yes,6976.817083781984
Married,Khon Kaen,3.6141087366707496,Male,3.0,-0.2924799740500318,Suburban,33.0,High School,No,5466.715104205948
Single,Khon Kaen,4.7066414033524495,Male,6.0,-0.8514903187942762,Urban,34.0,High School,Yes,
Single,Udon,4.51923708669014,Female,5.0,-0.2001062243243582,Urban,49.0,High School,Yes,5590.898137349994
Married,Khon Kaen,4.143473965149482,Male,5.0,-0.4960102152556836,Urban,46.0,High School,Yes,5238.682720149871
Divorced,Mahasarakam,2.8050285623926103,Female,3.0,0.5107583821678211,Suburban,41.0,College,No,5179.207264600475
Divorced,Udon,3.8001980044629518,Male,5.0,-0.27633336735065944,Urban,29.0,High School,Yes,5884.608281314528
Single,Udon,8.246838358646201,Male,3.0,-0.6722711400144618,Suburban,55.0,High School,Yes,5740.874700782149
Single,Udon,9.05076338730954,Female,3.0,-0.09650052725996879,Suburban,36.0,College,Yes,5542.951875776176
Single,Mahasarakam,4.364154088710721,Female,5.0,-0.250648890981752,Suburban,39.0,Graduate School,Yes,6062.570495621986
Divorced,Khon Kaen,6.169114399564907,Male,3.0,0.8362599562177229,Urban,36.0,High School,Yes,6158.564657598786
Married,Khon Kaen,3.340444217482325,Female,5.0,0.07034181712132195,Suburban,36.0,College,Yes,5928.8448544604435
Married,Udon,4.188132584404026,Male,5.0,-0.7243344852316418,Rural,33.0,Graduate School,No,6049.696529061759
Married,Udon,3.615958034847649,Female,4.0,-0.04451436675624981,Urban,31.0,High School,No,4660.1514034283155
Single,Udon,3.8125984035793765,Female,3.0,-0.04281825863256235,Urban,48.0,High School,Yes,5519.468420670751
Divorced,Khon Kaen,7.98005523886653,Male,5.0,-0.4500498964556297,Urban,14.0,Graduate School,Yes,6567.805497110325
Single,Khon Kaen,6.185533952233454,Male,7.0,0.09320445057738654,Rural,30.0,Graduate School,Yes,6808.600649386725
Single,Udon,3.6403198421518352,Female,5.0,-0.5281605749877096,Suburban,41.0,Graduate School,Yes,5515.998487287437
Married,Khon Kaen,3.5386299053100387,Male,3.0,-1.2378225102711444,Rural,41.0,College,No,5759.716100319378
Married,Khon Kaen,4.431517199392521,Female,5.0,-0.8302496908584689,Rural,18.0,Graduate School,No,2399.775573931987
Divorced,Udon,7.408340000301177,Female,7.0,-0.17864119617950963,Suburban,25.0,College,Yes,
Divorced,Udon,5.53177212961801,Female,6.0,-0.8193614120974548,Urban,22.0,High School,Yes,6201.103556974178
Single,Udon,7.075390649687967,Female,3.0,0.2863991439440179,Suburban,38.0,College,No,5068.340066394155
Divorced,Mahasarakam,7.199026802575871,Male,5.0,-0.49144672845663573,,45.0,College,Yes,5825.76447286468
Married,Mahasarakam,4.593487851371792,Male,1.0,0.1721903583639827,Rural,37.0,College,No,6077.533113437157
Single,Udon,8.472819912724237,Male,3.0,0.5939788628604323,Suburban,40.0,College,Yes,6064.646812020176
Married,,5.404672066929381,Female,4.0,0.3018737574678647,Suburban,32.0,High School,Yes,6355.933370816172
Married,Mahasarakam,5.71208921614117,Female,2.0,0.4322855694422309,Rural,24.0,Graduate School,No,5803.937623288755
Divorced,Mahasarakam,6.5539867562394765,Male,3.0,0.3666000977111358,Suburban,31.0,College,No,4924.1978517960815
Divorced,Udon,5.206672416954778,Male,4.0,-0.5033656796964157,Urban,41.0,Graduate School,Yes,5774.616089213897
Married,Khon Kaen,7.4658374257773055,Female,2.0,-0.3913254954159064,Rural,28.0,College,No,4731.8466429296805
Divorced,Khon Kaen,4.790448652301486,Female,1.0,0.5061528887397914,Urban,57.0,College,Yes,3846.1577666867333
,Udon,5.679537909618488,Male,3.0,0.0581801921038263,Suburban,40.0,High School,,5156.069652992251
Divorced,Khon Kaen,6.6731504034105935,Male,5.0,-0.47302874990219357,Urban,38.0,College,Yes,5138.749329035097
Divorced,Udon,3.9369479054760275,Male,3.0,-0.4343715613319022,Rural,42.0,College,Yes,5237.900658325918
Divorced,Khon Kaen,7.71972360369531,Female,6.0,-0.3790092773420985,Rural,18.0,High School,Yes,6978.576165271901
Married,Khon Kaen,3.421938841284258,Female,6.0,-0.13146588664392717,Suburban,36.0,College,Yes,6101.3436525239995
Married,Mahasarakam,5.793568562530627,Female,5.0,0.23560462819726677,Suburban,37.0,Graduate School,Yes,
Married,Khon Kaen,7.9207850540256155,Female,4.0,0.027478476354246786,Urban,27.0,College,Yes,6473.268622031349
