Marital Status,Children age,Gender,Satisfaction,Annual Income,Happiness level
Married,7,Female,88.48308232438,42567.93373078986,82.5173375345376
Divorced,7,Male,32.413007676697035,33859.11379093939,49.971741137813154
Single,14,Female,56.750077687922165,62770.01751873775,62.25185478373903
Married,9,Female,13.107952723756377,77083.39835458236,16.976130103574803
Married,10,Female,25.75768012955221,78056.93983013289,18.006949846118097
Married,5,Male,84.73683211210295,39292.35941921707,79.90026728033664
Married,6,Male,83.6214563137643,39628.7056502659,76.65332197793944
Married,6,Female,75.02223876698952,38861.184934565885,85.7416922796981
Divorced,12,Male,65.13213200041973,69209.66310726298,69.73809073694301
Married,13,Male,69.02720090088897,79494.21039932146,54.51891775831686
Divorced,13,Female,55.438408278787456,65869.26636682906,57.78128046024308
Single,7,Male,51.71858801713552,37169.68903328729,56.04164250925
Single,6,Male,56.565735767494346,39586.23421954568,69.20096812597761
Married,8,Male,22.280791439016262,75636.58567849782,26.074623988599456
Married,6,Male,81.78881720745605,32434.991673029646,83.56564753929976
Married,8,Male,40.79942359173297,26748.16977826637,46.76958529208237
Single,13,Female,62.225535897207884,83201.85641468584,80.04055780619271
Single,5,Male,83.92308162045074,41072.16528714416,110.27643706573437
Single,8,Female,14.002218708005437,85767.42578013282,19.033289848689495
Single,8,Male,20.44089170231209,83290.3276799015,30.85164857204608
Single,7,Female,52.52141551190962,33968.56573964599,44.78772332206172
Single,7,Female,51.71484424640729,37079.03865239884,46.815840896068615
Single,9,Female,14.114478734506555,67297.16322011815,5.008939773360321
Single,8,Male,28.245554046823163,24604.659696808834,25.182361924049715
Single,8,Male,10.526798575132709,74900.00873271559,8.347459887376091
Single,13,Male,59.05379552849175,69040.7318542338,43.08544198618191
Married,12,Male,63.13686595281448,70871.29002398904,56.9567554841519
Married,14,Female,65.81594535604353,63715.162881587574,66.92431162595085
Married,13,Female,64.97990199350471,68499.74389081926,61.000462215093336
Single,6,Male,50.68110064026797,17473.657312369065,52.24163481001556
Single,6,Female,38.80449197015852,37265.78218179838,44.989907495146326
Divorced,7,Female,45.98659665288608,48277.57629113573,44.995123638326035
Divorced,9,Female,17.998145188313167,74093.34604466062,6.150316372639383
Single,13,Male,65.80233847215597,65815.15309382975,61.27372384954221
Married,12,Male,75.47024864074601,77287.42092858299,72.08938953685472
Married,7,Male,87.41262891860322,24606.039628947554,79.5592819550398
Single,9,Female,17.58183666356813,79201.97140589952,5.290461839287483
Divorced,7,Male,36.27986132767105,31048.56826623059,31.023348516800624
Divorced,6,Male,82.88331788606325,37144.31926486476,79.39561833466009
Divorced,7,Female,46.881229608707756,15000.0,54.90110615629818
Single,8,Male,9.753028238787664,80072.77649240063,8.600944854843625
Divorced,9,Female,19.108232168300358,78979.51091684474,27.366785459631934
Single,7,Female,49.37552188534484,36038.15993960371,42.74149229437383
Single,7,Male,86.85197836923702,41056.39198503142,82.13489356638839
Divorced,9,Male,22.294414972925225,77283.19753760219,21.35893463348802
Single,7,Male,92.9674843945279,37498.89820787532,87.58182776335231
Married,6,Female,69.46330291582537,37761.91584609157,77.80475593712762
