Children age,Time spending score,Household Income,Marital Status,Money spending score,Gender
8,3.199292805828244,186952.02507338335,Divorced,8.658835023378543,Male
9,-6.728123811977358,182802.89526299093,Divorced,7.3235942552387385,Male
14,43.573846217749406,114486.03739567437,Married,26.43169830925439,Male
9,86.08877586912206,138601.34505450737,Married,86.02213408062039,Female
13,84.04874199193083,115744.69109558497,Married,81.12587133603117,Male
10,28.0801866432113,183064.32370035595,Divorced,13.371381710723306,Male
12,44.680765096741325,115162.76343488881,Single,42.74367308781085,Female
10,79.71448939392369,59346.224307698256,Single,86.60722489545122,Female
9,101.64115617858562,130222.05919670797,Divorced,87.97743491084606,Female
13,14.845530727150434,107649.46865152131,Single,28.6510032279853,Male
10,76.73724509050025,64568.73457956644,Married,88.20563864323067,Male
9,88.36614849770856,140017.3259180547,Divorced,89.73937914071936,Female
9,90.3106165900883,130446.4480368831,Married,92.73859271268802,Male
11,101.62796789209271,62036.55085131081,Divorced,100.00000000000001,Male
8,91.9497570141573,137939.8862515316,Divorced,86.29494686155374,Female
14,63.47817406253606,117256.9220928856,Single,77.53241632466761,Female
13,40.360057099765235,116872.54356420736,Single,24.445798156920464,Female
8,86.8580390129995,133516.28883138223,Divorced,85.87481600806831,Female
9,85.74229990913886,146397.90978361486,Married,88.3026822881479,Female
6,61.10306912251383,49291.24538205346,Divorced,75.34566257776467,Female
9,0.9523074844453463,171535.81604156026,Single,5.7303545356165415,Female
9,9.073782842260186,172748.96966093197,Married,13.10432452894127,Male
9,-4.132482905205425,170437.732541035,Divorced,10.33098932585262,Male
9,101.76817301781793,126602.35574325852,Married,90.06815902013423,Female
12,85.4261410450458,124495.26293841144,Single,82.65001987936867,Male
10,70.19822224085448,141708.91565888046,Single,82.06794540205514,Male
8,75.53588444259596,138867.76399319293,Divorced,77.85618060577615,Female
9,85.86905734459442,136731.89369079328,Married,77.26471792838622,Male
9,7.981212826574833,170181.72145601595,Married,11.50043766899266,Female
13,31.416231588500548,117265.28023645408,Divorced,34.34118599648427,Male
9,91.42428102117576,55065.00376333625,Married,87.9408450022727,Female
9,81.98256246935829,129964.19703398432,Single,84.95783594279737,Female
9,83.33532909258118,135685.7683550548,Divorced,85.30501916399743,Male
6,85.9726874529279,64115.177299089344,Single,77.47765529653071,Male
11,98.09133986147425,68644.75121291821,Single,87.38121341419503,Male
9,17.5621031162073,181581.61224700324,Single,14.08744209644351,Male
10,95.25264790452904,51879.73086723913,Divorced,85.21231982364537,Male
12,76.9423874412985,123261.6178955084,Single,80.13560245474147,Male
10,92.07306089648104,47183.37438045,Married,88.98265095466299,Male
10,91.97256118910035,44328.33187951871,Single,91.5751850594537,Female
9,67.94188924352274,127612.51640412187,Divorced,79.87972478096356,Female
10,120.01849462946225,53761.95133539316,Divorced,97.83980363603315,Male
12,67.49026282445136,125523.71281147764,Married,74.52358374571834,Female
9,-1.4883212572966276,190020.66663476278,Divorced,6.85462643017825,Male
9,86.36432079373103,136813.94678915836,Divorced,81.35513672870223,Female
8,77.80589803555908,130825.89358733503,Divorced,83.03330567259093,Male
13,28.637399364515545,126747.73643590846,Single,22.255185929110173,Female
10,74.07766581867807,63284.99192471565,Single,86.94757777663095,Female
9,4.6996408786910315,182969.74219502095,Divorced,10.04881980604516,Female
13,15.33847114763487,123225.19250553072,Divorced,36.53630303908823,Female
6,72.199057051651,51823.3573501302,Married,72.74781926159369,Female
9,14.270146209026738,181482.48867481036,Single,13.611695917744456,Female
9,81.90825806331763,133607.32251547638,Single,81.2385506431108,Male
11,94.95661654647013,59540.60076105663,Divorced,96.30341623415194,Female
14,21.998895588690424,113611.33817202869,Married,30.2762681777187,Female
6,78.22429316771293,44252.14723984433,Married,74.04001895036835,Female
6,72.89025838505847,47544.28034923198,Married,76.33860325611641,Male
9,4.057133671944902,169859.21285507496,Single,6.27057128801242,Female
8,82.04260865532787,126051.70741167945,Married,79.92314014375421,Male
10,82.50697140118916,65444.065234174996,Divorced,84.62789917881501,Female
12,87.04431427483289,131326.96822695117,Divorced,80.66693800953128,Male
6,64.03785305979908,54064.02554964835,Married,72.60207041281089,Male
9,12.54908572303079,183169.10193746153,Divorced,17.728452192883076,Female
13,87.36809387633888,139881.9873423563,Married,78.20302554356732,Female
9,23.202803328201398,188274.2624535253,Divorced,13.531635110352646,Female
9,6.182776414844948,188660.88908446732,Single,9.856815296793798,Male
12,72.17642143166539,128115.93991360681,Single,77.65270272296972,Female
10,91.36457520966088,42893.10791043831,Married,91.6117603848073,Female
13,18.54138948934608,126334.50340900644,Married,24.67223696978362,Female
13,91.42210423627569,124043.69730901005,Single,83.54332663656244,Female
10,92.7194498931411,52987.26337045783,Single,89.2569524067806,Male
13,42.122747893940904,109104.21725305461,Divorced,36.45457053074437,Female
10,95.31954988539087,58017.877823163275,Married,87.65327155963547,Female
7,69.8585221353395,50315.33929753702,Married,72.53709734969502,Male
8,10.069023524357668,175354.83211373125,Divorced,8.023447556286783,Male
9,9.00801334127541,173021.50798501153,Married,10.044833696042005,Female
13,26.96603114780023,123044.47308329871,Married,28.138284207941645,Female
5,72.61356835668954,64561.5084180514,Married,80.8645699815074,Female
9,90.68452748731283,136332.69115811,Single,89.45970792295968,Male
8,-2.5070348613625306,186709.04579173494,Divorced,12.388004419416838,Female
5,77.71927391261401,46486.254554756,Married,72.47183685896862,Female
6,95.30234036976219,48181.56120016126,Divorced,75.00862882212945,Male
13,41.13248444098282,125257.1396788387,Single,28.30439254426198,Male
13,30.27710207769043,114406.3032484088,Married,22.014958249132775,Male
9,33.51529344450654,194120.8755631511,Single,19.231263434712876,Male
9,4.739196516529986,178307.4746069524,Married,12.023966952877537,Male
7,77.48694368976051,55028.206401366595,Married,75.19459260256757,Male
9,-10.403275724207518,189799.85793492518,Married,13.43598087432624,Female
13,21.44425166770118,117466.66552232852,Single,28.92149342883227,Female
11,79.8292086917456,56585.77089922946,Single,86.0043174780976,Female
13,30.03721867597119,117435.96768332683,Married,31.647260291920652,Female
7,71.56444622119406,48043.9928788251,Single,78.81489274221482,Female
10,119.12481973038325,64131.04382117296,Married,96.69764692927927,Male
13,28.46958879519164,120213.74946796954,Married,31.41726122708793,Male
13,36.346992025702846,125885.6244595077,Divorced,33.25333341540366,Female
9,5.348865115765537,189634.8119311909,Single,12.979444047552875,Female
9,92.28113850242003,138601.38609048488,Single,89.49693351223922,Male
13,81.21243541777692,126928.82464430391,Married,80.97964706603582,Male
13,37.36523690403223,114325.33320074352,Divorced,31.88426316679764,Male
6,73.83152935035542,52485.506870955214,Married,75.58484253359075,Male
9,13.12732561937255,184596.7556197713,Single,11.401600132645463,Female
6,69.01880672831486,41037.51640059608,Divorced,69.21565370491368,Male
6,76.52189263232377,61813.20160153318,Divorced,74.25865941777673,Male
6,90.1136026186921,51572.68404677458,Single,73.81399946018904,Female
9,83.48159463513836,138131.1630434413,Divorced,78.2687926379322,Male
9,24.718565077264238,180966.18651370186,Single,14.03076583900895,Female
13,78.84856257925668,122456.01489303188,Divorced,73.46587969291255,Male
9,83.07038535459711,146168.11932641082,Married,81.98116030840472,Female
6,87.95028389727692,48323.60744841611,Divorced,77.19345612665624,Male
9,11.913386768543024,187054.24991607503,Single,16.204136063841695,Female
13,31.566159713093338,104377.45486901067,Divorced,34.549553776586336,Female
8,88.44097206718897,116460.86679141146,Single,81.95909141243492,Male
9,84.79911106572483,128735.50838970466,Married,82.34466343939818,Male
6,71.96238508415507,47345.14106885361,Married,74.8248889682426,Female
10,89.74432098552349,71821.36380788693,Single,85.19589211373034,Male
10,96.44156269107444,65512.03367273561,Single,90.688194689184,Female
6,78.13657095589444,57181.772900263735,Single,77.23456915106941,Female
13,81.58124868730884,124007.32509377254,Divorced,70.17433780516195,Male
9,14.516698172889598,193511.83789636084,Married,10.621038235002736,Female
13,20.03012572435917,114542.72303644492,Divorced,38.253339367042,Female
6,81.85670485471373,59232.978501364654,Single,72.00810241741962,Female
11,86.01757036050839,57723.855557490126,Divorced,89.62658819710822,Male
9,1.3426901973483432,191968.98131210048,Married,13.41709131529418,Male
9,69.47304454930364,130595.62386876368,Single,87.10412691225902,Female
6,70.60523437249127,37345.43868412853,Single,72.06288247594586,Male
12,97.36763708828823,124209.89389333678,Single,80.74123208170622,Male
10,93.35854526857473,68216.12760137799,Married,81.6691699135558,Female
13,69.18624823254477,129147.30698217882,Married,69.40663271841028,Male
12,43.14512267640154,130669.70678899686,Married,30.259208129278232,Male
9,24.418531883515257,184495.44149601518,Divorced,16.11372151334016,Female
5,69.44678708382305,57641.80386952285,Married,74.14612634659909,Male
9,23.675923780721593,182431.47097367552,Single,12.733750138228487,Male
10,82.50235429266631,63662.24043330658,Married,86.68502276627771,Female
6,96.87461769438121,42858.23561919639,Single,73.16217454585903,Female
6,81.03409668622169,53365.50450506886,Single,67.5658458308657,Female
10,105.58475316014102,59367.06834986954,Single,91.26836043934577,Female
10,63.6704000338495,67115.47415979597,Married,82.28443150163928,Male
9,96.86014735171251,121515.25794074983,Single,85.8660347802766,Male
9,105.48976806289414,143023.34367387317,Single,85.59950151937741,Male
10,93.7176654019976,65960.6149619604,Divorced,86.66342946816395,Female
8,78.68780643943738,146473.08648316495,Single,83.20911397381336,Female
13,29.97273197791257,115681.71095930667,Single,31.904192964185764,Female
9,20.566325528299302,160464.20875423824,Divorced,8.778639131220821,Male
