Gender,Household Income,Age,Brand Royalty,Marital Status,Subscription score
Female,161509.21392058086,32,7.113779626354493,Divorced,-16.879407014427763
Female,167738.08471803967,38,4.171424370246882,Divorced,-8.960246375118263
Female,38642.479416201226,70,42.021262727659256,Married,34.83638463016307
Male,108976.96003012019,62,58.02993895849735,Married,63.06158909825566
Male,52884.596234676326,73,35.27686139882449,Married,36.3557500961623
Female,41955.39433255681,74,41.38661711604065,Divorced,47.7246059452962
Female,134495.5308479268,38,82.84589652891816,Divorced,85.1883689263567
Male,48540.831777607076,77,41.88406155373618,Married,43.63969274360184
Male,59935.33930770372,71,47.58742882829497,Single,49.78823987011792
Male,125104.20335850722,41,84.40307419069748,Single,91.2506456313313
Male,121887.23981871108,36,83.96402910936239,Married,93.14429325482001
Male,150020.2969562962,39,3.851749965593193,Married,-14.09481943704554
Female,181750.5466941048,22,88.52238091114282,Married,80.35458426193365
Female,132122.8778657384,35,80.65804705474865,Single,83.3331725973004
Male,154387.03439081553,38,16.18362198316536,Single,17.2364046286812
Male,190544.93967752447,31,80.97948283171047,Married,71.61045587407133
Female,30000.0,69,46.557822381038044,Divorced,46.58449571598865
Female,115446.55726200112,38,85.68150555228007,Married,81.70115270400252
Female,105932.44708417679,58,45.21986009686224,Divorced,38.87166101471814
Female,166084.53538404068,34,18.581544538303064,Single,24.420548899726374
Female,120953.71335085308,37,26.936266871559724,Divorced,43.30555796071077
Female,98644.58991308812,62,49.62178762531191,Single,41.69295274296889
Female,137404.4130042521,36,87.83541439144173,Married,103.59758778608764
Female,127867.41065131355,36,20.78564841371323,Married,32.19430586419127
Male,152983.07864776262,41,9.003156735023019,Divorced,8.260105669485617
Male,122545.9363805366,41,20.06166332076009,Married,15.535919949407647
Female,132065.4774574933,33,27.026480777092868,Single,49.97851567316181
Male,182591.4648045993,22,85.38439523075633,Divorced,72.96466270902152
Female,49063.19424293379,63,46.60740650776731,Divorced,43.4162818162409
Male,48407.26616358502,71,43.438190693972466,Married,39.85743987726845
Male,122690.76174676306,37,21.85488923046595,Married,22.013857787284056
Male,120196.11545979307,36,25.929522381765928,Married,42.05304342290094
Male,128551.31818471097,41,22.0717393011772,Divorced,5.6198751702613094
Male,120692.93855601936,37,20.713875703580122,Single,10.066690324316223
Male,137016.8822844101,39,7.179980190659464,Married,15.938645342768767
Male,142818.56942566784,43,29.33451519574126,Single,27.089330154869923
Female,183256.86088334306,21,85.45055150403732,Married,55.33750655391914
Female,120519.97513452376,40,26.96739134175678,Married,27.56844230015117
Male,184900.69690981833,33,88.1915989367188,Married,95.76421293462175
Male,156820.99201003494,42,11.168997418225949,Divorced,25.307418750925926
Male,99771.81471132692,56,50.79228413343265,Married,40.18536349653212
Male,156944.6676507835,34,7.421245937724329,Single,7.636210970143983
Female,121772.42900015519,39,85.12148869378966,Married,76.05605209900085
Male,132929.57281719006,37,18.029912638857578,Single,39.730137724482944
Female,126209.82480234145,38,16.72945808863799,Divorced,16.520495097460007
Male,184285.3223012953,22,90.56463998053503,Married,92.68763775060941
Female,46789.49151154112,68,43.7932189865701,Single,47.734849191654476
Female,191760.36380197664,28,82.77702812633032,Married,80.67388837432654
Female,113863.29202186284,62,50.72535667440582,Single,55.88223418884789
Male,158731.88502127118,30,10.996140538533588,Married,0.8620111015480401
