Annual Income,Gender,Subscription score,Age,Marital Status,Brand Royalty
90988.4935030445,Female,82.58665144194785,34,Single,82.35943805439193
70089.04410300848,Male,22.761805571000817,33,Married,26.66810877353386
97188.31788361545,Female,71.01459288189425,70,Divorced,60.725324731379715
51025.55914349464,Male,24.73442369370092,56,Married,21.128251492148586
74168.57090995616,Female,13.71853756985768,32,Single,26.54456797140442
69666.917460477,Female,16.86953902299368,29,Divorced,36.79644813233375
84737.21151011437,Female,89.14967755082125,29,Married,85.4094140037692
27809.318454858774,Female,24.783502739915836,38,Divorced,28.363411523848207
79823.16708725973,Female,91.0004265920844,28,Single,85.07479619608355
65208.71053415792,Female,32.934773167869444,31,Single,27.02374759550527
88299.54430110219,Female,84.79008673428397,27,Married,89.61869014495984
83266.01910150576,Male,78.35400885902527,25,Single,89.86897600788481
29786.08183494337,Male,19.991028670751728,33,Divorced,25.08411353793251
84696.26043609015,Male,93.10747044719132,35,Divorced,96.8615063957512
25039.13543908165,Male,25.22152095123886,39,Divorced,24.931515100310847
20416.59229547508,Male,27.684738389099046,42,Single,16.112640382611623
86828.00111848372,Female,77.44627856157962,59,Single,70.92675624742654
20961.013709666884,Female,7.212355399251884,42,Divorced,19.32569625556249
49846.26485652143,Female,29.570341165693726,53,Divorced,24.505074296610182
84599.33764198412,Male,98.92626184868878,29,Divorced,81.20819000641114
51919.39161261658,Female,15.806101238811786,58,Divorced,27.957338556236927
54366.094337338734,Female,22.71929961280918,50,Married,28.616698640715654
85660.04075233731,Female,81.04490412314544,67,Divorced,63.3872952159557
79403.94871451671,Male,6.7644104158462826,56,Single,8.68653315180265
83532.31708539232,Female,95.85913971703826,29,Single,86.23138050473548
23517.92756744306,Male,32.15111622083382,37,Divorced,23.923739968109793
78544.92848657572,Female,28.101164566933047,29,Single,27.911843303545062
78238.08134157174,Female,38.4225296226939,33,Married,30.578637262252442
75742.24671288146,Male,6.489628658916363,53,Single,15.342675018236207
89041.12944608985,Male,101.53676503162554,40,Single,92.7041775136226
52110.24855376383,Male,32.89217961350078,53,Divorced,29.41764396825443
90284.58398547646,Female,69.92743207424536,33,Married,83.96304467011961
67861.10832703786,Female,13.14347250192187,48,Divorced,19.391632375043933
27905.306461266235,Female,-6.063876709774442,43,Married,8.980482709627971
74698.89684892181,Male,17.09150550321233,49,Married,20.21562488477428
74835.13101460907,Male,29.326897300096707,50,Divorced,22.97239307679532
74614.27053095758,Female,6.41742120170832,53,Divorced,8.166593734977965
52088.47540491133,Female,24.89443039571401,54,Married,32.06627494569119
42278.77848809278,Female,18.472820495171145,49,Single,21.847134365893858
35402.011829177325,Male,18.050000745080812,30,Divorced,17.31584755512359
48463.56610459272,Male,35.11947025822462,56,Divorced,25.331956983638214
90000.16983804494,Male,50.19220433407436,60,Married,64.6278814734891
87108.53359736604,Female,80.85320736662699,63,Married,75.00277346179814
24632.208371476183,Male,24.306863312779125,34,Divorced,31.35756234446461
70204.87672997426,Male,53.25326326426135,34,Single,41.2776199395457
68696.2252183035,Female,38.74976618794751,35,Married,34.874343436300926
50855.79511503439,Male,27.736919776499814,48,Single,28.45149230381797
72998.86477656921,Female,-8.117257945040002,42,Divorced,11.998497480460195
22701.717918208524,Female,20.64168103185665,38,Single,18.353617760813556
73034.81479800103,Male,45.87306665708746,25,Single,41.52895377797941
55095.802952097205,Female,29.29067629791021,42,Married,24.0367388633236
52172.29056326215,Female,12.649547685621382,51,Married,25.169465999181604
56235.19421448359,Female,51.465789598262404,49,Married,35.523320857459055
82528.4092131834,Female,66.86402762733503,71,Divorced,67.2766410215105
81520.86693981003,Male,62.248051642481755,75,Single,74.77406835689145
49031.398726286876,Female,24.562645855485762,52,Married,22.20469539860317
26347.937072553883,Female,13.300402823352686,37,Single,13.564976069401602
84334.10597339916,Male,78.15510342495111,23,Married,86.77555729298555
71022.82805896539,Female,50.0565790474765,27,Divorced,37.50556568407863
52476.99346784316,Male,43.721253961488365,52,Single,29.101747504558247
79490.5555840058,Female,10.921013728516243,60,Married,15.03685651929515
56727.211829843145,Female,17.33958417763815,44,Single,33.41009157618459
91063.62657518011,Female,58.17949728448105,66,Divorced,62.022724198872446
23021.528306401407,Male,16.415494380595696,31,Single,23.051315044432684
74400.42695441248,Male,25.0996099586568,29,Married,29.063804359738626
21486.221180026012,Female,10.118496037351498,37,Single,15.057161257796949
72157.05758364838,Male,16.064160442362983,55,Divorced,22.423152912547074
88046.04861204565,Male,73.64011833930971,71,Married,65.52106576181104
42703.1234097369,Female,26.909167158854927,47,Divorced,25.34021725131698
72958.96702814326,Female,65.28768868224367,30,Divorced,39.834611955888505
80647.35829035824,Male,65.93443478655293,76,Single,62.65040669292466
72749.32291269318,Female,5.676769329988651,61,Married,4.458450605744389
88479.66706383276,Female,83.38416018503028,76,Divorced,72.10803103241068
87565.48167098004,Female,81.3920647990526,65,Divorced,70.00860077736377
