Gender,Brand Royalty,Children age,Subscription score,Annual Income,Marital Status
Female,18.181389043454068,12,20.889880068018336,72463.9438053745,Married
Male,12.82856683640108,12,15.938255102862922,73013.51610828564,Single
Female,57.61348103082937,6,55.83417575876355,20296.37011507046,Married
Female,68.20243107885926,6,63.754318306452895,82124.36400602112,Divorced
Male,21.114797372697964,13,21.014143391869013,71944.67729497353,Married
Female,62.570083224739946,6,74.59983379814287,29980.8140541567,Married
Female,55.26024892085853,6,60.88073974116367,28363.846014288603,Married
Female,89.11337627648206,12,85.74934657519678,79330.62227362381,Married
Female,63.76210390679499,6,45.14853165224774,30227.775997816912,Divorced
Male,52.60880202972816,13,45.48562712645641,56208.30058447611,Single
Male,77.09080094896643,8,85.61505614383509,93432.56641685778,Single
Male,64.55331561006416,8,72.91735677504597,88194.06206064502,Divorced
Female,64.67384737654916,6,69.04330348654415,26547.7754256753,Divorced
Male,55.247473937376405,13,61.362080789287525,58897.66980850513,Divorced
Female,59.12625325270578,13,61.06179832932274,52449.50082889764,Single
Male,39.72438814969547,12,36.74986029781291,86627.18787436724,Single
Male,54.11851635811874,7,45.244078314686256,88437.72965926447,Married
Male,50.445318342443606,12,50.850900693154166,92658.79895256597,Divorced
Male,22.70835093514799,13,21.960550729225286,69356.73678732305,Single
Female,78.68063467885526,11,72.74796410352522,76681.50186006876,Divorced
Male,64.32881354865229,9,53.464672293930434,85631.36391124314,Divorced
Female,90.33017532389714,12,87.22545783267775,84958.90489259554,Divorced
Female,52.24855832070577,14,65.10922766104873,50125.60730582229,Married
Female,60.40221191260524,6,54.516791102607066,93060.89977007487,Single
Male,60.599975273596485,13,58.885537937517,52566.17910216191,Divorced
Female,60.70447471662084,7,58.37260007277374,88337.92069046391,Single
Male,56.942556220154415,5,52.982618012847624,29099.53952988371,Married
Male,22.721020909879126,12,34.61549919588815,67259.01838101516,Single
Male,16.494421409262998,11,15.345236372633064,63459.16671265261,Divorced
Female,30.99988582487007,13,36.806848248196346,89335.38681737336,Divorced
Male,53.30219217117293,6,63.531719338805786,28840.136606837717,Divorced
Male,62.35182589423292,6,59.81183727725703,26315.619390146083,Divorced
Female,61.80020174676182,6,71.28621806194812,27657.887117375034,Married
Male,19.097322986750513,13,21.725820027776045,75430.80949708406,Married
Female,50.021122950634044,8,51.74038070161518,91052.42395432857,Single
Female,79.41007533822248,11,81.0028696540656,79282.02332940364,Married
Female,13.22820826222786,13,8.289669482203287,66065.73581592954,Married
Female,9.60697676194215,11,10.106244398002849,62780.88771061437,Married
Male,44.87861012786619,11,38.09719957294116,85239.21630641574,Divorced
Female,39.86487561282844,12,46.22432693713392,93628.017238733,Married
Female,55.17945948436751,14,37.13302295128171,57737.02749459527,Single
Female,41.25287423137741,11,42.68033554994425,90543.97679063477,Single
Female,9.910282178716251,12,26.63465493452473,69740.38663276909,Married
Female,61.509941466424536,13,72.73048283913293,60514.20919629026,Married
Male,13.296080872123802,12,0.8821981189202894,78228.8498871791,Married
Female,55.85127751935358,13,57.623550391728536,57661.046474029645,Divorced
Female,89.23263205156212,11,90.82934904307471,76854.5896371888,Divorced
Female,60.19762176649367,14,59.21487734481172,44843.25564886452,Divorced
Male,79.77310798064732,12,80.28162956635143,83611.63853606656,Married
Male,64.34451126202981,5,60.52060174539509,26687.551970992543,Divorced
Male,15.108878448965214,13,12.763753162881649,68221.47238144945,Divorced
Male,19.290046945513602,12,13.982706963602421,63332.26274062834,Married
Male,25.551650032818486,12,10.908108681562679,64618.758030350116,Single
Male,19.72208110466555,13,10.733686102621196,67021.31127613873,Single
Male,59.02300598179159,13,50.14015897636787,49753.221138174435,Single
Female,34.66366566412616,11,35.1666118955248,92434.36625864773,Single
Male,61.031439899683264,6,48.58868299751184,15000.0,Divorced
Female,41.7081537868959,13,44.82240884872424,47739.07058609418,Married
Female,45.01475918778203,12,53.01928407945607,89416.33712939743,Married
Female,54.15370045678299,12,49.802485781789514,51264.922815425954,Single
Female,59.44577847583001,12,58.45610105067003,53526.01003442801,Divorced
Female,40.40125835303279,14,48.942632527485806,59316.33504132235,Single
Female,71.87640985625004,8,69.01582457535376,91561.57622910384,Divorced
Male,41.93004213785344,11,28.16216362412034,95026.12991180079,Single
Male,61.66500403598585,6,62.23372977589232,29736.002731031513,Single
Male,61.02551085978245,7,53.61018746213869,27487.380281187903,Single
Male,25.20357469598789,12,25.351528005599363,74336.23706457978,Divorced
Female,54.45452782766912,7,53.12104752833583,92014.90933696853,Married
Male,79.61631052470578,12,86.49541620719697,80410.36827400474,Divorced
Female,64.71498273150573,8,64.95874293898153,88052.51978644736,Single
Male,60.694979243308445,5,56.635580214064056,22329.157859990708,Married
Male,61.79108932704155,6,60.00164610023525,22798.471278727047,Divorced
Male,84.26505517606526,12,77.59762937082273,82328.9566888716,Single
Female,82.2047349606805,11,78.27596277163023,77656.61700599923,Divorced
Male,5.455559069326327,12,3.6859023698195994,70696.8010482319,Single
Male,13.783960224029641,12,6.218529158725455,70206.89005142689,Single
Male,63.828335866918415,8,51.18014366432833,93420.01787796782,Single
Male,38.00263175065684,12,32.532117915255284,88886.30387999935,Divorced
Male,62.03013306840709,7,68.01721931837804,28262.078171278332,Married
Male,64.61704719335378,7,50.539001261863554,30913.944914629003,Married
Female,34.20781118351637,12,31.880092523193674,95856.4365144363,Married
Male,16.419084124233052,12,6.98552802528436,72802.78205380324,Divorced
Female,78.74625918812512,11,72.27783627322614,90978.62170849182,Married
Female,55.29658182196081,5,55.037334934980734,36416.47717640937,Single
Male,55.804843945392584,12,39.7359265995169,48935.27691654319,Married
Female,49.40541259179425,14,50.629053536404385,54397.98483688663,Single
Female,61.85802632853452,5,57.11889570471067,20119.3434952198,Single
Male,43.149536138304256,12,39.92743549423555,95101.5197992943,Married
Male,62.91733633857013,7,79.84738590792306,87304.15721531096,Single
Male,42.91310296953482,11,31.41651613588604,85236.0163386304,Married
Female,65.56582492517057,8,54.933361673787836,87279.02550767707,Divorced
Male,79.76805714933,11,79.6544887073888,84914.38961967471,Divorced
Male,16.9424534072813,12,22.240638639021828,64260.97391719454,Divorced
Female,87.36795562385413,11,92.23057535142152,79783.16267048761,Divorced
Female,54.538635866674014,13,65.83494449902004,55594.516806925734,Married
Female,51.66198928338431,13,48.688220958331385,55923.64403080895,Single
Male,47.95685739142203,11,41.56295160184876,90189.53507342085,Divorced
Male,78.05175356609692,11,74.44084044247677,85993.20563486539,Single
Male,58.312513748581246,6,52.186382075763774,21512.807774517685,Single
Female,53.09131301993978,14,40.46860121292273,54385.327347538354,Married
Male,83.52837329233557,12,81.5246670914467,80344.43717932737,Married
Male,85.67568872433036,12,85.31244250312525,78048.25128101959,Married
Female,53.203817358781286,7,48.89045344939103,83731.42887566624,Married
Female,75.68379259860916,13,78.93847815184081,86583.09408079053,Divorced
Female,54.516664169218956,6,43.94558348554515,20662.19071250198,Divorced
Male,41.024655953066,12,40.68939347444182,100000.0,Divorced
Male,43.85707401636192,12,42.87156620607902,87189.25747883192,Single
Male,54.98411452386825,14,44.470497521004546,48676.183435797844,Divorced
Female,19.039323031822335,12,14.095402156760109,74407.6377930644,Single
Female,57.286068730166065,7,64.47384194507778,91540.20467368443,Single
Male,67.75065152196171,7,55.256731163799095,88918.08275594724,Single
Female,69.40889228612143,12,69.01207720972104,88585.56440476877,Married
Female,67.23211506459931,8,61.83432841478909,84050.4414867002,Single
Female,44.894372841732576,13,52.28200753522936,60905.11549907146,Married
