Marital Status,Age,Time spending score,Money spending score,Gender,Annual Income
Married,41,43.12460430031009,56.81510264313381,Male,83101.33014992446
Divorced,60,10.849684513179,21.527633015689425,Male,92312.87750219597
Divorced,54,26.97910118190106,26.948248949395026,Male,71175.94090822674
Divorced,78,68.44892381873032,85.42520394779656,Female,18706.932661121587
Married,28,39.10606096783984,28.790183138744776,Male,72866.33530075588
Divorced,26,39.788634758138,31.60073309103415,Female,69001.13511699716
Single,74,90.35182511684798,90.55280305150768,Male,24172.740932587607
Single,42,59.31153497067578,48.625225754809705,Male,64635.81717059512
Single,28,43.93627962065154,45.609314603673866,Male,69118.24673071993
Single,41,79.22920580086839,83.0633192982064,Male,72680.88358691987
Divorced,43,87.31716438512761,80.69063601016,Female,64344.28142368116
Married,29,22.27279499319805,27.87036832368394,Female,75491.97578332915
Divorced,25,23.06440420305291,28.014860136872365,Female,75372.4590671907
Single,46,54.956032453418175,56.56786361551248,Male,67808.83272793755
Married,35,82.72591649788446,74.88756473712535,Female,58650.04568721183
Married,50,58.90896195423396,56.17120501488763,Female,79657.65622442416
Divorced,45,51.22992870423899,54.209597724349315,Female,78113.63011625767
Divorced,47,48.78651706182269,51.56847604167245,Male,72680.71261559709
Single,24,20.447020194303548,39.12048126405503,Male,68820.70771108798
Single,31,27.948899973333276,25.90455016074614,Female,72360.7306571982
Married,53,11.504029025484549,28.245926392224675,Male,88282.70693217576
Single,66,67.43637415431049,76.7821256825982,Male,34967.075612410634
Married,61,19.13713263627927,9.33501408053231,Male,83549.09614214537
Married,27,24.69920008684856,20.631492713391555,Male,75188.20981495826
Divorced,39,84.34848255769688,78.91401512187113,Male,66821.22818634845
Married,28,35.35898526421552,38.354581236870644,Male,70730.70236801905
Divorced,37,60.99676518967749,70.90359539079672,Female,76423.44529831216
Single,43,78.53052433288515,77.32008553250554,Female,73633.0654202622
Married,52,64.16931929821203,56.31058565214363,Female,81176.8645462195
Married,46,43.961085785063865,38.57838237814495,Male,74766.75232888124
Married,61,30.092931879118286,23.93133930088851,Male,77164.25121055353
Divorced,54,28.226012935471587,28.87089693661028,Female,80080.79050733979
Married,26,40.48342024109286,34.792237176776794,Female,83545.71141522849
Single,58,11.751259747806692,13.990697674583785,Female,84528.05923666529
Single,29,39.27645036098527,32.02765120046048,Male,71438.53009169154
Single,41,57.94095158322345,69.03705374318807,Female,65399.9458180027
Single,41,75.65141995207568,82.50733567963232,Male,64685.989017256
Single,31,30.986386799910445,26.281723696314398,Female,71288.02738893732
Divorced,47,34.58831881381671,49.24985323090124,Female,74595.77271726898
Married,38,62.06053375360877,79.25155615039854,Male,59070.00436208209
Single,35,24.345788063352238,28.21368205650009,Male,67949.21086021748
Married,30,26.733508055493047,19.76312933969426,Female,69180.45131196213
Divorced,29,37.54877460244047,32.03440604829699,Male,67722.49771282384
Married,61,16.80818812925823,22.626676674817908,Female,72244.74886267539
Divorced,44,76.7293135586446,72.57001776664217,Male,78153.12415866448
Single,57,34.62902273817953,19.882636528005637,Female,94728.99408724843
Married,75,100.37899609903822,85.40469279838238,Male,18419.904232521767
Married,46,52.98574217124553,52.41369522624011,Male,81456.81270568204
Divorced,67,72.22536201991237,80.01949771559222,Female,26220.135297088746
Divorced,68,56.58655716776555,71.24543026858797,Female,32361.35414284074
Single,61,31.773491883727246,30.746226856043016,Male,81316.60591981154
Single,56,18.10028489558153,24.167902029103843,Male,75577.03876881031
Single,50,69.3803971520525,60.147751194875966,Female,76280.35863896405
Single,71,74.44577932889858,83.39254547053335,Male,23924.477117093964
Divorced,39,98.79973949867596,84.26251822632887,Female,60880.632239762315
Divorced,72,94.24185781505935,85.01577013239189,Male,27020.955362271816
Married,70,68.36133887703704,81.38168977725404,Male,31177.95092227686
Single,78,78.32825894556304,83.19767482866143,Female,37594.16199601518
Married,27,45.04198858312052,35.52862471739475,Female,66559.09478279084
Married,66,79.36511016955254,82.55646786838754,Female,25014.776367033148
Single,75,79.38293181057125,88.17460134833117,Female,34008.61932212588
Single,28,24.276279790620116,16.73266889370745,Male,66287.5527173852
Single,42,71.16999164069223,65.55745118045432,Female,69094.63952642676
Divorced,56,18.213986656274635,20.997341354601456,Male,82622.71670386719
Single,40,56.31080649514997,66.15389214985674,Male,66448.08551979513
Single,43,54.26421198061477,53.017439944515,Male,72239.72856189063
Divorced,44,54.23133598320487,58.430123064092264,Male,72409.70545537442
Married,31,28.67679218089036,34.42957182147396,Male,76390.23622836139
Married,72,93.74071589556102,85.69452500640828,Female,34516.68616692922
Divorced,45,51.0667611631067,55.49592013328953,Female,74575.41185232598
Married,30,32.46319914839384,20.99876250382638,Male,76422.51541586414
Married,52,38.1542312079735,29.16495137062659,Female,63231.40847881865
Single,46,46.50599354575997,56.211977195899905,Female,78500.31322836265
Divorced,54,38.660238922962876,18.90677142057452,Female,89471.74129533267
Single,25,36.3330936401465,35.838937726726265,Male,74983.90583115519
Married,51,69.32627288018277,55.859644178035914,Female,66577.49028885968
Single,73,67.16762190128384,72.554330100917,Female,21881.860617550163
Single,41,94.23940849280935,82.65246773761137,Female,68562.72956751626
Divorced,45,61.42133943042668,63.04717552566146,Male,52780.37183846182
Married,41,45.3119515831491,56.37172904337185,Male,75493.93519989896
Married,43,51.651400486096,52.932770387807366,Male,71581.49896396676
Single,57,32.589357927990896,37.12196059532408,Female,88495.10609085477
Divorced,55,34.248671868335784,29.59869953056547,Male,80569.53801283645
Married,44,49.942248254568426,52.30205280708418,Male,65605.94424192466
Single,48,82.19106014882529,74.10058284966776,Female,58165.35112604812
Married,43,72.9884946776585,76.28950728354465,Female,81657.83000554373
Married,39,86.7881413584606,80.6140938164739,Male,69003.20443005448
Divorced,45,48.548989602518496,43.49459848712478,Female,79027.62158437479
Divorced,48,57.53677952947096,54.74117443099521,Male,75805.92699904373
Married,40,71.7406354635883,78.34213957702966,Male,64015.11029200455
Married,21,48.991837749598574,40.182993649128214,Male,69566.3337689525
Married,44,83.00155279058548,83.7821648000054,Female,66445.50926678757
Married,35,49.12000214331272,34.50819001403968,Female,66911.5037310144
Single,41,60.15000821655459,50.42372923806651,Male,65335.64647780074
Married,66,70.38675670041246,79.61767483535328,Female,33900.02410918992
Divorced,75,70.23962615069969,72.26653500841118,Female,37170.72258013205
Married,27,38.51228322950356,35.295065984127774,Female,68246.80631718188
Married,72,78.41814939549545,81.7973195594167,Female,43771.43510302207
Divorced,60,17.257714658917717,21.711769197578924,Female,84525.30723787383
Single,76,110.71653185952317,90.33273373267593,Female,21685.33331988671
Divorced,40,67.88105893700302,73.56853208456086,Female,60598.288492940876
Married,66,78.95752496729031,82.25829652021847,Male,30683.33727831395
Single,45,67.06938367736355,71.56296837564084,Female,78194.16136383588
Married,31,46.22673816472069,48.83949155717456,Female,73601.51900917133
Single,34,31.65590282363514,31.095038369639227,Male,68803.71874440004
Divorced,31,26.632854647951724,37.23617426981818,Male,73497.13253387177
Single,58,30.478424425623807,26.020837603534492,Male,79044.88273680728
Divorced,69,71.30818828410447,74.59004703924266,Female,30858.18857626962
Divorced,25,28.47776424924661,38.69050318201072,Male,68247.83928092495
Single,55,19.313527162009862,21.150348908571612,Male,71761.86715950853
Single,70,76.17263447918896,78.19285039999713,Male,24780.684098114165
Married,71,80.49915968603855,76.74525476984738,Male,28596.342407525197
Single,71,75.10288474295716,85.6330784996409,Female,22827.172387152204
Single,69,69.84176843293257,81.76489206774991,Female,28430.232868422157
Married,62,32.281568470985185,27.639582189197718,Female,76072.83247312864
Divorced,27,24.27775178788005,38.12587617079588,Male,63383.092366890894
Married,48,67.57379705667445,74.68365591878617,Female,58757.72778603533
Married,46,67.12839335308705,77.58716349791035,Female,64819.85735477917
Divorced,72,86.60453984068388,85.5587970842217,Male,26680.458343833925
Divorced,51,23.706133169953457,23.37543547218844,Male,83115.87712719632
Single,33,63.74610385085875,74.50054983288388,Female,62960.469049092775
Divorced,26,28.87437382903348,16.566875563007134,Female,67027.74878000465
Single,44,64.52547849449155,63.316228377921874,Female,78620.32714181092
Married,71,84.1054265784758,84.49521607434085,Female,24926.519207299178
Divorced,30,44.32187335461962,37.886586592272316,Male,67050.23710985768
Single,60,19.447941903044597,15.744410327526804,Female,84634.3775878282
Married,50,38.28333324078943,44.05379782227098,Female,86501.50334843202
Married,69,100.89172993947066,80.74451570230343,Male,22449.291134135492
Divorced,66,76.60041053570743,81.29115025040343,Male,28537.811225019504
Married,46,65.05926004947284,57.151990869096224,Male,79754.2782806546
Single,65,79.38329635303518,74.4446148492203,Male,26421.344585543644
Single,27,26.97893415815266,29.339289697003828,Male,73071.1653815955
Single,70,83.51499592135289,85.26905173742261,Male,34196.0631971571
Single,41,79.10205487876154,73.14187166557858,Female,66061.83976278504
Single,60,20.531678328671482,19.118661285493324,Male,76785.27734103239
Single,57,30.6927053628988,16.389844892874553,Female,92000.1720776687
Married,55,31.63933463961525,23.274338152667063,Female,85107.07606392997
Single,28,32.479219800272155,27.519690682354828,Female,60070.094477265724
Married,38,75.60324621729457,72.53158993761524,Male,57430.41922186589
Married,58,24.58992257594743,24.43547753016041,Male,88308.5739637725
Single,44,76.4215566241943,79.43320022881724,Female,65307.491695243996
Divorced,66,89.66484092579893,86.85603515720513,Male,24856.996902486186
Divorced,27,49.161904714022214,39.82863081544658,Male,69367.22421555805
