Gender,Children age,Happiness level,Marital Status,Annual Income,Satisfaction
Male,6,-9.081437446451837,Married,77668.94456406806,16.230323248256298
Male,7,-1.0986585424713997,Divorced,69542.78594598238,6.56770786773194
Male,13,43.740647989388464,Divorced,89786.00152398033,47.360311911393985
Female,12,74.00111597806006,Single,46768.37227638148,72.33336625077987
Female,6,2.491967032941755,Divorced,76388.02811446854,16.02325857999537
Female,10,80.08352703815959,Single,26984.694747533904,84.21563768682732
Male,6,-2.7888875238390725,Married,75887.03536720604,8.833140806625991
Female,11,61.82871477761469,Married,50896.19980274014,72.5112318221848
Female,12,50.05249864294721,Single,73981.38753009101,41.8387584752755
Male,5,18.416606058287698,Married,70432.61243729654,22.64687460343442
Male,6,22.001562404757113,Married,71418.52299467787,24.356242536229587
Female,11,55.18591849806514,Divorced,38422.25505647876,61.81023477460512
Male,9,98.66990914499986,Married,30872.934971093113,92.66898309364804
Male,9,100.61054758041053,Single,41316.75500470754,90.9316998155573
Female,11,81.20620052792545,Divorced,38882.86176884693,73.8801531148416
Male,6,33.66570887712885,Married,81872.99407812092,20.61058629228247
Female,14,49.371539212462466,Divorced,77268.26301069674,44.80753778092199
Male,5,38.10679000739342,Married,71834.23184751038,36.09269332882354
Female,5,30.83282116736856,Divorced,73966.96756044682,12.904205063904591
Female,6,22.23538681681088,Married,68105.71298153837,23.026505806556642
Female,10,88.61499908166525,Single,36857.34735815741,94.10121336763561
Female,6,7.125176614112362,Divorced,86027.22610988062,6.523781494764862
Female,14,27.485511032767754,Married,84966.63598426418,34.49723118270093
Female,5,8.706913030538457,Divorced,68770.57645074117,21.150245180675668
Male,9,75.83363686111961,Single,37193.57474055365,81.83363279732771
Male,6,17.24986022547857,Married,70251.59118389765,11.379974559493078
Male,13,47.456017632708964,Married,86098.00462157986,43.715125241593796
Female,13,51.56840850346577,Single,88977.2973138446,54.500654255955105
Male,5,21.873137803554314,Divorced,69219.02955239397,29.65732642355719
Male,9,81.51929616453914,Married,22970.654893601153,89.34653002356443
Female,9,81.64719153224053,Divorced,22122.519227598787,91.22021599004125
Male,13,51.30277434024478,Divorced,82330.4132562197,52.447548800330885
Female,6,12.495622848604114,Married,72540.912978976,11.324112340867572
Male,5,44.41840836471094,Divorced,81892.44937895579,33.201087834288394
Male,10,101.91982663603247,Divorced,36171.597998929705,90.1157304548552
Male,12,71.92264031372282,Single,45041.55389570163,70.4327657759656
Male,10,81.41619393703003,Married,33487.11543424729,85.09125834354896
Male,9,74.20347717622981,Single,25996.067402536355,87.78041623992009
Female,13,46.783759855244504,Married,83841.86178201258,49.42268226245379
Female,9,96.32264018649145,Single,42046.03392292878,91.04616849624
Male,10,81.71671528159048,Married,36295.822450899796,80.65901924891844
Male,5,26.605268629786792,Single,71846.4367003378,28.941369545367547
Female,10,99.593191586818,Single,37395.753645668585,96.74473149836922
Male,12,58.77083567933162,Married,39703.82355767688,60.39620892086114
Female,9,82.4185562488767,Divorced,24491.793228046707,79.87181635107532
Male,6,34.147709070036285,Divorced,62896.78863915466,22.841099418923598
Male,5,7.311279846872468,Single,81812.95668852696,10.832836222981115
Female,13,35.64497020709457,Divorced,80214.14887933286,43.878867237888485
Male,13,39.30446736588669,Divorced,89709.13443240845,38.92132491050451
Male,6,0.9254547605011982,Married,75672.18075714401,9.82475537457583
Male,6,-2.5325171117544656,Divorced,76685.85039192281,19.50496864007227
Female,5,22.526595896059224,Divorced,76081.53266674372,23.75320973343193
Female,6,38.31622693574024,Divorced,73556.38957413807,27.424180745712185
Male,14,32.64720775955823,Single,83776.03560390853,41.80714612846067
Female,7,9.146719312034651,Divorced,69049.65599729361,15.119748166389606
Male,13,46.5503560161303,Married,87251.54057231809,51.15898899885593
