Gender,Satisfaction,Annual Income,Marital Status,Age,Happiness level
Female,76.49218155450855,69381.00251713011,Married,25,80.9094717307855
Female,31.26701057098246,62938.0010255243,Divorced,63,30.92235017724517
Female,77.43856192907138,88202.35024690589,Married,72,90.80351317767403
Male,42.28518390318608,69985.52732313928,Divorced,69,57.35084717949073
Male,67.93441522632921,82577.45182702124,Single,74,65.67172058912648
Male,16.338799662165712,61323.69029218654,Married,69,17.699952312701438
Female,37.13877967891293,84319.24928953305,Married,67,48.14700487227815
Female,48.66518347294824,70990.55163405316,Married,69,47.648919825798764
Female,24.0392992414548,26954.55223365255,Married,35,28.515699850417473
Female,19.56114880799401,17452.688756416523,Single,27,20.856446644302604
Female,83.53228758439748,72165.20474250273,Divorced,30,82.47726577367693
Male,78.7147331221089,76819.64268948065,Divorced,24,64.04147176420221
Male,43.35836980546814,81029.15326075928,Married,75,41.8398911621191
Female,46.16970736924047,73581.83953004438,Single,71,41.200777182267416
Female,34.23541488636272,56848.14438595731,Married,73,26.98934497241637
Male,16.088235196935674,56651.405463322044,Divorced,64,23.01976494868356
Female,22.67241612756561,17761.944286606624,Divorced,32,28.241950279282758
Female,20.148723193039356,32788.535205223,Divorced,30,19.97452149008075
Male,61.54565054959595,86985.98943436678,Married,73,62.18663992393626
Male,19.21552218871049,33068.6751235804,Married,36,9.673410682032454
Male,18.506309383726215,20617.38252749035,Married,35,11.917606187252211
Male,65.40033442846658,85642.9673693938,Married,75,55.22576428344722
Female,11.998388951930615,25648.812556346802,Married,35,15.558870229257046
Female,81.49509506944528,75272.97377136158,Married,69,78.6553730573235
Female,15.832812185309,53061.83616891309,Married,69,22.637643751375247
Female,64.05844159993103,86245.73944821379,Married,74,67.12160037162478
Male,55.856147997921084,82942.1930699675,Divorced,76,66.36747878888026
Female,13.52993717619506,58331.69306303282,Divorced,68,7.180744071450975
Female,71.65066837495962,93386.52782159715,Single,71,62.377529189930144
Female,16.358775195457696,59825.60388335608,Divorced,66,20.463429592381132
Female,39.99687422445774,77951.05962937427,Married,65,46.41658727825396
Male,79.12685007173003,71884.34850116543,Single,27,75.89372900720498
Male,71.10690605937452,84250.46998907147,Married,71,58.9346862166948
Female,5.756628531157025,25017.52161324741,Divorced,34,12.706494038118016
Male,46.15105939695158,78462.31796596397,Married,71,58.65646641355459
Female,84.08347779945694,67063.02844559809,Married,31,95.84097807541823
Female,69.79793739323142,99104.2824753304,Divorced,78,80.49788531983813
Male,56.43116662128258,89667.76300630679,Single,74,52.12828146794493
Female,70.94161800367931,73317.2360398614,Single,32,63.00739357810515
Male,64.2789355206913,93982.50131432044,Single,70,65.31416943387687
Male,20.01513036095001,22597.34191870907,Married,32,13.404011272317774
Female,81.73014179856833,59644.09263401463,Married,28,87.79422822677344
Female,18.188132643330853,20045.60074193916,Divorced,29,26.045417076853358
Male,26.65935501757529,65459.91670190218,Divorced,75,28.017097359012133
Female,11.472303132063665,17020.922168845987,Single,33,12.692940350303557
Female,72.64244860143302,89660.81744870257,Single,72,65.88185597689579
Male,33.802350498863916,51629.239096094636,Married,73,35.05016453418133
Female,42.90074912491366,74897.32872745444,Married,76,67.57644553208259
Female,47.502095395086215,78969.59424418454,Divorced,70,52.08775803535641
Male,29.943190770560392,25675.130519856917,Divorced,30,15.904006974009885
