Marital Status,Monthly Income,Brand Royalty,Children age,Subscription score,Gender
Divorced,4454.791761869412,60.77034434945318,8,56.078914420845955,Female
Single,6137.0954036513795,63.24165108082859,8,65.09369709348277,Male
Divorced,7490.2370291108,14.711404660007325,5,18.325679531853126,Male
Single,7124.451770533122,22.395878693724708,6,33.31262257644927,Male
Married,6706.4980064124475,71.67530731965738,8,77.33661944293313,Male
Single,2783.934398620893,89.49200271506729,13,93.32915135303917,Female
Divorced,5611.145484455923,47.94290299418215,7,62.828202411105416,Male
Single,4662.829509153625,53.907638823548936,6,43.717091668350136,Female
Divorced,6693.911655983041,7.8174828865249,6,13.671933681518663,Male
Married,4072.1834413931056,41.89743672971464,13,43.660816442797945,Male
Divorced,2190.6626316030706,91.88129061611781,13,103.23323315407228,Male
Married,6019.511770199431,60.94797023012052,7,66.51953430202255,Male
Single,6477.140651123117,63.10551932137733,7,52.43562237631376,Female
Single,2578.197114969321,84.72743031525712,14,97.0238789855543,Female
Single,5591.472829351361,60.589785905130924,6,66.27786479639954,Female
Married,3544.3451277718996,41.73017347466237,14,47.93555360133446,Male
Single,4717.86234362495,58.44482645786165,6,67.84959178137309,Male
Divorced,3686.536915159625,55.247179214399566,10,56.818839106257784,Male
Married,4649.681279363111,49.31525598584016,7,52.56478964495084,Male
Married,7440.240643799531,4.846915740644242,6,-8.254150946517095,Male
Married,3215.60195815784,45.87819832737002,12,40.743078533274414,Male
Single,5650.647079652156,61.72037037181504,8,75.19055833454411,Male
Married,3297.2739065847445,52.17430684650488,10,50.66820733795589,Female
Divorced,5975.072798724958,63.148116354529755,8,68.22866132801923,Female
Single,1743.3220807472944,86.37006610226877,13,78.79753974729611,Female
Married,2288.3920135847375,88.60365920292527,13,88.98537354153676,Male
Single,7496.4279359931825,15.849904486223785,5,22.248499492350064,Female
Divorced,4898.059163279774,68.06045179204799,8,55.34259022421277,Male
Single,3357.423615197762,48.110553231365785,13,44.604368973669295,Male
Single,3446.508492601313,42.40329908509945,13,26.789134390343335,Male
Single,6531.5663129972545,61.9713385001942,7,50.93314319431458,Male
Married,6338.697918103864,8.795693782853064,6,4.848395797611339,Male
Married,2778.9461187146735,82.53742035373344,13,68.83036299767225,Female
Married,4060.823016528499,45.19896822347289,14,31.284280780069928,Female
Single,2503.4786057846795,52.21055697033439,9,57.405359928874994,Male
Divorced,5644.286461511552,57.13426297011881,7,51.25626745456788,Female
Married,4554.901352913461,41.65236871250339,13,37.33667347169135,Female
Single,2144.2397897636993,81.63292339621214,13,70.76235382520241,Male
Divorced,1811.7486305190378,84.47335674850848,13,81.21316360322808,Female
Divorced,1851.752775825511,83.44615847652788,12,71.10576346966243,Female
Single,4883.965685309492,52.34878139713556,6,64.71650179387593,Female
Married,5812.736542155488,68.01144710983148,7,66.95748426599637,Female
Single,2678.179796559,89.59362771611194,14,79.83875366777582,Male
Divorced,6564.722858118954,7.296297117874339,6,14.288304163063048,Female
Divorced,3039.925549497196,95.32952941868028,13,87.14513093886552,Male
Married,3897.2488128511563,49.235155278351876,13,47.34697176859036,Female
Divorced,3038.53539951449,90.39775696856282,13,95.24050961922042,Female
Single,3368.4039183837576,50.32832977246484,10,53.692340549029424,Male
Married,2830.0869654701064,89.99317165458501,13,89.9439692311586,Male
Single,5521.200621945112,56.034941743434075,6,59.66634658435014,Female
Single,1695.1417111524552,92.95699889059541,13,87.57137928769482,Female
Single,3189.344552064763,55.070010077737905,10,61.41884666522868,Male
Single,4830.809662235037,61.589015185463005,6,68.58595966993946,Male
Single,5859.427020843403,61.358753452007655,7,57.745812781019325,Male
Single,3566.219037396081,48.34786047409539,10,47.302690934440264,Male
Divorced,4406.7585445183995,52.4518131479859,5,63.45517389860349,Male
Divorced,4853.3990228192315,59.83662091940356,8,61.69580768143684,Male
Single,5549.563944741832,63.56827645581659,8,66.70572163775292,Male
Single,4373.753746191177,53.00103284620695,6,37.73369494552044,Male
Married,2405.26427578354,82.31046740653194,13,80.5845274342512,Male
Divorced,6114.168299221079,63.80942408155007,7,64.44109069836522,Male
Single,5971.008708938629,54.16960035437893,7,55.03593630682639,Male
Married,3310.8918145555767,44.887355962919266,13,48.85066935337042,Male
Divorced,6008.787647003436,63.96746729448431,6,46.705287999794535,Female
Divorced,5882.339475176715,71.90186347184677,7,83.5317112191833,Female
Single,3886.903755510846,52.0923823009778,10,54.309872699035054,Male
Single,2653.510725464869,52.52457142988355,11,54.50349148828292,Male
Divorced,3602.6278848504053,50.635053387640546,13,44.07717983022924,Female
Married,7073.505019664019,11.70031320994034,5,15.8196273263195,Female
Divorced,5153.347071525674,50.88623224108921,6,53.77563458057119,Male
Divorced,2924.1954110860243,46.937591579822254,10,52.720811581037516,Female
Divorced,2852.0721134250134,57.56328857722579,10,49.49730140601465,Female
Single,4069.409673935358,46.52775684405762,13,52.702508722578116,Male
Divorced,3643.7315422550532,57.93857869259174,11,63.955214164662415,Male
Single,5252.063413439855,54.94722766564167,6,61.465837124402526,Female
Divorced,1945.5923556123862,91.7647848042171,14,92.9435269181003,Male
Divorced,3806.907561443782,42.56517161197521,14,48.407123145487354,Male
Married,5982.2644661990635,63.869167145857766,8,71.9009021649256,Female
Married,7158.729532412261,9.851436455952225,6,13.28090183952465,Male
Married,7496.947539558925,11.373360949742505,5,16.991019044824938,Male
Divorced,6839.073097402374,12.47127422416699,6,19.928069890678053,Male
Divorced,3327.8218943718553,44.99828665171206,13,41.13907374602104,Male
Married,6210.757276586648,62.17794120557756,7,71.42267146927736,Female
Single,4326.840228197446,49.53156820325585,13,41.265713186391736,Female
Divorced,4597.060354731277,58.236933106289825,6,73.46225684185148,Female
Married,3531.6078992327493,50.15343407658716,13,58.15206988167884,Female
Married,3661.995890977124,45.64316627454678,13,38.147343538392704,Female
Divorced,2899.8842858275502,55.04391593007945,9,61.306488209305535,Male
Single,5785.088577887302,61.97428998824815,8,70.51553028399519,Female
Married,2971.2450656910073,87.53314815967384,13,95.42801343105857,Male
Single,2224.771918829245,86.67396269226029,13,78.48577611096263,Female
Single,3258.468900878866,61.4452590478927,10,74.05055281915318,Male
Divorced,2153.5066850788535,86.46254186937293,14,98.56676451912105,Female
Divorced,3376.1430839392997,48.20987521555793,13,56.14431340423834,Female
Single,4440.244472475159,53.80472651239274,6,41.149887341688355,Female
Divorced,2871.696239647786,52.414330949651955,10,53.91429459122956,Male
Single,5362.186451477403,70.41772666652389,7,71.31087002685412,Female
Married,7292.931671350429,20.16491285758393,5,23.889955351194725,Female
Married,5927.791906574495,61.593124633940576,7,82.5412069353809,Female
Single,4788.006971024494,65.04611335228937,7,68.706117274803,Male
Divorced,3201.678763411762,53.076989109724884,10,55.021975161516146,Male
Single,5533.964314055531,61.516629385697414,8,65.36095575708755,Female
Divorced,4400.125483881799,40.59825445062975,13,49.71655027275855,Female
Divorced,2218.149124717009,86.47361857129712,13,85.78715779816875,Male
Divorced,6437.196210207796,14.92803002950977,6,7.840783291655806,Female
Married,4129.30910435674,51.7796176574287,6,55.36168566923596,Female
Single,2526.608202017651,97.4815179363065,12,87.80249752069405,Female
Married,4232.794606874553,43.08445764726617,13,54.36502289770189,Female
Single,2741.434747157976,94.95138798915576,13,96.1620553734089,Female
Single,4044.1501313606873,38.570760584661535,13,23.90346969834885,Male
Single,2887.0860256444707,50.648889539976814,10,57.03697104066468,Male
Divorced,5233.283079194379,50.584632642405936,6,46.22055954148243,Female
Single,4188.806150423514,43.9192293610567,13,37.847058449653666,Female
Married,3846.1540704580007,48.061083965228,14,47.51962070642934,Female
Single,5342.626804090715,66.36711881389853,7,55.535549111463524,Female
Married,6143.494284844095,68.99912347291644,7,59.81990372521886,Female
Divorced,3719.870493128428,41.36081167983026,13,37.84962370453104,Male
Married,8046.301434759809,11.3310233455326,6,6.295546794299576,Male
Divorced,5654.626815854856,54.70281782614057,6,50.76659677067161,Female
Single,4702.995539616315,48.80061554095132,6,58.95859274594819,Male
Married,6513.784684112714,70.15177586813326,8,70.3931315970192,Male
Single,2806.279778334299,54.28261365757808,10,38.414793952441876,Male
Divorced,3993.157699028735,52.19818791081076,6,46.46880199347506,Female
Single,3283.7646813041297,49.304216307607774,15,45.75538313721893,Male
Divorced,2866.9158031109173,93.52294799244513,13,99.80964272165039,Male
Single,5684.355243306057,64.58025338166982,8,53.51351692318005,Male
Married,4643.821835027838,50.158080264092625,6,56.879088774114415,Female
Divorced,5713.19730168356,61.93717816102861,9,63.489848449763016,Female
Married,5745.157739463491,67.92256939640731,8,64.9133176559836,Female
Married,5363.281275827843,64.25584057577842,8,62.23771773630822,Male
Divorced,2896.439734132565,49.35331681314314,10,54.85852986610134,Female
Divorced,2791.0499101436562,49.63620011430977,13,62.674952621949345,Female
Divorced,3266.8135515072154,48.36368976497853,9,53.861220475029114,Female
Married,6683.129998847294,14.867847763408555,5,14.751500378802593,Male
Married,2445.278542349043,89.00959938536894,13,96.76085915793873,Male
Divorced,2442.7722802571434,56.603365398726226,10,56.114997146119066,Female
Divorced,6014.558983360239,59.80750632439083,8,60.61069370826918,Female
Single,3910.064345959117,45.48435223297998,13,52.31619097084287,Male
Married,5511.000406712288,63.62979408746561,8,42.77492948958766,Female
Single,6596.29505395469,15.30790886965925,5,12.789081262552079,Female
Single,4274.95777299566,55.59778817586676,6,65.37981771795873,Female
Single,3742.1830700786495,59.00480322976531,10,63.10272077711126,Male
Married,7397.744227823092,11.707827136758198,5,18.638320985013547,Female
Married,3295.2721864983087,56.20972568516785,9,65.00062522847284,Male
Single,3444.4769237029104,63.880303333226486,10,39.91513483451703,Male
Divorced,5646.2061509769555,71.62848132154973,7,64.21232456812521,Female
Divorced,5374.2394638543155,59.08326500979988,8,62.46895625978148,Male
Divorced,4982.7263990395,65.20761587060962,8,65.84192091615061,Female
Single,4957.097700791722,52.561215716080454,7,54.00954058430514,Male
Single,3266.801189321246,54.272495088789,10,52.001061945946155,Female
Divorced,3773.5049753077096,94.8370216920797,13,106.24930011337035,Male
Married,6967.358121784867,13.247722137529678,5,21.976254052664174,Male
Divorced,2957.603899802588,57.47674737088866,10,57.916729717622594,Male
Single,2702.8251278583843,84.42021509237236,13,87.13203570433451,Female
Divorced,5091.879858398308,63.24893740664859,7,58.010426076990704,Female
Single,1899.5722369129153,96.51516167986333,13,99.11500557620671,Female
Divorced,4254.99043571354,46.329883916786784,13,49.03116891572521,Male
Divorced,2248.3465407511803,89.5170748659595,13,89.79885713955713,Male
Married,3186.4559727907217,90.45289580802316,13,84.53532490468064,Male
Divorced,3367.96277880421,48.599523130946416,13,42.41643359572299,Female
Single,3733.7044996589834,43.332698619491005,13,51.87120282137901,Male
Divorced,6218.633220622504,57.26715776785893,7,55.791303828416105,Male
Divorced,3965.529932256703,39.17764595161479,13,47.60980428817497,Male
Married,4104.648172973875,39.522380081694905,14,38.18709722033625,Male
Divorced,7655.580664831372,15.998336756349573,5,11.208666656886951,Female
Single,4647.9573381935625,52.92095263738631,6,50.52778182277248,Female
Married,4695.594632773991,52.92426935462765,6,54.34575833068184,Male
Divorced,3312.9065507114005,50.27908580625808,10,43.07735369766333,Male
Single,4536.927766498584,40.62739085141449,12,46.184048005059395,Male
Married,6239.162035256475,64.52668796600815,7,67.52337370471965,Female
Married,2472.185517893975,51.41151194047828,10,44.57703605019578,Male
Divorced,2545.354575361058,81.86163163783047,13,68.41941899988471,Female
Divorced,3706.0317964074784,44.7693744661062,14,43.501891304898365,Female
Married,5368.9467913583285,51.501571265185525,6,48.463862608495724,Female
Divorced,2912.7356218973828,89.9663567474646,14,89.96784767109813,Male
Married,7123.3565915341205,15.426436514095847,6,18.632787550239055,Female
Single,4988.095085338829,41.24009285311874,13,44.9498290940093,Male
Single,5826.681664361773,61.00266822937459,7,56.17716566742633,Female
Married,2779.2192488237497,53.037264542988765,10,53.423299825011014,Male
Single,2147.060610157995,89.08987138019559,13,100.03179840178463,Female
Divorced,6707.94386817332,10.294530212962606,6,12.03038948966631,Male
Divorced,3743.35527318456,47.82925433770758,13,43.35350429624869,Female
Divorced,1250.0,98.60242818315942,13,95.02719550297239,Male
Single,7213.748933376052,18.850221077348642,5,22.61928724107981,Male
Single,5042.0358575448445,55.92919736521439,6,56.03989348281038,Male
Single,5266.841227860059,63.30530979143812,7,54.18693338203281,Female
Divorced,3195.296160419302,87.19427636138863,14,99.80441667600684,Female
Divorced,4581.751425405151,63.75953499286403,6,48.45589761312908,Female
Married,5514.79618311013,63.207941307512804,7,76.9468446478447,Female
Single,3639.0547753714436,38.867484391868736,13,42.7690031753813,Female
Single,1898.197305600258,51.955468324423684,10,51.552388835019094,Female
Married,5421.270134534149,60.01964615451829,7,65.37860998205907,Male
Divorced,5987.826386386882,64.54194729786751,8,59.07236394622329,Female
Single,2846.2626311818835,92.67592776004548,13,93.72076312513641,Male
Married,3848.400529012287,54.18236964914827,6,60.60788497324258,Female
Divorced,6780.107012512837,12.602299523331354,5,20.154277690314455,Male
Single,2601.517282396376,90.1965544697826,13,103.37976245109573,Female
Married,4044.0336501966244,47.75862322149695,14,70.62480606441116,Female
Single,4029.9962050239965,45.08878035275352,14,49.89626491883144,Male
Divorced,3701.4284928945613,34.03837923259883,13,33.89965027320405,Male
Married,4479.081166750506,48.38708824051237,6,45.28719885554106,Female
Single,3355.1329641464404,82.161762404574,13,96.04045031133616,Male
Single,3501.0282026742543,50.49668910073176,10,60.524102956710735,Female
Married,3772.918246791483,57.17790040534609,10,74.99730654643507,Male
Single,2487.2029930816952,87.42659171713733,13,82.41041311235671,Female
Single,5782.717230699293,68.58538111684265,8,63.126301330508824,Female
Single,2583.7709067545356,52.56865406502861,10,54.17115290168964,Male
Single,7263.256460314695,6.011428899866658,6,13.814496130404676,Male
Single,5329.343977717957,64.11211832929959,8,69.15090416353216,Female
Divorced,7311.956269354852,16.3459823615923,5,22.736496731052775,Female
Married,2816.1158844925244,53.70464918693677,10,50.32618070185377,Male
Divorced,5718.768840581606,69.46575460317517,7,60.464340556020154,Male
Divorced,4570.803654415187,55.21791139404042,6,56.11715080411625,Male
Married,7739.945512578754,13.039047248309842,6,19.11434906792166,Female
Single,4340.548691206583,39.79475897940287,14,51.47708661105022,Male
Married,5146.46004361945,53.115552154226414,6,56.97769378641122,Female
Single,5756.770356106544,71.18097849539912,8,48.793357442034534,Male
Married,6758.579711294525,6.86462076544376,6,7.474867944141593,Female
Single,2891.0870999006165,49.194178057161125,14,56.4362251603806,Male
Divorced,5754.530401881739,64.30864166974513,7,66.71397739550159,Female
Divorced,4987.499584887386,51.62861634137473,6,41.80282962103258,Male
Single,3622.654493431287,59.040332436997225,10,58.51091339805092,Male
Divorced,4021.4920284829363,50.436033494851344,10,45.6206122471785,Male
Single,8104.10675720036,8.577703580245625,5,-0.3206742354749963,Female
Married,3188.692150802109,50.65291795303143,10,47.169949539974716,Male
Married,2489.687664331849,90.83282096177736,13,86.96515719904345,Male
Married,5726.868029444016,65.3480162977253,7,59.73392880288974,Female
Single,5357.779857352133,53.00927332808338,6,54.28408756280291,Female
Divorced,2539.427547854938,63.750525513442994,9,68.04340437294374,Male
Married,6655.048963970024,12.116007517619394,5,3.8757542370936466,Female
Single,4213.328039900427,40.62669335465272,13,42.61962615226063,Female
Divorced,5125.005672126248,55.07800535494948,6,50.9409344946007,Male
Single,6721.097953074197,16.295570222013133,5,13.543929357785798,Male
Single,5019.879868846526,50.60815972160633,6,35.98686171053507,Female
Single,7505.196754908715,9.596072385189593,5,7.853666472143154,Female
Divorced,5178.3450598827,66.86902548289169,7,62.034944037527836,Male
Divorced,4680.198623828874,54.068292616162935,6,48.00872229048674,Male
Divorced,4828.957535192656,57.28623227237326,6,64.66377975603876,Male
Divorced,4436.698537885537,44.72026504179361,13,43.62206852692918,Male
Divorced,2702.374217826199,55.567189039138476,10,52.124030659554045,Female
Single,4553.106102186723,62.80491280124675,6,74.8885795583002,Male
Married,3489.3235434679787,33.91142479217281,13,41.640423984495754,Male
Married,5997.92283356252,59.543716739070895,8,49.52568328019885,Male
Married,3823.718829560531,44.88443972775984,13,49.32705220062355,Male
Divorced,3051.1506234989083,48.3916784235375,10,45.89124591878956,Female
Single,3676.815771182132,59.54700867324905,10,60.79573457775777,Female
Single,2907.276407388178,91.65572382686258,13,92.5903601561526,Male
Single,3024.8469269224147,89.98616299129759,12,93.10854169823949,Male
Married,3273.591647302839,47.45401660926355,10,47.00957354378977,Female
Divorced,7440.786348047294,8.62188461567576,6,16.534671051393772,Male
Married,7360.014437424011,8.706371010982295,6,9.88707914474855,Male
Divorced,3138.881698442507,51.0362473244668,10,57.9303578616924,Male
Divorced,5505.157395322163,52.309007890409276,6,60.69715550632209,Male
Single,2776.370158719652,91.8006559910043,13,102.80354705669158,Female
Married,2901.3941524688225,54.350292450568084,10,46.87451087501746,Female
Married,2971.719138281152,91.10800432091577,13,91.55909406110385,Male
Divorced,1526.6767288082938,86.69390820835333,13,79.96876775992716,Female
Divorced,4781.694776208316,51.445406572389174,13,60.126598733140696,Female
Married,3516.9311056874535,51.97685678186002,11,40.999193137978374,Male
Divorced,4863.371142780856,53.60570137167356,6,45.08101075440701,Male
Single,4564.054266277646,46.435710019953554,13,41.72110294060764,Female
Divorced,3462.194659408935,36.57726201743686,13,34.06216234848549,Female
Married,2638.025849012125,95.82266550181194,13,110.11403198897307,Male
Single,3466.6178116255555,48.28749744115228,13,42.39622541466567,Female
Divorced,2693.4206768869253,56.81719027478968,10,68.78493555964249,Male
Single,4311.65142080631,59.38251806833882,6,73.89647854048478,Female
Married,5560.284611424612,52.652073950673575,6,51.90977565128849,Female
Divorced,5311.599515823359,59.83190746276632,7,53.02872399478126,Female
Divorced,4623.949935983457,54.998319605801335,7,44.42763668783482,Female
Married,6861.183792142789,9.695248450628128,6,11.612994636854443,Female
Divorced,7425.197211688174,10.424477388269374,6,-5.1917502330713905,Male
Married,4183.2145817028395,45.396319251888016,14,42.52226739868432,Male
Divorced,7409.621413697781,17.86073759230902,5,31.483632883794996,Male
Married,2674.161959771084,89.78756251374463,14,96.17036771072999,Female
Divorced,2732.0965792370343,55.722486990218435,10,59.52857724324979,Female
Single,3027.9982108432737,47.010383287348645,10,45.47163136116748,Male
Married,5993.088181896689,58.370983066876875,8,66.49468370103845,Female
Divorced,2631.2038010395036,56.48712654079084,10,54.55716883936337,Male
Divorced,7264.754172514802,6.654904778010611,5,12.514848868291114,Female
Divorced,6565.986120310027,11.572338699517147,5,21.131747482068977,Female
Divorced,7041.011408280577,11.987944065133163,5,14.079684369245964,Male
Married,4271.949500778032,46.126424665890205,13,34.06908613955953,Female
Single,5375.388869976892,68.6474913828454,7,66.56811692752417,Male
Married,4380.7961526085655,52.99827644403034,13,45.97891692792822,Male
Married,3457.153174551254,56.30760181262364,11,64.89324275408255,Female
Married,3976.9002491227066,41.825560228084036,13,27.055955330823853,Male
Married,3403.2385515246706,92.44027071444341,13,85.96349706347138,Female
Single,3311.4868195871695,53.32694532913175,10,58.366833365073624,Male
Married,5711.970786095395,50.231510135284715,6,64.44306649204192,Female
Single,4274.17483857066,44.48464942413224,13,46.62723494411122,Male
Single,5375.959765789556,66.58631587668307,7,68.34405217334388,Male
Single,2443.7716621445916,55.96402589356086,10,34.540953276196895,Female
Single,4834.188591646068,57.5394720802852,5,50.56600341861985,Female
Married,4380.001626465926,52.257612859882286,6,53.723897826234726,Female
Married,2138.733269695792,87.22098097285195,14,73.50889268639003,Male
Divorced,4420.945108615217,56.53107162527822,6,58.41344281811855,Male
Married,3170.116244170519,47.27760795104062,9,50.548005438924065,Male
Married,5684.270838521967,60.43496361203298,7,61.247649322888265,Female
Divorced,5954.638619271877,58.916334238289,8,67.4852579579286,Female
Married,2971.7988591619787,86.08925715876147,14,71.76886998133315,Male
Divorced,2472.351131707401,89.09315742243288,13,94.83469561874152,Female
Single,5966.316302754132,69.51602652855544,8,84.36224009342838,Female
Married,6607.1757673067705,12.23646555737286,6,2.0701145043780382,Female
Divorced,6896.619242517545,9.44606101938993,6,15.51602002335009,Female
Married,6056.429882105965,66.31565691830919,8,76.94606267042369,Male
Married,5173.8599363579815,55.57954380727632,6,47.335572119759405,Female
Single,4667.9602767057895,56.96738071931789,6,61.017033708079005,Female
