Gender,Money spending score,Time spending score,Monthly Income,Children age,Marital Status
Female,98.74866478841973,100.41756918825382,2246.255138776629,11,Divorced
Male,67.79105067572684,66.81011481729462,5804.246873508304,13,Married
Female,74.73430039316568,67.78586409698501,6245.552205434563,11,Divorced
Male,15.75559999457423,18.187798642652908,7130.199480996176,5,Married
Female,87.69090578291691,79.79999490384343,2142.7758629894365,12,Single
Male,15.218455364708426,6.891959743653221,7258.1684084780445,6,Single
Female,75.97538291031938,60.52530809949461,6295.836112977919,11,Divorced
Female,73.04502430182113,70.18667265645662,6187.420738188725,11,Divorced
Male,92.38836778492279,99.28653601366477,2120.5906036645297,12,Married
Female,75.96144466052893,68.85590198906841,6366.22833127172,10,Divorced
Female,1.011941436807973,7.8410648628710735,7139.5647635738915,6,Divorced
Male,91.90811830146201,64.3400035219813,2176.8608128461433,11,Married
Male,87.74648644579142,76.10408295270527,2776.8565758496607,11,Married
Female,67.7220583191815,63.47533637618745,5604.497237745344,13,Single
Male,16.78738860412273,13.503318736076741,7654.5178795469055,6,Divorced
Female,76.53835894047712,87.6574054083501,5983.941084301925,12,Married
Female,89.11585097002,83.38966689420008,2202.725055934342,12,Married
Male,87.74256454152706,101.52321026980317,2449.097486153207,10,Married
Male,7.316012350766165,13.015888906160942,6848.479352302578,5,Single
Female,65.77569482968553,74.68678613000066,5843.778289277519,14,Married
Male,85.55270662497553,89.79459261555799,2528.882540649509,11,Divorced
Female,86.77314482255818,83.55061344599297,1936.3667628681883,11,Divorced
Female,89.63809850763086,83.95787105125198,2821.8841971360625,12,Single
Female,18.672889638117255,22.760941042785173,7825.173758463875,6,Divorced
Male,77.73226392634282,80.58083808842987,6672.761051481284,11,Single
Male,73.54558471646959,103.69266399208803,6777.0742312792245,11,Married
Female,74.29736273129134,68.94184799648532,6119.560483457987,12,Single
Male,71.5092720904124,61.792361300872585,5379.802894336876,12,Single
Male,2.4353138644548693,-1.2330889648714365,7359.476274551085,6,Divorced
Male,8.916829878837035,11.735383918152952,7502.723091664994,5,Divorced
Female,63.87490589376853,63.37975365656929,5439.879036544048,13,Married
Male,75.14700065831414,79.9161097087592,6915.1511244165085,11,Divorced
Female,14.421007729795399,6.4307085246100355,7253.019617470767,7,Single
Female,11.182235386278506,10.70775390360539,7964.601911223197,6,Single
Female,87.82540976213502,81.59398681000911,3300.256000953831,11,Married
Male,69.64109157144507,75.57495698432194,6581.585602309223,11,Single
Female,73.67255090315132,86.66049148493313,6869.301244424696,11,Single
Female,7.591404948078598,14.755925144131393,7348.946316592293,6,Divorced
Male,96.42045355839603,86.95461277297225,2164.1185669756937,11,Married
Male,76.27588856569126,62.649087968187374,6134.843530864822,12,Married
Male,72.87357219562041,65.78440319996669,6934.101491058205,10,Single
Male,72.63404619354642,82.34799211578161,6357.897095671497,11,Divorced
Male,93.73159131594804,98.89073452643422,2007.7637920829393,11,Divorced
Male,76.06749099626182,62.489993835324356,6554.5393890556325,12,Single
Male,73.91229164900808,74.8064982025546,5543.251240541724,12,Divorced
Female,72.08685379504496,72.29937052109995,5707.215129829736,13,Married
Male,90.03176518523934,90.58112092630017,2995.484100522477,11,Divorced
Female,10.85441768079668,14.82210062767619,8031.74732446102,6,Single
Female,8.801768755837251,-0.11606237728420687,6926.5473309086565,6,Single
Male,82.63914603064875,78.90725276299015,2575.1229464953167,12,Single
Female,73.143809388229,89.87147937277935,6210.3904108187835,11,Single
Female,21.4416533764571,14.02135278873425,7435.21066246401,5,Divorced
Male,71.03560668305897,66.72176771629596,6636.951450249617,12,Divorced
Female,69.11092665473004,72.82161456024511,5862.962523396674,13,Single
Male,94.50277206712742,87.383962250769,2362.730114235301,12,Divorced
Male,7.219608687407465,19.873399339314325,7143.239880464307,5,Single
Male,67.17577947126293,67.88871528614055,5792.744025156693,14,Divorced
