Marital Status,Time spending score,Children age,Money spending score,Gender,Annual Income
Married,76.81805477006819,14,67.20123588468039,Male,43426.25722900553
Single,59.1174754489758,13,57.27907854930031,Male,88219.62998539966
Divorced,74.39539918024121,12,76.73458600343113,Female,71086.54730804027
Married,78.44604604723935,12,75.34376049679817,Male,82883.26431334115
Divorced,54.160852609675274,11,60.88807993302105,Male,76957.33483589515
Single,27.041323182837083,5,13.296392203111402,Male,37393.48181876229
Divorced,52.17227896806558,13,54.751475828879514,Male,83752.42081721648
Single,60.98946397448873,13,49.734288671298565,Female,91128.55223612147
Divorced,101.16638821491527,6,90.66636506147657,Female,27934.665307152336
Married,64.01406388110212,6,78.4064132046519,Female,25904.374053307733
Single,53.81882072829979,14,52.984623975496234,Male,88191.31508710205
Divorced,92.48765887423636,12,86.15298694191405,Female,75558.29273968958
Married,81.019191034357,12,72.33721840860926,Female,74149.91051820944
Divorced,10.061579326795767,5,15.100707444532596,Female,39451.815434261705
Divorced,102.26689477510834,6,91.00927278748293,Female,24669.767312937132
Divorced,101.4068284257691,5,78.92070870459307,Female,27340.52226968423
Married,80.1372443075625,11,74.23253777825784,Male,68136.18367018057
Divorced,72.89911503877585,12,73.03105200434743,Male,75610.2733126327
Married,70.23535694827181,14,71.6742303504566,Male,47703.17764928616
Divorced,51.73680756534516,13,55.55466135084105,Female,93338.25146732153
Single,66.02630955196612,11,74.33878355028824,Male,71106.49581931205
Single,-3.6972467429302007,6,11.684183071768885,Male,35204.76999629222
Divorced,65.79983022136908,12,65.52720332755526,Female,95646.26331620043
Divorced,24.010337664573925,13,45.226120810203724,Female,91215.81813515705
Divorced,91.43166290897335,6,91.49444205783519,Male,29305.583581491515
Divorced,16.293762960479697,6,16.26018084540673,Male,37746.9208587658
Divorced,70.37115864248355,14,68.6266133839611,Female,51024.1252860165
Married,84.50499335202848,6,87.74536795427738,Male,29777.400154305014
Married,62.40001263387361,13,69.53491819297166,Female,36569.45383588162
Divorced,56.51203133581607,14,56.20872477925407,Female,88134.9628348772
Single,9.23099167728568,6,15.177594509055748,Female,40292.368061729176
Married,68.25549866842532,11,65.20067723952839,Male,69861.23514249538
Single,8.04496309273565,6,3.128561431043707,Male,45398.00529565372
Married,87.90886125499674,6,97.3269346340391,Male,24950.32000998717
Married,58.14441333809743,13,55.072642239300556,Male,87882.87410156216
Single,71.46816722524132,13,76.25626106209633,Female,47745.94844642278
Single,61.97120555935367,11,68.49283889694908,Male,77429.0788113487
Single,86.36230045930844,11,72.6303335218262,Female,80356.17010379613
Divorced,63.43441256674557,14,62.12078629377152,Female,44277.30064977052
Divorced,24.721270282895954,6,14.806803521644,Female,36435.48761278737
Married,46.30372384026986,13,56.10597864862719,Male,100000.0
Divorced,72.23527742865728,13,64.51645737507468,Female,43518.261536454884
Single,70.80232413238626,11,64.0654301893676,Female,74373.72762017703
Single,9.113005724100521,5,7.342754616250623,Female,36098.59411332166
Divorced,77.9718226965621,11,72.18030174579626,Female,73626.28370254832
Married,95.68598956369276,6,90.99233160970229,Male,27647.724333521084
Divorced,70.57651588466733,14,70.62391069821345,Female,45827.659477415466
Single,12.171361740853964,6,8.584463198808066,Female,34094.57631113207
Divorced,62.81290326789516,14,65.48071908758334,Female,40469.48351053079
Divorced,72.34445332187329,14,66.58902647479084,Female,46480.32978486264
Single,52.806571049507056,14,57.38483801144157,Male,93446.31376184456
Married,83.2569520834565,11,82.58600594182903,Female,68004.68787511137
Married,12.313442610400665,6,9.503369232569568,Male,34344.97300634836
Divorced,25.11519082028864,6,15.104638542165635,Male,38072.9851944723
Divorced,59.9438249754927,13,58.791020627040496,Male,91724.15966124453
Married,55.70944038554919,14,60.421914989522676,Female,39642.95021919659
Single,72.92700777956375,11,77.87173009277046,Male,68846.47873836508
Single,64.1707001708574,13,62.34471365072899,Female,92125.63265328863
Divorced,0.8836444260177609,6,7.8391669272995586,Female,35627.81094642931
Married,89.26329333980956,6,84.2002368887471,Female,25034.859108670153
Single,73.48556185960923,5,87.01252640304673,Female,24736.19270540116
Married,60.87168287423404,13,56.007341938493944,Female,96287.84703373181
Divorced,58.89624324873747,13,70.71581614495437,Male,42137.30153507224
Married,82.36845034156802,6,78.42943291868744,Male,31332.438610888676
Single,0.6312352360697906,5,6.326799984451064,Female,35469.38121704715
Divorced,69.36699977884321,13,56.40381612738355,Female,89421.16006016618
Single,56.525338145254615,14,65.53553053353016,Male,89682.6859683976
Married,77.6892612161407,12,81.79021742593068,Male,78507.0087289216
Married,87.52840022175612,5,86.13451189784782,Female,29266.894206400917
Single,104.69494347044184,5,97.3495768382616,Female,21595.84421335985
Single,84.02531637258035,6,84.32569768565645,Female,28139.638023953125
Divorced,95.05215627268379,7,92.87207771233606,Female,35562.162574593225
Married,23.948170371727265,6,13.045579173463697,Male,33425.4700987746
Single,78.07406756259772,6,85.87734320478725,Male,26812.907377428724
Single,89.1757831178827,6,90.16624085609654,Female,24190.044545791257
Divorced,58.492755320308376,12,71.79098689131071,Male,72595.25471372218
Single,79.60575026081226,11,77.11270244540671,Female,76514.05891222628
Single,59.41558241215294,13,67.90997302857609,Female,42660.26044551405
Married,14.713584710705229,6,11.875568186177528,Female,37955.51243781064
Married,87.79033486065357,6,88.51073275455482,Female,30707.085609028494
Divorced,65.47362736960686,13,56.83292745290086,Male,79259.3366005331
Divorced,86.93156118077746,6,82.05598948879079,Female,29014.526475926403
Divorced,67.65852185289455,13,68.92068573752275,Male,44578.66867343412
Single,88.69828497098487,6,85.6666669096301,Female,29004.75782221699
Divorced,47.17192878577036,13,59.045238880574146,Male,86044.9640388061
Divorced,77.14408467682162,11,75.27146307142795,Male,79324.4022377677
Divorced,59.14261840752575,12,54.2083699623016,Male,96413.33458079396
Single,50.97064723226213,13,68.07791245332922,Female,41929.97386396092
Divorced,45.66731214610536,14,56.58331519292379,Male,45484.51878704247
Divorced,59.57656704288844,11,69.63208653733881,Female,68836.46987559131
Single,70.99579293805283,14,67.16003422188095,Female,41825.97453661729
Divorced,23.364826622781546,6,13.301392346789253,Male,35964.52960378998
Single,87.9220049300195,5,86.46020732648276,Male,27515.734785469045
Single,43.95384590039455,13,51.57918537961723,Female,92214.6039229711
Single,56.68548115118964,13,60.796810701198794,Female,42947.640306920075
Single,81.64497943298353,14,75.05409197464087,Female,45635.890322970285
Divorced,65.64481436326132,13,62.601766383645234,Female,54864.6642180479
Single,-5.146103185251941,5,2.539466212460475,Male,35375.12417320593
Single,69.97457424230579,13,64.87658439529264,Male,43238.51187637809
Divorced,59.366492366054175,12,65.59070961761381,Male,77571.89735603431
Married,2.87013730915403,6,12.67799429367917,Male,32900.331391442385
Married,30.867762134310993,6,10.350327881931495,Male,41157.00961735034
Single,70.75330619000552,11,68.08498425471629,Female,79979.47389778378
Single,89.51985493368474,6,92.16149794744044,Male,23482.39816397361
Divorced,73.19424498067895,14,73.42438921771321,Female,44134.83675647003
Divorced,19.651125564995255,6,15.196788057166032,Male,39571.081655222944
Single,80.75009495840484,11,75.72840974577213,Male,77156.9147767375
Divorced,45.18685913847474,13,64.46250575989401,Female,41722.1969069519
Married,55.45293980726928,13,60.73770058375438,Male,47856.600234125224
Divorced,5.742548405961453,6,10.44690950219669,Male,45118.53495953542
Single,72.76080849744586,11,68.90010193005676,Male,83540.1055176699
Married,71.78400271940043,14,69.28266532997077,Male,39929.05526100971
Single,82.67360442524651,6,80.12308439111078,Female,31528.974164240968
Single,52.124209131694485,13,50.43810405206494,Female,93471.81619356835
Divorced,77.42758541372741,11,79.46305636170072,Female,78466.06207250552
Married,54.7427385884247,13,53.527096393808385,Male,89453.9470456556
