Household Income,Money spending score,Gender,Marital Status,Children age,Time spending score
140919.0024726236,27.391265260830075,Male,Married,10,29.658625209227253
167290.84189667628,87.03044658202795,Female,Married,5,99.60897394998183
51258.10866696185,42.542416525469974,Male,Married,13,43.24262922734913
76694.0132841316,43.03799618139239,Male,Single,13,34.358475855271955
144506.69681033923,74.84818243831141,Female,Married,6,81.80593801564375
190273.88305438042,68.15052488939799,Female,Divorced,6,83.47768872570867
79666.07178181448,14.345730717847026,Female,Single,12,15.197158454589793
174253.48694699383,38.46717515505631,Male,Single,12,31.119406819729964
131231.19067552118,30.263787027001467,Female,Married,10,22.433080734687422
174872.0789529414,53.358663455342324,Male,Single,11,55.40827424459482
174971.3057079896,58.77797253090083,Female,Divorced,12,49.54037267366037
123934.37688617168,31.420095163971553,Female,Married,7,27.36459142700153
150310.52855772083,37.30139327649641,Male,Divorced,9,36.37594744938894
71494.34183396585,35.550439414272105,Male,Divorced,13,41.42424575610603
147381.29358897792,67.60061246796988,Male,Divorced,6,67.99542137412412
153970.99867623553,56.90281662889712,Female,Single,12,68.02177878133858
183781.91879290837,49.22674809250445,Male,Divorced,11,34.996760150293355
131983.70233285037,71.19362386473055,Female,Divorced,7,75.28031949128763
148190.06837146555,31.538082877015768,Male,Divorced,9,30.852914592202207
76877.92917014581,45.08887190260075,Male,Divorced,13,40.32367338125812
128721.95149242051,13.135995948795255,Male,Divorced,9,24.346989168543477
147985.25465538207,27.187618376883172,Male,Divorced,9,35.14352545494244
167716.7194922823,52.07151337163364,Male,Single,11,49.82475914615983
140070.38181375476,45.4258551204876,Male,Divorced,11,40.765158979047634
138851.63800369305,29.313090365625328,Male,Married,9,41.19551894427819
108720.76944606083,20.571780465146457,Male,Single,9,22.781040794475132
78929.10513831204,50.572427862158044,Male,Divorced,12,46.504305887877464
139934.18112502657,28.256845821428865,Female,Single,9,36.7492478838767
167249.03742754064,51.20023682699598,Female,Divorced,11,47.2858046994897
56193.709344516334,40.91640489044307,Male,Single,12,45.650111032037245
152234.11731856034,25.5036817843016,Female,Married,9,16.52034874644327
157687.2535174128,64.75385164880159,Male,Single,11,62.126748545028654
147541.94111500547,42.024447135758315,Male,Divorced,8,47.61458449646516
140429.84395129306,59.52669724584497,Female,Single,7,61.79885881555003
124773.98728064024,24.167904407632673,Male,Married,8,36.68084826705959
126988.55646161477,32.421366368434136,Male,Divorced,9,34.94300278326988
150748.0763982122,18.995432352561593,Male,Single,9,16.17056155106115
111834.87928511086,11.147110063111207,Female,Divorced,8,1.957066463359114
179439.45283282618,53.42121112287781,Male,Married,10,45.174543638090846
139813.7994971995,69.119209185371,Male,Married,5,71.47161509971056
46895.344134996456,16.74735437098899,Male,Single,12,11.407970897276261
168397.26065984616,60.03225815130047,Female,Married,6,64.99416404129656
173365.69807452674,73.47508615470235,Female,Single,6,72.81939698841884
170577.8895573596,71.17189811623491,Male,Married,6,65.6577299005042
81085.37256801396,23.817705709835227,Male,Divorced,13,22.324319654132715
159403.16566231556,79.44966157042546,Female,Divorced,6,65.10481281639791
162207.56758052664,57.05294794206136,Female,Divorced,10,55.30600762408568
133295.86916764823,90.9952875436081,Female,Single,7,101.1468433037759
75817.17233516728,23.325049419002067,Male,Divorced,13,28.86431549328485
155815.98414633586,91.58783637108624,Female,Married,7,95.1994615174262
139647.51242457522,78.87465737055842,Female,Married,7,71.3973356452906
176673.9681348924,67.37743190926334,Male,Married,5,73.69604955626174
70473.41780684283,42.53522311715777,Female,Single,14,35.55317158922534
149089.0641553279,84.0200647421035,Male,Divorced,6,69.58037705040172
52378.5032430944,33.0250829830633,Female,Single,13,25.06346643526499
132066.392905212,22.88751219558962,Male,Married,9,28.381646441806716
81042.51633192934,19.47200559433236,Female,Divorced,13,14.642577670187656
168655.48648734632,52.92186543128371,Male,Single,12,58.525833955504176
158355.36199557464,30.106296903440345,Female,Married,8,29.947984733570618
158230.18142912435,66.84252260259026,Male,Married,11,53.19353632115562
170005.09963644002,72.57483006268346,Male,Divorced,6,76.56837772971018
49167.41683418151,43.99344054868811,Female,Divorced,13,37.44900537341373
152534.2049840765,69.68231698403463,Female,Divorced,6,63.14501271856751
166716.61391540087,55.720440253029885,Female,Single,11,56.808276220957794
165365.4318624675,82.9180440664036,Female,Single,7,90.36173989878164
169709.57788362465,53.499755842752855,Male,Single,7,66.12184995714493
160780.89087369354,54.48363157117396,Male,Divorced,13,40.14493844449302
159985.41345136866,55.74196760684508,Female,Married,11,52.94434480043442
137889.1215528938,14.525396263237546,Male,Single,9,23.861347589361245
132456.1533132666,16.681403610429445,Male,Divorced,9,35.570352647947786
143729.5379320275,7.612894258418606,Male,Single,9,2.484264108808654
143541.61696921557,71.47821866675994,Female,Married,6,76.29520461146072
157012.56186439955,67.34304540510206,Male,Married,6,76.07711217648061
158039.80092419698,81.14591855572633,Female,Divorced,6,83.42751761712007
65520.55955730289,30.720520769474295,Male,Single,13,31.398656343930462
162075.6168906426,70.3745303323799,Female,Married,5,76.51129925313856
165731.0484817538,48.471552594427656,Female,Married,11,41.002721008536696
63555.29377962969,21.56058031678899,Female,Married,14,22.545746525167154
62049.14412677122,21.872464347030668,Male,Single,14,18.533875610612526
141166.3970183358,20.224560190628797,Male,Single,9,29.138873885869852
83821.84490526142,33.54150627131458,Male,Divorced,13,48.731980584720134
163948.43739200113,37.49575300544537,Female,Married,12,37.32995538653041
147503.40978129563,27.172649634638965,Male,Divorced,9,25.815661656493813
158591.26897512228,61.97532827815253,Male,Divorced,11,67.20242941397028
62494.80878204371,24.26347628545364,Male,Married,13,25.78908147829166
172512.9542066896,66.9199665851741,Female,Divorced,5,66.45779496164802
174582.19629795183,48.30728692805208,Female,Single,12,52.2847902154235
134692.07728992664,76.08820623450956,Male,Single,6,76.02049371928406
158715.68963374788,59.35981748864422,Male,Married,7,62.96709839522345
