Marital Status,Satisfaction,Happiness level,Age,Household Income,Gender
Divorced,86.44257013194311,73.27899687205259,47,82423.80933316628,Female
Divorced,32.08008712480914,26.186868591874813,70,98095.42737188743,Female
Married,54.75445895180534,60.267471339885034,26,177758.304483874,Female
Married,35.705554600806096,52.00854014417248,67,105220.83981710131,Male
Single,32.96834311542431,15.39502078166182,68,118261.84956695074,Female
Divorced,87.61655485677115,71.36172381194682,47,69013.42604870805,Female
Divorced,89.97492093743276,77.78082319585447,51,82713.73797750496,Male
Single,19.782504169591956,19.127630316841238,46,96390.76863479949,Female
Divorced,37.40803506171568,45.429646485280486,72,103994.4793158296,Male
Divorced,44.966130368699815,35.578785824321834,27,182462.99599031202,Male
Divorced,85.9190441053245,68.64358665861371,49,86297.73649708758,Female
Divorced,82.3437733862012,94.83357379888034,59,62638.25104941314,Female
Married,47.11771821814406,48.484305168867856,20,193788.73070679334,Female
Divorced,9.61493951645221,22.78602362759502,50,49811.097506901526,Female
Single,40.22287425607711,37.30600227585757,67,94553.30188887403,Male
Divorced,86.6936156251339,108.8039235509599,48,87993.84862800405,Male
Divorced,26.418238159414393,27.625053282530452,51,100999.6738011147,Female
Married,16.180529925099947,32.66129166558562,42,96557.26887897291,Male
Single,94.29703398985063,102.6644264771445,47,72971.80674408094,Male
Single,75.7882106592673,76.77352666535555,31,119474.83641794889,Female
Divorced,74.0998091518585,75.4022923934119,33,124128.37521229796,Male
Married,31.427631770526048,32.977991150064526,65,95229.16440910671,Female
Single,74.72227229133665,81.19870426597416,32,120359.06226773035,Female
Divorced,41.292109855058115,36.08308317667845,74,105668.96075834904,Female
Divorced,79.11807882784653,85.47758101080863,35,137869.1406915042,Female
Single,77.68474828122068,71.10188799956849,37,141385.27876225644,Female
Divorced,49.13464800980714,42.178606523546506,29,167607.69034147917,Female
Single,73.29210236559629,74.14397099983229,34,119030.78330962636,Male
Single,2.3519606651176304,12.387929797664128,43,48554.80644351817,Male
Single,17.398632741781764,5.542676674274915,44,98525.40521529675,Male
Single,36.74148939861274,35.33096102992305,66,98702.20824125595,Male
Single,75.06226857945875,69.04566818034607,35,135334.27428073634,Male
Married,47.10119928763332,51.43863747570098,30,164561.2496070034,Male
Divorced,80.10141503504917,82.81410389899662,45,70521.88396387671,Male
Single,17.976186229775784,21.9411064879916,48,98036.27346143355,Male
Divorced,3.5146976812003174,16.042642460096936,47,56958.76051241964,Male
Single,70.54465479362169,65.40556444127014,36,122181.93095213542,Female
Married,94.96620169009694,105.89701049100836,51,84695.31575453153,Female
Married,76.43271580136658,100.75683735428453,37,131617.27693297106,Male
Single,45.457702354348555,42.932888326396885,23,169867.38769371973,Female
Divorced,24.142477950744176,28.73547519826587,42,99437.98927516676,Female
Divorced,11.11895058493895,9.22003841100807,51,41810.30935986254,Female
Married,4.621808095345713,-4.4756369881392,51,40829.48026807992,Female
Married,5.016381578867964,-6.775122164277249,41,50058.90218712736,Male
Married,53.22442364223457,44.7185174382718,24,187901.78733876464,Male
Married,7.602641735696075,7.974589394874137,51,49467.71824373564,Female
Divorced,18.644626689062413,12.478058809907054,40,90718.34105061772,Female
Single,82.78440412658463,68.07687127884061,37,123145.39598817562,Male
Married,88.01450038981423,76.00564598165873,49,55916.18018886156,Female
Single,11.848527318502782,20.405270321612047,46,39963.370803396305,Male
Married,83.67731322648518,106.74367393382664,50,77256.60766586266,Female
Divorced,75.88326194832426,91.41115361632946,34,143640.17287639235,Female
Divorced,40.055347352421435,51.323799048099346,24,191988.65893121416,Female
Divorced,39.958311919414115,30.27090477254571,73,88284.95822604583,Female
Married,39.66898178848353,19.63748638030897,61,101399.14176479582,Female
Married,35.489493917604094,24.7776862849561,70,100903.49864281534,Male
Married,31.817389922488513,27.88996634820634,71,98672.66407072896,Male
Married,38.12156430785677,33.79402775779317,72,101885.42075915533,Male
Single,36.489438917794914,43.49447321521635,71,109776.98655638976,Female
Divorced,24.98486548970468,24.569037969834074,46,99084.73510774298,Female
Married,13.620367910106978,26.613468004296486,46,108264.9767877477,Male
Single,1.3735754102661488,-15.088011596403383,48,56043.85377188827,Male
Married,72.97944443028258,63.02335011720343,37,126782.79387790507,Female
Divorced,14.53795227774446,14.210576815664563,46,46393.0847836656,Male
Divorced,91.59494338263599,109.20657400053415,43,85084.92151264088,Female
Divorced,21.649488994157917,-3.2321259013251122,43,72254.25868811514,Female
Divorced,74.70009356058833,55.770142619270445,35,130456.56789411245,Female
Divorced,43.7143971756977,60.77964270021053,24,182630.97009883553,Male
Divorced,81.77150649424036,87.26303673062912,37,135257.64450756626,Male
Divorced,39.92328062178488,39.22868896844157,68,102537.80114398108,Male
Married,74.06845605223955,83.93421864699701,23,140529.8350524683,Male
Married,38.20692754331869,22.38324932379091,61,97648.3759138966,Male
Married,17.1664904083674,15.27561831882782,48,92058.4584313908,Female
Divorced,14.020684301471881,11.96677504777218,53,42566.856999976226,Male
Married,21.604075781725538,17.90069184824526,47,89538.56960262687,Female
Single,93.193286734184,103.21543940220516,48,85822.54006074238,Female
Single,23.10748871766135,11.687969559693277,40,87433.3979985643,Female
Single,15.504816211186984,7.9439072709871486,57,55280.55993091132,Male
Single,27.21934648046792,27.590137529770335,44,103668.58181994347,Female
Single,91.10602632194676,76.49790337550932,45,70613.29288691883,Male
Single,92.1477374726697,97.4901672393146,40,74973.40702915404,Male
Married,31.45339385395249,25.659857156247227,67,103055.97359835755,Male
Single,46.50008206933275,52.40707994901711,34,176726.67098916942,Female
Married,30.580443990624325,41.5682597688144,59,95469.18160288032,Male
Single,90.82085377330438,82.64032507543703,51,76021.05424450245,Female
Divorced,22.432116905881504,13.491250479861305,35,86653.96018261532,Male
Single,37.61724343363618,37.03937871552573,66,108525.90080685368,Male
Single,7.114716026932648,14.527784086912288,50,42984.46429330198,Male
Divorced,46.451164038256614,46.80990234155932,37,167156.6603359506,Male
Married,36.41315598130306,31.787671228262543,70,108407.15854588107,Male
Divorced,36.569652746132846,37.26105604566688,69,102160.20717121227,Male
Married,69.9196123754894,72.53746672777217,38,117375.69441095792,Female
Married,29.33542784292997,37.168586212366264,48,76599.03893569521,Female
Married,34.805872835451446,28.808134951789683,78,101008.25850724694,Female
Single,46.01308313319821,28.443231517033556,24,177035.4238126631,Female
Single,33.16163668558359,48.82695734155163,69,96593.03276797228,Male
Single,5.064195857354193,-1.2145506594963003,40,50295.56641082489,Female
Divorced,36.508533214445066,47.286780753849115,68,106986.6887453013,Female
Married,9.055525293783695,12.006387771666017,47,56114.11877158833,Female
Single,72.79081456185729,65.11859566351657,36,125194.52707794799,Male
Married,46.003916934103806,50.74072899492779,24,178080.59434078672,Female
Married,50.69736769514535,52.536894501663184,22,163681.32450268688,Female
Single,11.320331236077003,16.5905283618664,44,56433.783375406245,Female
Single,17.114895289429167,20.89466629238572,37,74023.93354217999,Female
Single,49.918222815418744,45.00371686565458,27,180377.69877444964,Male
Divorced,36.872381038112316,34.75970611743206,66,111334.95053503664,Male
Married,79.34137278748409,85.3909132520227,40,123278.85039691493,Female
Married,83.88027667988021,77.16729967270712,44,94995.08048649714,Male
Married,43.328607401734516,47.019908670897365,61,88105.39564010774,Male
Divorced,52.98656429904712,50.98992429209957,31,172123.43395791927,Female
Divorced,13.366832799439145,12.982801505191517,43,77078.6532480568,Female
Married,9.858269858154863,5.04862156187898,48,51515.63934867176,Male
Married,74.25060082544357,82.23798358973022,34,125431.0264654712,Female
Divorced,11.24254636836887,14.559220289653826,40,47565.94744089611,Female
Divorced,6.56377726998565,3.0257453517787685,48,59277.42745000559,Male
Divorced,21.595592407262462,30.018425050046854,47,88826.97229738419,Female
Divorced,14.313048828345238,8.054375082329715,49,73537.35526773767,Male
Divorced,76.20000653715702,92.92891321451127,31,123046.54152017387,Male
Divorced,93.74778964575754,90.89633222125957,46,92231.96457270271,Male
Divorced,82.90096830417761,95.88623149059578,46,73649.67100194309,Male
Married,23.810931366905354,33.688421106431534,38,102941.34643880776,Female
Divorced,47.17760298262325,34.22460836459492,27,181294.02831013428,Female
Single,34.04210029598752,27.765460584221174,67,114173.01964901033,Female
Divorced,32.875877990098274,35.773659912345394,68,108706.39310251354,Male
