distribution_channel,promotion_effectiveness,pricing_strategy,customer_satisfaction,consumer_confidence,economic_conditions,advertising_spend,Sales,demographic_factors,Season,brand_image
Retailer,-0.3558011018125371,39298.821281738645,4.99510697942692,-1.8772347117478507,0.8342377186554504,5969.307903373147,3236.6234645279537,1,Summer,-0.2971765260747074
Retailer,-1.1584459429549407,71852.86932300981,5.469948103087992,-2.2452679786312735,0.5355291944938231,5939.198058420578,5748.698447610986,1,Summer,0.8383356336195497
Retailer,-0.3108749923463715,54189.67231764788,3.876498972911416,-1.1579437658888205,-2.302018428266736,4601.108202797863,5815.799537510751,2,Summer,1.6876157399970053
Retailer,-0.619077787439039,45895.28904328206,3.0679599668292816,1.2767261492187745,-1.4202668747644887,7285.741644000682,3111.7609585284617,1,Summer,-0.9979844136642968
Retailer,,60262.316926767795,4.074635318063217,-2.0738142725784185,0.2612711228477411,4820.415377555483,4024.6492604979503,2,,-0.18149624842526213
Distributor,0.8348717979099277,39553.876475658704,5.157220794771096,-0.29210710196121825,0.46385170060548175,7251.897266991419,5928.763996308915,0,Rainy,0.03710537618761219
Retailer,-0.7108458114040588,36916.68313354862,5.30769163306712,-0.44888543629116723,-0.7316692467280578,2282.471837862836,3263.228501277962,1,Summer,-0.25223748556477793
Retailer,-1.1390655477488387,63789.97384893221,4.760874349804257,0.4953926570326503,-0.018488604341231115,4314.1196130996495,5527.275034667161,0,Rainy,-0.044256155797789666
Retailer,-0.4937033140969223,59207.33237942151,6.530496778195907,-0.4908027456309164,0.804222430349841,6596.602100555297,6263.560701772846,0,Summer,0.49649138430761564
Retailer,-0.3647354441621985,44334.7595871576,3.4150070771843763,0.606355152501977,-0.10509328807598928,4838.368721519257,4285.101279917722,2,Summer,0.07786811588249017
Retailer,-0.3415465641146267,54961.72752147895,6.026401037593156,-1.6521735379679692,-0.5026499318220522,5421.788794045111,5009.084716573716,1,Rainy,0.14477679958300044
Retailer,-0.783894160677758,55148.42532850378,6.265273432813145,0.5696965243861438,0.6793159118821486,3024.5490887178576,6276.241745540634,2,Rainy,1.5992572246968275
Retailer,-0.5117021461613575,75829.27481301664,7.180550251747361,0.33786071394943684,-0.4789701863827525,1629.0624437670922,6079.522188964804,1,Summer,-1.3186223567620206
Internet,1.295996489190381,51569.587325349064,4.57186910104878,0.06535487095361922,0.8952453193779725,6989.793470740801,4878.053716916854,0,Summer,-0.5288240004518082
Distributor,-0.3348083131005008,65308.389243463644,5.944599664770336,2.709254446802675,-1.2958277366637398,7335.161693519331,7691.795787366172,2,Rainy,0.0761012052830712
Retailer,-0.32441612064728836,43707.49251122856,3.3365441905653492,-1.3735758979723243,0.7101857673838337,4372.021173871633,2576.0119935281855,1,Rainy,-0.7089968743517114
Retailer,-0.3036412313251276,47937.37081110218,3.905491652236444,-1.0605582369403177,-0.1842370779760502,4667.2230029258435,3733.7926271908655,2,Summer,-0.6798981003907266
Retailer,-0.59427618213372,55895.112365250745,6.468763126562253,0.19722142956707298,-1.6812075900777905,5472.323206896743,5133.133920430135,0,Rainy,-0.2858794118477436
Retailer,-0.5700839906698959,66160.80693326498,5.212352298296706,0.6247337431477895,0.66646135770286,7055.919921846829,4539.6431064623375,0,Rainy,-2.1207619109953497
Internet,-0.22246546963197253,54664.5075923761,6.0512359272097616,-0.24718351748931022,-0.026320739496402824,5304.811440453559,3657.8380852911814,2,Rainy,-1.8909053752435412
Retailer,,68868.3852869677,5.053696467111411,1.165742776590725,0.7913353670892256,5523.487903750071,7176.865779540332,2,,-0.41739778549242834
Retailer,1.7266527019632327,69698.23319686367,3.010263456464927,1.068955698756847,-0.07592473574270266,4799.596351112717,7153.01793452254,2,Summer,0.37261171388158604
Retailer,0.23446502416109263,42976.38641548958,3.862404859936893,-0.4590208011574667,0.659081321204787,5758.920683940589,4437.351888796419,2,Rainy,-0.020035897058085613
Internet,-0.7350422483506828,48061.986906378115,6.4252907827040335,-0.10382455343526725,-2.0142416291177043,6438.692176668102,2802.9392162040826,1,Summer,-2.339992508131001
Distributor,0.4629018069310265,66809.8479871876,3.6964681032660396,-0.19971737037193904,0.7355947869610653,7523.957550234429,5804.588604924939,0,Summer,-1.2557031730560464
Retailer,-1.2843880571281052,73841.9598834519,6.560157553672809,-1.135316426889481,-0.5223395488661905,4314.972688121823,5581.414279140871,0,Summer,-0.8788910511773159
Distributor,1.4531366172236124,62736.68445171416,5.652808381362098,-0.621264099377433,-2.528738434276006,3014.6230380210377,7105.426952957667,1,Summer,-0.6969262294290071
Retailer,-0.9436611526389722,59387.245476840355,5.673800363509954,0.8848373519441072,0.8159134389294935,5401.925315252617,5089.731439442268,0,Summer,-0.7576600977159813
Retailer,-2.460298129831841,68082.21713059372,6.211492040741708,0.9646661335933756,1.477412861498529,6562.886445046544,4930.424922389161,0,Summer,-0.7409365083974728
Internet,-0.6402567195030251,59490.633145109525,5.5442401211978645,0.19579925326433392,-0.12703089226094677,3775.565513939713,4471.365419628803,2,Summer,-0.8481573885671146
Retailer,0.4352475754933321,66733.15714353422,4.040486480334474,-0.5665209617615791,-0.6840281566339527,5937.383262110166,5889.472076475701,1,Summer,-0.6214060163325258
Retailer,-2.3045277438876455,50980.29783030004,6.758776492176985,0.5717697429037284,-1.0904219331497471,5662.070957813162,4338.197007136339,0,Summer,-0.0025160406266167452
Retailer,0.008422961397900393,71387.96816723373,5.62591932439832,1.1587144602015185,-0.06666567029711734,6056.723007947492,7149.248057212051,2,Summer,-0.39401830941492966
Retailer,-0.4129603036224616,47175.459440665145,4.00162083947899,0.7945194765958407,-0.6693599661469014,6208.274331482225,3587.2538233045743,1,Rainy,-0.7369464219323525
Distributor,2.163077077279791,77158.50110723212,4.372860481383853,0.6759276818755336,-1.7611878530889358,4696.316159946664,9027.440576269755,1,Rainy,0.19089051383652597
Retailer,0.01689472239519183,47858.05354018264,4.346590466382739,-0.8315023112868293,-3.170107829328234,3836.3774419785823,5648.935865610506,0,Summer,0.9460481942731084
Retailer,-0.5590968460728447,67503.07381242068,4.14329753747687,0.6906430509999596,-0.09949399077214237,4424.171077942798,4724.780745081428,0,Rainy,-1.3217977646583654
Retailer,0.14769099679022912,69009.56208830308,5.405517615114724,0.2499302902818149,-1.4385999667498242,5662.285442953428,8260.522569578852,0,Rainy,2.5995297003750744
Internet,,68025.43123456958,3.906137562441269,-0.3740067629514787,-0.341134737860658,3136.2377284703407,4127.821162364346,1,,-1.6214922752665772
Retailer,-0.9536324580644309,68480.97092996511,5.393131554546407,0.5681397021455569,1.3810988389824153,4973.214315187737,5789.460975651001,1,Summer,0.25641512100015434
Internet,1.0279060197616592,40383.78214042674,3.0834339421289885,-1.0526324987720796,-0.07453624744459085,4903.120251547234,3088.7366336623636,1,Rainy,-0.6017220955422341
Distributor,0.9912455847134601,61927.62012073365,4.919638172035916,0.07436678999862767,1.0908424475320109,2613.2179781720592,6954.941342127188,0,Summer,-0.4330878700081774
Retailer,-0.3997003654064668,46350.65891979968,5.857953388330228,-0.6047450967430631,-1.2308369657394413,4427.395777071966,4402.924058992076,0,Rainy,-0.1913118836993152
Retailer,-0.8355335486522139,58521.278187034215,4.172193297299691,-0.44095811215061786,0.29582016139711126,5629.499201004985,4955.684442917827,2,Summer,0.23880728626504907
Distributor,-2.0076183686276603,64004.24746545809,2.8590587958288642,0.4705917607368364,0.734925921152749,2763.934254152919,4737.49619258876,0,Summer,0.9336498779827638
Retailer,-0.7976256015400718,34852.81296321919,5.574732016228553,0.5281120487285255,-2.422699452051814,4802.966877869711,5063.486597918671,1,Summer,0.9429893846935118
Internet,0.18898319539355185,71731.85322524414,5.512602811532424,0.1721754205592423,0.26659436930485825,3631.595412880324,5497.8219074819945,2,Summer,-0.6715342614115082
Retailer,0.2782506511627803,70652.1831437348,5.568135929857256,0.3474074315807113,-1.2206009068962231,6603.999983508175,7577.380958509607,0,Summer,0.7449937507910465
Distributor,-0.6282575014845001,53736.041299914235,5.536942680691604,1.1299252579928007,1.8286870710241712,4594.321364143897,5350.731957914897,1,Rainy,-0.832279132420428
Internet,0.12608742518549745,31051.791851396993,5.662708898617301,0.7066171481778346,-0.9673183491391175,5396.959524867515,3713.5556928948645,0,Summer,-0.5151581612422947
Retailer,-0.21985795465028157,66880.99683909272,5.746752905484342,-1.1331851919805536,-0.2586434683200913,4701.643099807033,6022.551563366073,2,Rainy,-0.2649997416323376
Distributor,-1.5021345930932708,62574.01381181927,6.79741831602789,0.2525329179389637,-1.0797475649196167,3527.6425484264946,6617.057797589513,0,Rainy,0.16341997668692876
Internet,-1.856543419108784,57273.43986158233,4.0648418325436815,-0.09300588368574125,-1.3669365860684444,5510.44004113768,2757.2611770145268,1,Summer,-0.841496745531632
Retailer,-0.9900647492445925,46337.17422010479,6.226000344499818,0.377271901777582,-1.5806044044147138,3347.7122955776513,5694.710295232816,1,Rainy,1.7020410533677899
Retailer,0.11795879386972151,83496.52081973254,5.676082745998654,0.26460951084092127,-0.26462390737638675,4004.19647672095,7233.56850892046,0,Rainy,-0.1731621349451693
Retailer,0.8395882354642205,63244.20133057282,2.5241599140295405,0.48269104943725855,-0.703990808637971,4707.890982793427,5668.534242205086,1,Summer,0.2946348015149561
Distributor,-1.3441980522344221,60122.85566884931,6.09031645229775,-1.466301342983684,-1.1416305518129186,5431.823612715915,5839.22098142306,1,Rainy,0.6614134638906065
Retailer,1.439059411166574,56536.811478049516,3.8362362458768793,0.1251141802919551,-1.6655740807626036,5027.6968119002495,5612.4439316285825,0,Rainy,-0.29070268939352795
Retailer,-1.744530216350054,53200.30601036893,7.18554580585487,0.1539795663464018,0.9152850927544645,5544.5825054509605,4951.120467903928,1,Summer,-0.7565654260929816
Retailer,-1.0687342419662282,78234.9138401111,3.282620111606578,2.0343245698103183,1.4848943797922318,6963.658134601403,6089.2411189688155,1,Rainy,0.11199377477076984
Retailer,-0.2765937546567075,46688.27424025241,5.1407952163820205,-0.35056778610382866,-0.1372010549630835,6721.682578206324,4724.544046171815,2,Rainy,-0.6073031594376366
Retailer,-0.9009770751624075,67308.07867108531,6.166156155453059,1.9565882997822708,1.428333761908551,5140.283736050909,6444.722592123817,2,Summer,-0.6016688878978891
Distributor,-2.6277027224586997,54301.519392199916,3.584112963053225,0.24015617955590046,1.2763234326014852,5923.871772588392,3245.513988884542,0,Summer,-0.8983092359105026
Retailer,-0.6611674168570565,59221.797500805325,5.628264066209748,-0.39262180706549665,-0.6175695579060723,4122.591537242276,5594.727888781989,0,Summer,0.510417075215462
Retailer,0.7971059646215019,68265.62942808314,3.970814894998134,0.8478015672523846,1.5029878218696922,3339.7002530494415,6101.532216027336,2,Summer,-1.0817124896391555
Retailer,1.586389333349323,51347.46844463823,4.110791975295456,-1.8796407298330962,0.9445983505469738,6538.6674423082895,5530.375302197716,1,Summer,0.27747083758127894
Distributor,0.01892718083963934,45250.97816527691,2.762320902111313,0.20787461654801598,-0.6054089143724202,4006.7889699856996,4196.411364440866,2,Rainy,-0.42200053506396246
Internet,-0.4402946622521444,68847.6601863772,4.671387973092659,-0.22615755066741836,-0.2119265154253129,2229.4421477274814,5001.457377021532,2,Rainy,-0.2182651387032144
Retailer,1.9472612813230068,80997.45181138102,5.425748029776262,1.2515396453613492,-1.408538132849267,7389.294227895351,9615.460780277452,2,Summer,0.899261066884027
Retailer,0.1447634931670507,66885.26275453783,3.7271515459817537,-0.4822365604265549,2.444492369640552,4093.896672609667,6446.964111623596,1,Summer,0.9185794952015304
Retailer,,76900.58894313246,4.031410056177384,0.1729765646979367,-0.4670835249135247,6701.970535498916,6786.008092941841,1,,-0.5202846475131834
Retailer,-1.5968519372393621,76585.04528459362,2.722361181751469,0.7351615146265476,-1.0861021153158248,5884.5392961127745,4170.836184716698,0,Rainy,-0.4199934262617945
Distributor,0.18603377531562273,44995.68575507931,4.11521153349915,0.0513095203663486,0.9546746345215928,6744.016227018307,4771.223488089978,0,Rainy,-0.5782765285354245
Internet,,55102.75554714889,3.9750575442145797,-0.6335337666826726,-0.24548645614945172,4253.597672610526,3573.732361548795,2,,-0.7347364542823852
Retailer,-0.5813987643512294,65807.19812218056,5.303006097799155,0.08822420565131159,-1.666387721795115,8922.997727352491,5337.453371308179,1,Summer,-1.2155875083076442
Retailer,-0.3146132373013487,45603.29938094906,7.330818434374607,-1.5432924065668072,-0.8719844436281857,3735.750356511756,6293.015645541627,1,Rainy,1.4252356774690114
Retailer,0.6060229423659531,49456.70948361346,5.580699789356091,0.39763741322138335,0.5740789752511234,6135.236762443781,5872.066984887251,2,Summer,-0.5213942060018498
Internet,,56213.79254837974,7.534316829372186,1.9717630235581982,0.7910746475729802,4506.530100207537,4079.673410107196,0,,-1.7497923886239657
Retailer,-0.8103038405501132,37430.02732258667,2.7958497915970315,0.3082636458927621,-0.19481939628254183,4515.723452090079,3782.5293133550263,0,Summer,1.1637624001892108
Retailer,,55838.60969544773,8.834973256116449,1.464271433759665,0.7755045942581016,4540.771013571355,9397.844180098735,0,,1.3082381042444113
