sales_channel,Season,advertising_spend,population_variables,pricing_strategy,Sales,promotion_effectiveness,brand_image,product_quality,economic_conditions,consumer_confidence
Call center,Rainy,6811.863261090497,0,57880.93760275148,6240.278232768937,-1.1090354170626193,1.432519117049529,4.822861544995592,0.453543356629888,-0.4299522819059816
Call center,Rainy,3750.80211946904,0,72826.71349126549,4510.373467662432,-0.7840207722328155,0.8907311506859332,4.627089504672891,-0.1643798609712576,0.8538060580742821
Web,Rainy,3599.3266375891913,2,67895.83807287364,4461.600964496838,-0.9218396462183279,0.6134769887199626,5.605803203811741,0.8462481169769304,-0.359468939277173
Call center,Rainy,5793.862335477107,2,41025.43397489279,6975.94300779842,0.33912356651166753,0.8594778788893123,6.419138566772187,0.5569229840012271,-0.6856266238045613
Agent,Summer,5063.58924403946,0,43036.32661290352,4004.3849846846388,-2.6893113335425975,1.3381605342393759,4.961822840134186,-1.1258099522613767,-0.6217940844308018
Call center,Rainy,3863.0917976173687,1,74561.66790752998,5233.858798192292,0.8160411112997784,-0.07999238052502428,5.132275561936385,3.857011971455497,-0.4686216633711712
Call center,Summer,5065.7101271114925,2,65007.969177345665,5828.569242447309,1.1756881159627317,0.5779323856144212,3.9129008301869077,-0.3616442101317545,0.9558352255591516
Call center,Summer,4241.793315876993,0,39504.39305827487,5197.426301815822,0.537328230510278,0.20631953089980917,5.470199079532455,-1.2864945339450164,-1.618145799350091
Web,Summer,6645.0693737349775,2,49402.932312910576,4150.212402775723,-0.2414725679086763,-1.7925941979477846,4.737133250125701,-1.4176848194107334,-0.19054676815937832
Call center,Summer,6041.941980375558,0,74179.51730321815,6298.780703622224,0.909049326396174,-0.5195982270395901,5.80303616087183,-0.9146779569261959,-0.05222580108885191
Call center,Summer,3331.1299282930054,0,45221.81216334458,5857.673201004082,1.3439337073395752,0.6694641987599133,5.490224859599481,0.7692304211982727,0.27947654430352303
Web,Summer,6407.385695532564,0,72919.55850437972,6444.402207900113,0.02480503779295551,-0.05139407710378934,6.354878840091132,-1.3372305051314843,1.4874994403843864
Agent,Summer,5101.0856092289605,1,48362.69042109371,5948.599535859987,-0.0941632545316952,1.0830822681812415,5.4154005944054,-1.301045775295669,0.10996817110847888
Agent,Rainy,6449.924026345401,2,59369.25586712096,5438.879017144486,0.7029962020942251,-1.0400034628321542,4.838626713878421,-1.3975162848420382,0.47576263799576124
Call center,Rainy,4595.147496923002,2,34067.26008779903,5991.758146890099,0.46318547006736027,1.192504140414993,5.470684128510027,0.6259564751485208,0.338036202526206
Web,Rainy,4832.831908242055,1,66224.94383531096,6696.09380407974,1.8337610872554324,0.5568522969168376,4.887258401368968,0.29173891410655495,0.3680964167813794
Call center,Summer,6484.537410242675,2,57159.532645121675,4710.175821036983,-1.3131735457156302,-0.856050750807746,5.7030984353622,0.05107708748160862,0.6225758698481283
Web,Summer,4904.456978077846,1,58034.434561248156,4752.844208994171,-0.44532974275779175,1.0790942473410972,3.6023392168122172,-1.20667135256992,1.7161185821206555
Call center,Rainy,2849.416754603808,1,61035.53462044423,5651.193411195917,1.3730920604358003,0.72206962098053,5.329460957859395,1.186207223583648,0.9672633221829947
Call center,Summer,3855.768136504141,2,53521.772139869274,5428.865578614349,0.2668997344087503,0.4979736206715915,5.954622384334876,-0.155645203311884,1.6632188417865283
Agent,Rainy,4268.227459366664,2,59407.98392023852,4001.8554015269456,-0.17125410124269905,-0.41922377157783014,4.3972930973306035,,
Call center,Rainy,4686.471017007178,0,57154.085445331046,6238.151747495432,0.5965164399604874,1.5117132227600354,4.897759341908303,-2.3834512800413035,-0.1551956678064261
Call center,Summer,4308.113101162853,0,73518.96988828127,3746.5302397026635,-0.05056606418434198,-0.6184942421785763,4.101244020946831,-0.10235837437056827,0.0013980080266950193
Call center,Summer,3220.2850393324015,0,76551.73468019631,4884.231055507962,1.7403801138506667,-0.11386703907064112,3.877705985208077,0.5205207306890074,-3.0986263223556554
Web,Rainy,6360.513734403609,1,45276.72953297574,5100.855696172905,0.25450253133064143,0.8378871329482086,1.7573376957806093,1.275849880149463,0.7471192013064797
Call center,Summer,4375.750921292624,0,53264.38274763229,3925.0777345618967,-0.19222317013590853,-0.39160342456598124,4.274381005045968,-2.1947889393172404,-0.49762840258584473
Agent,Rainy,5547.189925744979,2,55081.12077459725,5641.511318096791,0.14424839264023634,1.0566200325544857,4.06051111592257,-0.9072033685894564,0.0481185896427481
Call center,Summer,5817.563768755259,0,53963.77103917036,5898.667964529164,-0.2639920419260859,1.5099288633988635,3.947144448021233,1.8781628569076778,-0.1273329599705169
Call center,Rainy,5315.8716947304565,1,43717.224303409996,7224.745249210891,0.8691807783739011,0.8468067185938144,7.1807813127647036,-0.2109102312438065,1.1032240580564707
Agent,Summer,6370.131316387477,1,37315.36077248191,6786.229868213785,1.6898089703901744,0.04418032346396701,4.716491778203027,-0.8656241958961782,-1.3942871238879326
Agent,Rainy,3710.7020501637344,2,64858.73640730811,4672.546400595647,-0.26949601257240247,-0.49482613228313976,6.489263078455594,1.1090362760877435,0.4462679610191728
Call center,Rainy,5259.456737058419,1,59284.99128070261,3065.195163198686,-0.9027025793689349,-0.400528141823128,2.691153174572008,,
Call center,Rainy,6422.537499796985,0,63456.70402599577,6077.485265960886,-3.8126234187953915e-05,1.1420486774448275,3.8380726828303264,-2.2468519989785465,-0.504946806753651
Agent,Rainy,6011.697891415232,1,66192.06005913089,4372.048552934177,-0.542976021895017,-1.6881740845683997,6.016947428122317,0.26748999084775116,2.1649835414459226
Web,Rainy,6325.690568835219,2,58093.630736111016,5581.626126876054,0.35858200840176524,-1.0169088659017709,5.820959198873817,-0.3080155508335273,-0.5327396855463671
