Season,product_quality,competitor_pricing,brand_image,Sales,promotion_effectiveness,financial_circumstances,demographic_factors,consumer_confidence,sales_channel,advertising_spend
Autumn,6.170695283883619,55485.88036141633,-0.172087013988562,4822.04294983874,-0.6311927714548767,-1.0584964506971672,2,-0.9698848408325587,Agent,5638.179910192243
,6.898103115248132,47016.8486101419,0.2318983441972691,7739.782948738186,,-0.19610741847313132,0,1.5172472462364845,Call center,4987.134689479142
Winter,4.044756583641261,54601.51311408016,1.3009744542046628,6553.71722607662,0.2954061366206772,0.19611041704591,1,-0.43449759790848974,Agent,3509.049924291957
Autumn,5.049641604108617,47230.27084937056,0.09735551116665549,5432.677548070463,0.03876708372014313,-1.31763596238572,1,0.2370323228961708,Agent,6166.002463271987
Summer,3.921554212596556,39716.3884935055,-3.037204292940062,2092.707228645643,-0.5175112959702972,-1.245950944300508,0,-0.20892737203128336,Call center,2347.8614730439626
Summer,6.23576086287489,42825.168140310925,-0.42815155135098926,4715.121818105308,-0.13674002177000996,1.300746607187041,1,-2.095717506397777,Web,4810.038049406922
Autumn,4.935648846011149,68018.56011574635,-0.7886630096017898,3034.72760717477,0.32944857366367797,1.4563100222099192,1,-0.49034358248588245,Call center,5130.701706423821
Autumn,3.5781669769062567,39994.676097736745,0.10261848186215612,5244.308665223563,-0.17879209582978417,2.379247596370983,0,-0.9406487562945772,Web,6338.549673988815
Spring,2.955958206340344,60699.36086637038,-0.8018232758196315,7484.163363944421,1.2728144490606137,-1.8158173322606133,2,-0.5048427519880881,Call center,5880.7840434700975
Summer,4.591159825789776,26068.17480493943,-0.090193944238337,6023.939454647817,1.247684393572483,-2.9533314535952946,1,0.6990820707699892,Call center,3303.7011877704017
Spring,7.313270922542623,64840.80889887054,0.9912480243364693,3252.595168553355,-0.3344013334768655,0.3951974144760865,2,-0.8276982652033058,Call center,5666.350393655747
Winter,3.4968369117224545,41556.06873657025,1.5205305157641622,2226.9755889662247,-0.804828554397869,1.1102492560998023,1,-0.04483529381444385,Agent,4264.288080848311
Summer,6.566589508700993,55809.905576106336,0.7532778297020907,5344.82486807969,-0.7379201151856796,-1.0343138772891245,2,-0.7344844200265364,Agent,4546.840554621584
Spring,3.7847472717814457,72867.00120447017,1.4212888946521898,2944.551601005943,-0.21057124978556016,-0.3273018864128265,0,-0.7959949780866902,Call center,8112.974551734735
Winter,3.3422285400197125,73009.12278625267,0.9671550541923682,5986.434626231337,0.14250933346677774,-0.0194260986170447,0,-0.6604453235120737,Call center,4813.586228880595
,4.651966976652742,81286.92596501466,0.6828644546377397,4988.063827546681,,-0.41995038747400915,2,1.7542103274612466,Web,3600.771059642982
Spring,4.556281709042608,43139.76007597978,0.08172230486966006,7119.42594496106,-0.7489131595467103,-1.5261675721182357,0,0.10735665883257985,Call center,2782.3032063880237
Spring,4.535085615595337,35208.340008992294,-0.7216464381870481,3508.730292607167,-0.7674346775330371,0.7397465298176877,1,-0.8483249130428653,Call center,3136.84539253099
Winter,3.9354564784492565,43767.58923047206,1.3667123460832673,5211.577695518846,-0.22286039687618533,0.5140214315482955,2,0.3014990624313355,Call center,7437.890249832253
,4.884897181753575,53791.645675405394,-0.4846016123921152,4689.330883015628,,1.3526090488464095,0,-0.8239125745475905,Call center,6046.032924600842
Autumn,4.918978405539091,56230.76830489292,1.4538812842835567,5992.301099117905,-0.4930106427533206,1.363292070834147,0,-2.9141382542651773,Call center,4232.118299456775
Winter,6.088678252420937,54445.24907056393,-0.22148873648134815,4513.710434325295,0.6956174008346888,0.4562367076525875,0,0.21075669252708099,Web,4189.185284445504
Winter,6.014766496467659,46256.947556445826,1.948361635824368,6514.879131322214,-0.37559602979278306,-1.7172848091677764,2,-1.4551766976515605,Call center,3464.8300587811946
Spring,6.397616675704638,74734.71051556263,-0.6129528171363335,5197.030425095844,0.39414353817840087,-0.5020459214201933,1,0.6794931872238092,Web,1319.0359512522386
Summer,2.2733052272960297,29268.270731906978,-0.182147541394813,5345.953593305971,-0.3925097036261573,-0.4367437474332218,2,0.8459283907379853,Call center,6738.905971023364
Spring,6.71054099681726,29468.638531649056,-0.46064149765782586,6259.674009382914,1.373998210869349,-0.08672719297134358,1,1.7745633421145044,Call center,4980.699564984628
Winter,3.983472582950268,54253.6280248784,0.19705682884801617,5528.8448760716865,0.41758701423454814,0.7718268298982323,0,-0.4256749904019068,Call center,7028.118746363124
Autumn,7.691587918451729,71353.52233627709,0.057791793063068156,5178.070355193213,-0.7498477965331124,1.176185027628083,0,-0.5706948260750391,Call center,5572.221650270486
Autumn,6.5621796302522934,34473.99871833777,-1.7143002263325378,4125.922991523025,-0.32058159668951053,-0.859583842434629,2,-0.15610239009617552,Call center,5555.341602484683
Autumn,4.8723897368869835,64172.430855181716,-0.3745667039859554,4313.23972787227,-0.14102959901769582,-0.464925743042145,1,-0.500183606376217,Call center,8778.808954152533
Autumn,2.090952310524397,45630.712744252705,-0.7651162032494495,3988.3243107956787,-2.8791653774200383,-1.2508629848063875,1,0.3969395137068312,Web,4980.624704862994
Autumn,2.547525267329923,75363.0057334392,-1.3985114743111644,4882.417520795322,-0.7340958205546356,1.816821816445737,0,0.7286634169088475,Call center,2537.6727084614167
Spring,4.584736578408016,68698.00058560187,-0.2560017963664584,5086.3689022749395,0.8127133292694743,-0.350146442394309,2,0.12315822831146062,Agent,4491.205192175822
Summer,4.795534363294449,44546.693927530156,1.8788119949005597,6028.002887135392,0.08513442786164367,-0.508833743856069,0,-1.3739491866494709,Agent,4250.54742708545
