sales_channel,financial_circumstances,customer_satisfaction,demographic_factors,Sales,competitor_pricing,advertising_spend,Season,consumer_confidence,product_awareness,promotion_effectiveness
Call center,1.428719835763061,3.803062364253573,1,3053.09064824303,52038.33598779262,4365.918809650206,Autumn,-1.8696310801608784,0.6514993991101584,0.3730876845652512
Call center,-0.5711382418643874,2.9011227413248557,1,3825.219216705645,63597.63943050703,4657.219708718051,Spring,-1.209966285902388,-1.4082716659550072,0.7566020538642662
Call center,0.44857352997330197,4.113981763312649,1,3556.2392358629177,52041.55555333507,4334.65555296149,Spring,-0.5312431925703383,-0.9779768917056395,0.40616346530498376
Call center,0.11530363208996008,2.3072805804500724,1,5268.970688580912,54862.59480000496,5975.003185704274,Autumn,-0.49985150255517014,1.0730625616099583,-0.938702155514107
Call center,0.4204147365868477,4.058762629794322,0,5534.112057029322,55180.391878906885,5550.35992954003,Autumn,-1.5686845619998007,0.6621377501320249,1.0423817957638966
Call center,0.6060944036738621,2.9144502182104715,1,4424.6505248280755,55505.326018021166,2119.1760709419614,Summer,0.5693454851557626,0.9177655836381341,1.402729490930306
Call center,0.587081599145873,2.660839207247073,2,3343.8423018775416,67564.20733775164,4360.5538308147625,Spring,-1.702991571790637,0.9186593807416255,1.0676588084129435
Call center,0.5914004541798428,5.832704693699559,2,3502.3722206274033,63327.61209176023,,Autumn,-0.6584531250115618,-1.0012447790913692,
Agent,0.08753114840031799,5.064357678962459,2,4688.458491607631,62386.91558435741,4691.83770540992,Spring,-0.3098564051359604,-0.5128401849628518,-0.49628734192490237
Call center,-1.3506556795915825,4.139867806166009,1,2965.709864157582,40956.26132149081,6307.322138214244,Spring,1.5585355675585915,-0.7628997877410421,-0.29855476396743263
Call center,1.278929830360557,4.224439442196945,1,5235.669747461181,62035.266702037654,5101.3851143646825,Autumn,-0.7145706301382024,-0.5796310796701047,-0.04320414207139242
Web,-2.0285632746729783,5.354729280155803,2,4887.946705796067,58735.45354177879,6044.629946476458,Summer,-0.5840590530510198,-0.015484447511476275,1.5258841010034707
Call center,1.0141729967180395,3.3985565622625735,1,3741.3086974528414,48092.5378531211,4483.142258389527,Spring,-0.975019607065537,0.2377363069085411,0.07642772101334537
Call center,1.680599659287247,2.983583272924861,2,2928.9896693033115,58679.00194575241,3050.0789218301443,Spring,-1.092324648283425,-2.1313715938323345,-0.214243235106878
Web,1.794887140511548,2.9044234842282495,1,435.7215400237519,77467.98691634671,6415.92767179725,Autumn,-1.2151527587992628,-1.298206041732308,0.2594251306503165
Call center,0.3067786767075183,6.39902955947143,1,3044.310881757129,67337.77190124619,5434.6923565509205,Autumn,0.5714738445243983,-0.8550379784457309,1.4646695393067788
Call center,0.7234884499303976,5.269697998925221,1,4249.356263411938,66951.37027220087,4217.120982177949,Winter,-0.7412911300445406,0.8105760339370832,-0.8306435964621803
Call center,0.9641472956048092,5.567962630781507,2,4871.053184334606,58341.51427270784,3658.4323857744107,Autumn,-0.9103824478952696,0.8366716322693709,-1.0506682604665214
Call center,0.47488639591713194,2.296017460000771,0,3648.9930392861215,61241.06275724147,6173.671989594829,Winter,-0.12285884433346493,-0.258401031225787,-0.5380034039845949
